START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA-MAJESTAD-CW
CALLSIGN: PA7LV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA7LV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA-MAJESTAD-CW URE/SMRCW/2020.
QSO:  7017 CW 2020-05-16 0605 PA7LV         599 001 ES4RD         599 009
QSO: 14020 CW 2020-05-16 0712 PA7LV         599 020 ES4RD         599 081
QSO: 14020 CW 2020-05-16 0739 PA7LV         599 040 RA3TT         599 020
QSO: 14037 CW 2020-05-16 1200 PA7LV         599 1 PA4O          599 001
QSO: 14000 CW 2020-05-16 1202 PA7LV         599 3 R9XS          599 2
QSO: 14038 CW 2020-05-16 1202 PA7LV         599 002 OH2BN         599 003
QSO: 14025 CW 2020-05-16 1204 PA7LV         599 4 LZ2CH         599 002
QSO: 14000 CW 2020-05-16 1205 PA7LV         599 005 RA3DGH        599 002
QSO: 14038 CW 2020-05-16 1207 PA7LV         599 008 RM5F          599 012
QSO: 14000 CW 2020-05-16 1208 PA7LV         599 006 YO4BEX        599 012
QSO: 14038 CW 2020-05-16 1208 PA7LV         599 9 HG8C          599 008
QSO: 14038 CW 2020-05-16 1208 PA7LV         599 010 OE1CIW        599 0006
QSO: 14025 CW 2020-05-16 1209 PA7LV         599 11 RG3B          599 002
QSO: 14038 CW 2020-05-16 1211 PA7LV         599 012 EV6Z          599 010
QSO: 14038 CW 2020-05-16 1211 PA7LV         599 13 R3FX          599 003
QSO: 14038 CW 2020-05-16 1212 PA7LV         599 14 EX8MJ         599 002
QSO: 14000 CW 2020-05-16 1214 PA7LV         599 16 K3ZO          599 5
QSO: 14038 CW 2020-05-16 1214 PA7LV         599 015 YO4AR         599 001
QSO: 14038 CW 2020-05-16 1215 PA7LV         599 017 YO5OHO        599 007
QSO: 14038 CW 2020-05-16 1216 PA7LV         599 018 RU6MO         599 015
QSO: 14038 CW 2020-05-16 1217 PA7LV         599 019 UY2IG         599 009
QSO: 14038 CW 2020-05-16 1219 PA7LV         599 20 YU1LM/QRP     599 007
QSO: 14000 CW 2020-05-16 1221 PA7LV         599 23 HA2MN         599 008
QSO: 14038 CW 2020-05-16 1221 PA7LV         599 22 LY3CY         599 013
QSO: 14000 CW 2020-05-16 1222 PA7LV         599 24 LZ1DQ         599 009
QSO: 14000 CW 2020-05-16 1222 PA7LV         599 021 OM3BA         599 007
QSO: 14000 CW 2020-05-16 1224 PA7LV         599 026 E74X          599 0018
QSO: 14038 CW 2020-05-16 1224 PA7LV         599 025 UT3EK         599 001
QSO: 14000 CW 2020-05-16 1225 PA7LV         599 027 RN4SC         599 008
QSO: 14000 CW 2020-05-16 1225 PA7LV         599 029 UT4UP         599 011
QSO: 14038 CW 2020-05-16 1225 PA7LV         599 28 RC9J          599 20
QSO: 14000 CW 2020-05-16 1226 PA7LV         599 030 LY2J          599 010
QSO: 28018 CW 2020-05-16 1229 PA7LV         599 31 R1CAA         599 007
QSO: 28000 CW 2020-05-16 1230 PA7LV         599 032 EA1O          599 SG
QSO: 28019 CW 2020-05-16 1231 PA7LV         599 43 OM2VL         599 068
QSO: 28018 CW 2020-05-16 1232 PA7LV         599 034 OH2BBM        599 0011
QSO: 28017 CW 2020-05-16 1234 PA7LV         599 035 EA2BD         599 NA
QSO: 28000 CW 2020-05-16 1235 PA7LV         599 36 EA1CS         599 O
QSO: 28000 CW 2020-05-16 1236 PA7LV         599 037 EA5MO         599 V
QSO: 28020 CW 2020-05-16 1237 PA7LV         599 038 EA1DAV        599 C
QSO: 28022 CW 2020-05-16 1238 PA7LV         599 39 EA4IE         599 TO
QSO: 28022 CW 2020-05-16 1239 PA7LV         599 040 EF0F          599 SMR
QSO: 28023 CW 2020-05-16 1239 PA7LV         599 041 EA1FEG        599 BU
QSO: 28024 CW 2020-05-16 1240 PA7LV         599 42 EA5JX         599 A
QSO: 28029 CW 2020-05-16 1241 PA7LV         599 43 EA7W          599 CO
QSO: 28032 CW 2020-05-16 1242 PA7LV         599 44 EA1AER        599 LE
QSO: 28036 CW 2020-05-16 1242 PA7LV         599 45 EB5A          599 A
QSO: 21000 CW 2020-05-16 1244 PA7LV         599 46 EA1CS         599 O
QSO: 21014 CW 2020-05-16 1244 PA7LV         599 047 EA4S          599 M
QSO: 21020 CW 2020-05-16 1246 PA7LV         599 48 EF5R          599 A
QSO: 21022 CW 2020-05-16 1247 PA7LV         599 049 EF0F          599 SMR
QSO: 21027 CW 2020-05-16 1247 PA7LV         599 050 EF1A          599 C
QSO: 21000 CW 2020-05-16 1249 PA7LV         599 051 EA8F          599 GC
QSO: 14000 CW 2020-05-16 1252 PA7LV         599 054 UX1CL         599 013
QSO: 14041 CW 2020-05-16 1252 PA7LV         599 53 ER4A          599 090
