START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: CT/HB9AAP
CLAIMED-SCORE: 39600
CREATED-BY: UcxLog 6.25
NAME: Peter Stoller
SOAPBOX: Big mouth - small ears contest, but there were exceptions. Very
SOAPBOX: interesting propagation with zero sunspots and no F-layer (according
SOAPBOX: to Iono-sounder)
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 14000 PH 2008-10-25 0406 CT/HB9AAP 59 14 A73A 59 21 0
QSO: 14000 PH 2008-10-25 0412 CT/HB9AAP 59 14 YU7ZZ 59 15 0
QSO: 14000 PH 2008-10-25 0413 CT/HB9AAP 59 14 E71A 59 15 0
QSO: 14000 PH 2008-10-25 0415 CT/HB9AAP 59 14 9K2K 59 21 0
QSO: 14000 PH 2008-10-25 0420 CT/HB9AAP 59 14 LZ1VVV 59 20 0
QSO: 14000 PH 2008-10-25 0422 CT/HB9AAP 59 14 YU1EL 59 15 0
QSO: 14000 PH 2008-10-25 0423 CT/HB9AAP 59 14 E77XZ 59 15 0
QSO: 14000 PH 2008-10-25 0423 CT/HB9AAP 59 14 YT1BB 59 15 0
QSO: 14000 PH 2008-10-25 0425 CT/HB9AAP 59 14 RT9S 59 16 0
QSO: 14000 PH 2008-10-25 0427 CT/HB9AAP 59 14 UN7MMM 59 17 0
QSO: 14000 PH 2008-10-25 0429 CT/HB9AAP 59 14 OE8SKQ 59 15 0
QSO: 14000 PH 2008-10-25 0430 CT/HB9AAP 59 14 UA9CDC 59 17 0
QSO: 14000 PH 2008-10-25 0434 CT/HB9AAP 59 14 UP2L 59 17 0
QSO: 14000 PH 2008-10-25 0437 CT/HB9AAP 59 14 SO9Q 59 15 0
QSO: 14000 PH 2008-10-25 0440 CT/HB9AAP 59 14 S57RTH 59 15 0
QSO: 14000 PH 2008-10-25 0441 CT/HB9AAP 59 14 RV9LM 59 17 0
QSO: 14000 PH 2008-10-25 0443 CT/HB9AAP 59 14 HG4F 59 15 0
QSO: 14000 PH 2008-10-25 0446 CT/HB9AAP 59 14 CT7A 59 14 0
QSO: 14000 PH 2008-10-25 0452 CT/HB9AAP 59 14 EX2M 59 17 0
QSO: 14000 PH 2008-10-25 0454 CT/HB9AAP 59 14 RW9DW 59 17 0
QSO: 14000 PH 2008-10-25 0455 CT/HB9AAP 59 14 UP4L 59 17 0
QSO: 14000 PH 2008-10-25 0456 CT/HB9AAP 59 14 RO9O 59 18 0
QSO: 14000 PH 2008-10-25 0457 CT/HB9AAP 59 14 UN6LN 59 17 0
QSO: 14000 PH 2008-10-25 0503 CT/HB9AAP 59 14 RU9AC 59 17 0
QSO: 14000 PH 2008-10-25 0505 CT/HB9AAP 59 14 UA9CLB 59 17 0
QSO: 14000 PH 2008-10-25 0507 CT/HB9AAP 59 14 RU3UR 59 16 0
QSO: 14000 PH 2008-10-25 0701 CT/HB9AAP 59 14 OK1OUE 59 15 0
QSO: 14000 PH 2008-10-25 0704 CT/HB9AAP 59 14 UT5ID 59 16 0
QSO: 14000 PH 2008-10-25 0711 CT/HB9AAP 59 14 UV8M 59 16 0
QSO: 14000 PH 2008-10-25 0712 CT/HB9AAP 59 14 RZ4PWL 59 16 0
QSO: 14000 PH 2008-10-25 0714 CT/HB9AAP 59 14 RK3DZB 59 16 0
QSO: 14000 PH 2008-10-25 0716 CT/HB9AAP 59 14 SM0R 59 14 0
QSO: 14000 PH 2008-10-25 0719 CT/HB9AAP 59 14 DJ8OG 59 14 0
QSO: 14000 PH 2008-10-25 0721 CT/HB9AAP 59 14 G6MC 59 14 0
QSO: 14000 PH 2008-10-25 0722 CT/HB9AAP 59 14 HA8JV 59 15 0
QSO: 14000 PH 2008-10-25 0724 CT/HB9AAP 59 14 OT5A 59 14 0
QSO: 14000 PH 2008-10-25 0727 CT/HB9AAP 59 14 DR5Z 59 14 0
QSO: 14000 PH 2008-10-25 0729 CT/HB9AAP 59 14 EO3Q 59 16 0
QSO: 14000 PH 2008-10-25 0732 CT/HB9AAP 59 14 RZ3AXX 59 16 0
QSO: 14000 PH 2008-10-25 0734 CT/HB9AAP 59 14 IR4X 59 15 0
QSO: 14000 PH 2008-10-25 0735 CT/HB9AAP 59 14 S53S 59 15 0
QSO: 14000 PH 2008-10-25 0736 CT/HB9AAP 59 14 PI4ZI 59 14 0
QSO: 14000 PH 2008-10-25 0745 CT/HB9AAP 59 14 OM7M 59 15 0
QSO: 14000 PH 2008-10-25 0746 CT/HB9AAP 59 14 IR5T 59 15 0
QSO: 14000 PH 2008-10-25 0748 CT/HB9AAP 59 14 SQ4MP 59 15 0
QSO: 14000 PH 2008-10-25 0751 CT/HB9AAP 59 14 IU9A 59 15 0
QSO: 14000 PH 2008-10-25 0753 CT/HB9AAP 59 14 DL2ARD 59 14 0
QSO: 14000 PH 2008-10-25 0753 CT/HB9AAP 59 14 HG6N 59 15 0
QSO: 14000 PH 2008-10-25 0755 CT/HB9AAP 59 14 DL4WA 59 14 0
QSO: 14000 PH 2008-10-25 0805 CT/HB9AAP 59 14 UP0L 59 17 0
QSO: 14000 PH 2008-10-25 0810 CT/HB9AAP 59 14 IM0/IK0FMB 59 15 0
QSO: 14000 PH 2008-10-25 0812 CT/HB9AAP 59 14 RA3AUM 59 16 0
QSO: 14000 PH 2008-10-25 0815 CT/HB9AAP 59 14 M0XXT 59 14 0
QSO: 14000 PH 2008-10-25 0816 CT/HB9AAP 59 14 DQ4W 59 14 0
QSO: 14000 PH 2008-10-25 0820 CT/HB9AAP 59 14 RL3A 59 16 0
QSO: 14000 PH 2008-10-25 0821 CT/HB9AAP 59 14 YR7M 59 20 0
QSO: 14000 PH 2008-10-25 0823 CT/HB9AAP 59 14 IS0T 59 15 0
QSO: 14000 PH 2008-10-25 0824 CT/HB9AAP 59 14 LZ1NK 59 20 0
QSO: 14000 PH 2008-10-25 0825 CT/HB9AAP 59 14 4X0V 59 20 0
QSO: 14000 PH 2008-10-25 0829 CT/HB9AAP 59 14 G4ERW 59 14 0
QSO: 14000 PH 2008-10-25 0836 CT/HB9AAP 59 14 ZY7C 59 11 0
QSO: 14000 PH 2008-10-25 0838 CT/HB9AAP 59 14 SI9AM 59 14 0
QSO: 14000 PH 2008-10-25 1005 CT/HB9AAP 59 14 6W1RY 59 35 0
QSO: 14000 PH 2008-10-25 1009 CT/HB9AAP 59 14 UA1AQA 59 16 0
QSO: 14000 PH 2008-10-25 1010 CT/HB9AAP 59 14 SX5P 59 20 0
QSO: 14000 PH 2008-10-25 1011 CT/HB9AAP 59 14 J48RT 59 20 0
QSO: 14000 PH 2008-10-25 1013 CT/HB9AAP 59 14 VP2E 59 08 0
QSO: 14000 PH 2008-10-25 1015 CT/HB9AAP 59 14 VO1HE 59 05 0
QSO: 14000 PH 2008-10-25 1019 CT/HB9AAP 59 14 DM3MM 59 14 0
QSO: 14000 PH 2008-10-25 1021 CT/HB9AAP 59 14 RT4M 59 16 0
QSO: 14000 PH 2008-10-25 1026 CT/HB9AAP 59 14 CU2X 59 14 0
QSO: 14000 PH 2008-10-25 1028 CT/HB9AAP 59 14 OH5Z 59 15 0
QSO: 14000 PH 2008-10-25 1029 CT/HB9AAP 59 14 OH4A 59 15 0
QSO: 14000 PH 2008-10-25 1035 CT/HB9AAP 59 14 G5O 59 14 0
QSO: 14000 PH 2008-10-25 1040 CT/HB9AAP 59 14 IZ6FXP 59 15 0
QSO: 14000 PH 2008-10-25 1057 CT/HB9AAP 59 14 SN8B 59 15 0
QSO: 14000 PH 2008-10-25 1058 CT/HB9AAP 59 14 LY9Y 59 15 0
QSO: 14000 PH 2008-10-25 1100 CT/HB9AAP 59 14 9A9A 59 15 0
QSO: 14000 PH 2008-10-25 1102 CT/HB9AAP 59 14 DP4A 59 14 0
QSO: 14000 PH 2008-10-25 1107 CT/HB9AAP 59 14 ES5TV 59 15 0
QSO: 14000 PH 2008-10-25 1239 CT/HB9AAP 59 14 IF9A 59 15 0
QSO: 14000 PH 2008-10-25 1242 CT/HB9AAP 59 14 SV9CVY 59 20 0
QSO: 14000 PH 2008-10-25 1243 CT/HB9AAP 59 14 RM3F 59 16 0
QSO: 14000 PH 2008-10-25 1246 CT/HB9AAP 59 14 CT9L 59 33 0
QSO: 14000 PH 2008-10-25 1255 CT/HB9AAP 59 14 9M8Z 59 28 0
QSO: 14000 PH 2008-10-25 1300 CT/HB9AAP 59 14 DF1IAQ 59 14 0
QSO: 14000 PH 2008-10-25 1307 CT/HB9AAP 59 14 IU1U 59 15 0
QSO: 14000 PH 2008-10-25 1308 CT/HB9AAP 59 14 S57L 59 15 0
QSO: 14000 PH 2008-10-25 1316 CT/HB9AAP 59 14 K3LR 59 5 0
QSO: 14000 PH 2008-10-25 1322 CT/HB9AAP 59 14 C49C 59 20 0
QSO: 14000 PH 2008-10-25 1331 CT/HB9AAP 59 14 E7DX 59 15 0
QSO: 14000 PH 2008-10-25 1333 CT/HB9AAP 59 14 IR2M 59 15 0
QSO: 14000 PH 2008-10-25 1337 CT/HB9AAP 59 14 AO8A 59 33 0
QSO: 14000 PH 2008-10-25 1338 CT/HB9AAP 59 14 IR2C 59 15 0
QSO: 14000 PH 2008-10-25 1339 CT/HB9AAP 59 14 M6T 59 14 0
QSO: 14000 PH 2008-10-25 1344 CT/HB9AAP 59 14 HS0ZCW 59 26 0
