START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ World Wide Log 2.6
CONTEST: CQ-WW-SSB
CALLSIGN: WC2Z
CLAIMED-SCORE: 41616
OPERATORS: WC2Z
CLUB: SHORT MOUNTAIN REPEATER CLUB, 910 CODGERS
NAME: George Harvey
LOCATION:  TN
SOAPBOX: thx fer a great contest cu  ya next year. 73
SOAPBOX:
SOAPBOX:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 14000 PH 2008-10-25 0010 WC2Z          59  04     HQ2W          59  07
QSO: 14000 PH 2008-10-25 0024 WC2Z          59  04     VE7SV         59  03
QSO: 14000 PH 2008-10-25 0026 WC2Z          59  04     W1YK          59  05
QSO:  7000 PH 2008-10-25 0107 WC2Z          59  04     VP5T          59  08
QSO:  7000 PH 2008-10-25 0131 WC2Z          59  04     CE1W          59  12
QSO:  7000 PH 2008-10-25 0141 WC2Z          59  04     IO5O          59  15
QSO:  7000 PH 2008-10-25 0143 WC2Z          59  04     EA1EEY        59  14
QSO:  7000 PH 2008-10-25 0217 WC2Z          59  04     C6APR         59  08
QSO:  7000 PH 2008-10-25 0220 WC2Z          59  04     4O3A          59  15
QSO:  7000 PH 2008-10-25 0221 WC2Z          59  04     6Y1V          59  08
QSO:  7000 PH 2008-10-25 0223 WC2Z          59  04     VE3UTT        59  04
QSO:  7000 PH 2008-10-25 0229 WC2Z          59  04     5B4AII        59  20
QSO:  7000 PH 2008-10-25 0238 WC2Z          59  04     HQ9R          59  07
QSO:  7000 PH 2008-10-25 0241 WC2Z          59  04     M6T           59  14
QSO:  3500 PH 2008-10-25 0254 WC2Z          59  04     VE3BDN        59  04
QSO:  3500 PH 2008-10-25 0306 WC2Z          59  04     KP2M          59  08
QSO:  3500 PH 2008-10-25 0318 WC2Z          59  04     HQ3Z          59  07
QSO:  7000 PH 2008-10-25 0403 WC2Z          59  04     XE1CQ         59  06
QSO:  7000 PH 2008-10-25 0410 WC2Z          59  04     9A1P          59  15
QSO:  7000 PH 2008-10-25 0418 WC2Z          59  04     HK3O          59  09
QSO:  7000 PH 2008-10-25 0423 WC2Z          59  04     V26B          59  08
QSO:  3500 PH 2008-10-25 0439 WC2Z          59  04     AO8A          59  33
QSO:  3500 PH 2008-10-25 0441 WC2Z          59  04     W6KW          59  03
QSO:  3500 PH 2008-10-25 0443 WC2Z          59  04     D4C           59  35
QSO:  3500 PH 2008-10-25 1102 WC2Z          59  04     HC8A          59  10
QSO:  3500 PH 2008-10-25 1104 WC2Z          59  04     K3LR          59  05
QSO:  3500 PH 2008-10-25 1105 WC2Z          59  04     W3LPL         59  05
QSO:  3500 PH 2008-10-25 1113 WC2Z          59  04     VC6R          59  04
QSO:  3500 PH 2008-10-25 1124 WC2Z          59  04     VE3CX         59  04
QSO:  3500 PH 2008-10-25 1131 WC2Z          59  04     JH1OGC        59  25
QSO:  3500 PH 2008-10-25 1132 WC2Z          59  04     VE7SV         59  03
QSO:  3500 PH 2008-10-25 1147 WC2Z          59  04     VE3KPP        59  04
QSO: 14000 PH 2008-10-25 1209 WC2Z          59  04     PI4COM        59  14
QSO: 14000 PH 2008-10-25 1218 WC2Z          59  04     AM3SSB        59  14
QSO: 14000 PH 2008-10-25 1228 WC2Z          59  04     RW1AC         59  16
QSO: 14000 PH 2008-10-25 1238 WC2Z          59  04     PJ4E          59  09
QSO: 14000 PH 2008-10-25 1240 WC2Z          59  04     9A9A          59  15
QSO: 14000 PH 2008-10-25 1247 WC2Z          59  04     ZF2AH         59  08
QSO: 14000 PH 2008-10-25 1305 WC2Z          59  04     RZ3XX         59  16
QSO: 14000 PH 2008-10-25 1308 WC2Z          59  04     CN2B          59  33
QSO: 14000 PH 2008-10-25 1328 WC2Z          59  04     VP5T          59  08
QSO: 14000 PH 2008-10-25 2247 WC2Z          59  04     HC2SA         59  10
QSO: 14000 PH 2008-10-25 2247 WC2Z          59  04     HK1X          59  09
QSO: 14000 PH 2008-10-25 2249 WC2Z          59  04     PJ2T          59  09
QSO: 14000 PH 2008-10-25 2251 WC2Z          59  04     HI2CCP        59  08
QSO: 14000 PH 2008-10-25 2252 WC2Z          59  04     N2IC          59  04
QSO: 14000 PH 2008-10-25 2253 WC2Z          59  04     KP2M          59  08
QSO: 14000 PH 2008-10-25 2254 WC2Z          59  04     HC8A          59  10
QSO: 14000 PH 2008-10-25 2257 WC2Z          59  04     LP1H          59  13
QSO: 14000 PH 2008-10-25 2305 WC2Z          59  04     XE1BY         59  06
QSO: 14000 PH 2008-10-25 2316 WC2Z          59  04     6Y1V          59  08
QSO: 14000 PH 2008-10-25 2318 WC2Z          59  04     TI5N          59  07
QSO: 14000 PH 2008-10-25 2320 WC2Z          59  04     ZW5B          59  11
QSO: 14000 PH 2008-10-25 2327 WC2Z          59  04     KH6LC         59  31
QSO: 14000 PH 2008-10-25 2336 WC2Z          59  04     AL9A          59  01
QSO:  7000 PH 2008-10-26 0017 WC2Z          59  04     HB0/HB9AON    59  14
QSO:  7000 PH 2008-10-26 0028 WC2Z          59  04     K1TTT         59  05
QSO:  7000 PH 2008-10-26 0030 WC2Z          59  04     S53M          59  15
QSO:  7000 PH 2008-10-26 0035 WC2Z          59  04     DF3CB         59  14
QSO:  7000 PH 2008-10-26 0126 WC2Z          59  04     VY2ZM         59  05
QSO:  7000 PH 2008-10-26 0131 WC2Z          59  04     WA7NB         59  03
QSO:  7000 PH 2008-10-26 0138 WC2Z          59  04     EA5KV         59  14
QSO:  3500 PH 2008-10-26 0204 WC2Z          59  04     VA3YP         59  04
QSO:  3500 PH 2008-10-26 0213 WC2Z          59  04     HT2N          59  07
QSO:  3500 PH 2008-10-26 0218 WC2Z          59  04     VA3RM         59  04
QSO:  3500 PH 2008-10-26 0222 WC2Z          59  04     VE3DZ         59  04
QSO:  3500 PH 2008-10-26 0252 WC2Z          59  04     C6APR         59  08
QSO:  3500 PH 2008-10-26 0256 WC2Z          59  04     VA3SK         59  04
QSO: 21000 PH 2008-10-26 1353 WC2Z          59  04     DL0WW         59  14
QSO: 21000 PH 2008-10-26 1356 WC2Z          59  04     OT5A          59  14
QSO: 21000 PH 2008-10-26 1358 WC2Z          59  04     DJ4PT         59  14
QSO: 21000 PH 2008-10-26 1402 WC2Z          59  04     EA1EEY        59  14
QSO: 21000 PH 2008-10-26 1417 WC2Z          59  04     M6T           59  14
QSO: 21000 PH 2008-10-26 1424 WC2Z          59  04     VE2GSO        59  02
QSO: 21000 PH 2008-10-26 1437 WC2Z          59  04     IO5O          59  15
QSO: 21000 PH 2008-10-26 1438 WC2Z          59  04     G5W           59  14
QSO: 21000 PH 2008-10-26 1439 WC2Z          59  04     EI2CN         59  14
QSO: 21000 PH 2008-10-26 1442 WC2Z          59  04     P33W          59  20
QSO: 21000 PH 2008-10-26 1449 WC2Z          59  04     9A1P          59  15
QSO: 21000 PH 2008-10-26 1504 WC2Z          59  04     IT9GSF        59  15
QSO: 21000 PH 2008-10-26 1508 WC2Z          59  04     HB0/HB9AON    59  14
QSO: 21000 PH 2008-10-26 1511 WC2Z          59  04     HC2GT         59  10
QSO: 21000 PH 2008-10-26 1527 WC2Z          59  04     3V8BB         59  33
QSO: 21000 PH 2008-10-26 1543 WC2Z          59  04     CU2X          59  14
QSO: 21000 PH 2008-10-26 1546 WC2Z          59  04     N6TJ          59  03
QSO: 21000 PH 2008-10-26 1603 WC2Z          59  04     TM6M          59  14
QSO: 21000 PH 2008-10-26 1607 WC2Z          59  04     RW1ZA         59  16
QSO: 21000 PH 2008-10-26 1610 WC2Z          59  04     MD0CCE        59  14
QSO: 21000 PH 2008-10-26 1620 WC2Z          59  04     GW4BLE        59  14
QSO: 21000 PH 2008-10-26 1624 WC2Z          59  04     XR6T          59  12
QSO: 21000 PH 2008-10-26 1626 WC2Z          59  04     WO4O          59  04
QSO: 21000 PH 2008-10-26 1628 WC2Z          59  04     LU8YE         59  13
QSO: 21000 PH 2008-10-26 1631 WC2Z          59  04     HK3JJH        59  09
QSO: 21000 PH 2008-10-26 1637 WC2Z          59  04     VO1KVT        59  05
QSO: 21000 PH 2008-10-26 1641 WC2Z          59  04     VC6R          59  04
QSO: 21000 PH 2008-10-26 1644 WC2Z          59  04     VE7ABC        59  03
QSO: 21000 PH 2008-10-26 1647 WC2Z          59  04     FY5KE         59  09
QSO: 21000 PH 2008-10-26 1649 WC2Z          59  04     TM7F          59  14
QSO: 21000 PH 2008-10-26 1651 WC2Z          59  04     HQ3Z          59  07
QSO: 21000 PH 2008-10-26 1656 WC2Z          59  04     ZY7C          59  11
QSO: 21000 PH 2008-10-26 1657 WC2Z          59  04     PJ2T          59  09
QSO: 21000 PH 2008-10-26 1704 WC2Z          59  04     CQ3T          59  33
QSO: 21000 PH 2008-10-26 1706 WC2Z          59  04     VE7SV         59  03
QSO: 21000 PH 2008-10-26 1709 WC2Z          59  04     CT8K          59  14
QSO: 21000 PH 2008-10-26 1716 WC2Z          59  04     D4C           59  35
QSO: 21000 PH 2008-10-26 1748 WC2Z          59  04     VE7UQ         59  03
QSO: 21000 PH 2008-10-26 1751 WC2Z          59  04     WD8RYC        59  04
QSO: 21000 PH 2008-10-26 1755 WC2Z          59  04     NH6P          59  31
QSO: 21000 PH 2008-10-26 1758 WC2Z          59  04     TI8II         59  07
QSO: 21000 PH 2008-10-26 1805 WC2Z          59  04     P40A          59  09
QSO: 21000 PH 2008-10-26 1811 WC2Z          59  04     PW2D          59  11
QSO: 21000 PH 2008-10-26 1812 WC2Z          59  04     TI1R          59  07
QSO: 21000 PH 2008-10-26 2150 WC2Z          59  04     HP1BYS        59  07
QSO: 21000 PH 2008-10-26 2151 WC2Z          59  04     LT1F          59  13
QSO: 21000 PH 2008-10-26 2153 WC2Z          59  04     KP2M          59  08
QSO: 14000 PH 2008-10-26 2203 WC2Z          59  04     FY5KE         59  09
QSO: 14000 PH 2008-10-26 2218 WC2Z          59  04     KP4KE         59  08
QSO: 14000 PH 2008-10-26 2220 WC2Z          59  04     9Y4D          59  09
QSO: 14000 PH 2008-10-26 2228 WC2Z          59  04     NL7V          59  01
QSO: 14000 PH 2008-10-26 2259 WC2Z          59  04     OA4SS         59  10
QSO: 14000 PH 2008-10-26 2300 WC2Z          59  04     PW2D          59  11
END-OF-LOG:
