START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: JE7YSS
CLAIMED-SCORE: 317200
CREATED-BY: zlistw(zlog)
NAME: Akita Scout Contest Club
OPERATORS:     7N4TEN
SOAPBOX: QTH Akita City in JA7, different from my mailing address
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 21000 PH 2008-10-25 0019 JE7YSS        59  25     VR2C          59  24
QSO:  7000 PH 2008-10-25 1428 JE7YSS        59  25     OH8X          59  15
QSO:  7000 PH 2008-10-25 1429 JE7YSS        59  25     BA4RF         59  24
QSO:  7000 PH 2008-10-25 1433 JE7YSS        59  25     UT2II         59  16
QSO:  7000 PH 2008-10-25 1435 JE7YSS        59  25     RW9USA        59  18
QSO:  7000 PH 2008-10-25 1443 JE7YSS        59  25     DF0HQ         59  14
QSO:  7000 PH 2008-10-25 1445 JE7YSS        59  25     S53M          59  15
QSO:  7000 PH 2008-10-25 1449 JE7YSS        59  25     YL6W          59  15
QSO: 14000 PH 2008-10-25 1459 JE7YSS        59  25     E74Y          59  15
QSO: 14000 PH 2008-10-25 1519 JE7YSS        59  25     EA3DUM        59  14
QSO: 14000 PH 2008-10-25 1525 JE7YSS        59  25     GM0B          59  14
QSO: 14000 PH 2008-10-25 1537 JE7YSS        59  25     DS5KJR        59  25
QSO: 14000 PH 2008-10-25 1546 JE7YSS        59  25     XU7MDY        59  26
QSO: 14000 PH 2008-10-25 1548 JE7YSS        59  25     ZS9X          59  38
QSO:  7000 PH 2008-10-25 1552 JE7YSS        59  25     UA9UZZ        59  18
QSO:  7000 PH 2008-10-25 1554 JE7YSS        59  25     UA9CLB        59  17
QSO: 14000 PH 2008-10-25 1605 JE7YSS        59  25     EA5EA         59  14
QSO: 14000 PH 2008-10-25 1606 JE7YSS        59  25     MW0CRI        59  14
QSO: 14000 PH 2008-10-25 1608 JE7YSS        59  25     MW0ZZK        59  14
QSO:  7000 PH 2008-10-25 1630 JE7YSS        59  25     RT6A          59  16
QSO: 14000 PH 2008-10-25 1633 JE7YSS        59  25     K5ZD          59  05
QSO:  7000 PH 2008-10-25 2038 JE7YSS        59  25     B7P           59  24
QSO:  7000 PH 2008-10-25 2039 JE7YSS        59  25     OM7M          59  15
QSO:  7000 PH 2008-10-25 2040 JE7YSS        59  25     4O3A          59  15
QSO:  7000 PH 2008-10-25 2044 JE7YSS        59  25     SO9Q          59  15
QSO:  7000 PH 2008-10-25 2045 JE7YSS        59  25     BV0J          59  24
QSO:  7000 PH 2008-10-25 2046 JE7YSS        59  25     OM0M          59  15
QSO:  7000 PH 2008-10-25 2048 JE7YSS        59  25     RK3QWW        59  16
QSO:  7000 PH 2008-10-25 2050 JE7YSS        59  25     RZ3AXX        59  16
QSO:  7000 PH 2008-10-25 2052 JE7YSS        59  25     IR4M          59  15
QSO:  7000 PH 2008-10-25 2057 JE7YSS        59  25     UZ2M          59  16
QSO: 14000 PH 2008-10-25 2104 JE7YSS        59  25     N2NT          59  5
QSO: 14000 PH 2008-10-25 2105 JE7YSS        59  25     VE3TA         59  4
