START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: DK3GI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DK3GI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2025.
QSO: 28032 CW 2025-12-13 0722 DK3GI         599 1 ZS1C          599 117
QSO: 28042 CW 2025-12-13 0729 DK3GI         599 002 TA7I          599 63
QSO: 28046 CW 2025-12-13 0730 DK3GI         599 3 BA4TB         599 127
QSO: 28051 CW 2025-12-13 0731 DK3GI         599 004 UN7LAN        599 069
QSO: 28057 CW 2025-12-13 0732 DK3GI         599 5 RU7A          599 45
QSO: 28001 CW 2025-12-13 0733 DK3GI         599 6 3W9A          599 469
QSO: 28007 CW 2025-12-13 0734 DK3GI         599 7 UP4L          599 355
QSO: 28008 CW 2025-12-13 0735 DK3GI         599 8 BI8AD         599 323
QSO: 28016 CW 2025-12-13 0738 DK3GI         599 009 VR2CO         599 260
QSO: 28017 CW 2025-12-13 0739 DK3GI         599 010 OM7M          599 110
QSO: 28020 CW 2025-12-13 0741 DK3GI         599 011 7Q2T          599 238
QSO: 28041 CW 2025-12-13 1209 DK3GI         599 013 OZ5W          599 191
QSO: 28041 CW 2025-12-13 1209 DK3GI         599 12 VY2TT         599 PE
QSO: 28046 CW 2025-12-13 1210 DK3GI         599 14 UA5R          599 191
QSO: 28049 CW 2025-12-13 1211 DK3GI         599 015 KP2B          599 255
QSO: 28050 CW 2025-12-13 1212 DK3GI         599 016 M6T           599 343
QSO: 28051 CW 2025-12-13 1212 DK3GI         599 17 W1WEF         599 CT
QSO: 28048 CW 2025-12-13 1213 DK3GI         599 018 OH0X          599 380
QSO: 28053 CW 2025-12-13 1215 DK3GI         599 019 KB3WD         599 MD
QSO: 28056 CW 2025-12-13 1217 DK3GI         599 20 8P5A          599 424
QSO: 28058 CW 2025-12-13 1218 DK3GI         599 021 EU1A          599 294
QSO: 28059 CW 2025-12-13 1219 DK3GI         599 022 K1TO          599 FL
QSO: 28060 CW 2025-12-13 1219 DK3GI         599 23 LU1HLH        599 204
QSO: 28062 CW 2025-12-13 1221 DK3GI         599 25 ZF2SS         599 53
QSO: 28080 CW 2025-12-13 1224 DK3GI         599 126 HK1MW         599 176
QSO: 28083 CW 2025-12-13 1225 DK3GI         599 27 CB1D          599 65
QSO: 28001 CW 2025-12-13 1227 DK3GI         599 029 NN7CW         599 FL
QSO: 28002 CW 2025-12-13 1228 DK3GI         599 030 K1LZ          599 ME
QSO: 28002 CW 2025-12-13 1229 DK3GI         599 031 HK1NA         599 371
QSO: 28003 CW 2025-12-13 1232 DK3GI         599 032 KM3T          599 NH
QSO: 28004 CW 2025-12-13 1233 DK3GI         599 033 NP3A          599 292
QSO: 28005 CW 2025-12-13 1233 DK3GI         599 34 SP1NY         599 122
QSO: 28006 CW 2025-12-13 1234 DK3GI         599 035 9A5Y          599 839
QSO: 28009 CW 2025-12-13 1236 DK3GI         599 037 HA8FK         599 407
