START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: OK1HRA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK1HRA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2025.
QSO: 28045 CW 2025-12-13 1234 OK1HRA        599 001 EA8BW         599 423
QSO: 28000 CW 2025-12-13 1239 OK1HRA        599 002 LZ9W          599 554
QSO: 28002 CW 2025-12-13 1240 OK1HRA        599 3 P3X           599 937
QSO: 28002 CW 2025-12-13 1241 OK1HRA        599 004 K1LZ          599 ME
QSO: 28002 CW 2025-12-13 1243 OK1HRA        599 005 HK1NA         599 401
QSO: 28004 CW 2025-12-13 1245 OK1HRA        599 6 KD1MC         599 ME
QSO: 28004 CW 2025-12-13 1246 OK1HRA        599 007 NP3A          599 320
QSO: 28005 CW 2025-12-13 1247 OK1HRA        599 8 N1LN          599 NC
QSO: 28006 CW 2025-12-13 1249 OK1HRA        599 010 S51MM         599 439
QSO: 28007 CW 2025-12-13 1250 OK1HRA        599 011 W4IX          599 SC
QSO: 28008 CW 2025-12-13 1251 OK1HRA        599 12 K4RO          599 TN
QSO: 28009 CW 2025-12-13 1253 OK1HRA        599 13 OT6M          599 363
QSO: 28010 CW 2025-12-13 1256 OK1HRA        599 15 EF5Y          599 718
QSO: 28010 CW 2025-12-13 1256 OK1HRA        599 16 II2Q          599 576
QSO: 28010 CW 2025-12-13 1344 OK1HRA        599 17 KG9X          599 IL
QSO: 28010 CW 2025-12-13 1347 OK1HRA        599 19 NN4SS         599 SC
QSO: 28010 CW 2025-12-13 1347 OK1HRA        599 18 W4TG          599 VA
QSO: 28011 CW 2025-12-13 1348 OK1HRA        599 21 KR2AA         599 NY
QSO: 28011 CW 2025-12-13 1348 OK1HRA        599 20 NA3M          599 MD
QSO: 28011 CW 2025-12-13 1349 OK1HRA        599 022 N1WR          599 VA
QSO: 28000 CW 2025-12-13 1352 OK1HRA        599 023 OK1PFM        599 031
QSO: 28010 CW 2025-12-13 1352 OK1HRA        599 024 AK1MD         599 MA
QSO: 28011 CW 2025-12-13 1353 OK1HRA        599 025 WS9V          599 IL
QSO: 28011 CW 2025-12-13 1354 OK1HRA        599 26 W8ZN          599 VA
QSO: 28011 CW 2025-12-13 1355 OK1HRA        599 27 WA4JUK        599 VA
QSO: 28010 CW 2025-12-13 1359 OK1HRA        599 29 N2PX          599 NC
QSO: 28011 CW 2025-12-13 1359 OK1HRA        599 28 N9CO          599 IL
QSO: 28014 CW 2025-12-13 1403 OK1HRA        599 30 K0TRL         599 KS
QSO: 28010 CW 2025-12-13 1404 OK1HRA        599 33 KB3MP         599 PA
QSO: 28011 CW 2025-12-13 1404 OK1HRA        599 034 NN2NN         599 NY
QSO: 28011 CW 2025-12-13 1407 OK1HRA        599 36 K3QP          599 PA
QSO: 28011 CW 2025-12-13 1407 OK1HRA        599 37 N9DJ          599 IL
QSO: 28011 CW 2025-12-13 1408 OK1HRA        599 38 K4RUM         599 NY
QSO: 28010 CW 2025-12-13 1409 OK1HRA        599 40 N0IRM         599 MO
QSO: 28000 CW 2025-12-13 1410 OK1HRA        599 041 KO4TFE        599 KY
QSO: 28011 CW 2025-12-13 1410 OK1HRA        599 42 K1ZZI         599 SC
QSO: 28010 CW 2025-12-13 1412 OK1HRA        599 044 K2RB          599 CT
QSO: 28011 CW 2025-12-13 1412 OK1HRA        599 045 W1HNZ         599 MA
QSO: 28010 CW 2025-12-13 1413 OK1HRA        599 47 W2GDJ         599 NY
QSO: 28011 CW 2025-12-13 1413 OK1HRA        599 46 NT2DR         599 PA
QSO: 28011 CW 2025-12-13 1416 OK1HRA        599 48 W1CTN         599 NC
QSO: 28010 CW 2025-12-13 1417 OK1HRA        599 49 WB2CPU        599 MA
QSO: 28001 CW 2025-12-13 1419 OK1HRA        599 52 VA3TNM        599 ON
QSO: 28010 CW 2025-12-13 1420 OK1HRA        599 053 K3VA          599 PA
QSO: 28000 CW 2025-12-13 1422 OK1HRA        599 64 W5WTX         599 WI
QSO: 28011 CW 2025-12-13 1424 OK1HRA        599 55 K0AP          599 KS
QSO: 28010 CW 2025-12-13 1426 OK1HRA        599 56 KD3RF         599 PA
QSO: 28010 CW 2025-12-13 1428 OK1HRA        599 57 ZF2SS         599 323
QSO: 28010 CW 2025-12-13 1430 OK1HRA        599 58 N4OGW         599 MS
QSO: 28011 CW 2025-12-13 1432 OK1HRA        599 59 K9WO          599 WI
QSO: 28000 CW 2025-12-13 1433 OK1HRA        599 60 KS3F          599 PA
QSO: 28010 CW 2025-12-13 1433 OK1HRA        599 61 W1ARY         599 CT
QSO: 28011 CW 2025-12-13 1433 OK1HRA        599 62 VO1HP         599 NF
QSO: 28010 CW 2025-12-13 1436 OK1HRA        599 065 K5EK          599 NC
QSO: 28010 CW 2025-12-13 1439 OK1HRA        599 066 W1TO          599 MA
QSO: 28010 CW 2025-12-13 1440 OK1HRA        599 067 WT2J          599 NY
QSO: 28000 CW 2025-12-13 1441 OK1HRA        599 068 OK1DVA        599 073
QSO: 28010 CW 2025-12-13 1441 OK1HRA        599 069 NQ4Y          599 TN
QSO: 28011 CW 2025-12-13 1441 OK1HRA        599 70 N6MA          599 TN
