START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: W6KGP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W6KGP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2025.
QSO: 28009 CW 2025-12-13 1613 W6KGP         599 WY HK1NA         599 955
QSO: 28012 CW 2025-12-13 1617 W6KGP         599 WY W2RQ          599 NJ
QSO: 28000 CW 2025-12-13 2205 W6KGP         599 WY KP4AA         599 2029
QSO: 28001 CW 2025-12-13 2206 W6KGP         599 WY NN7CW         599 FL
QSO: 28002 CW 2025-12-13 2208 W6KGP         599 WY K9RS          599 DE
QSO: 28003 CW 2025-12-13 2208 W6KGP         599 WY AH6KO         599 HI
QSO: 28004 CW 2025-12-13 2209 W6KGP         599 WY AA4NC         599 NC
QSO: 28005 CW 2025-12-13 2210 W6KGP         599 WY N4OGW         599 MS
QSO: 28006 CW 2025-12-13 2210 W6KGP         599 WY KR2Q          599 NJ
QSO: 28006 CW 2025-12-13 2211 W6KGP         599 WY NP3A          599 1316
QSO: 28007 CW 2025-12-13 2212 W6KGP         599 WY K2NV          599 NY
QSO: 28013 CW 2025-12-13 2216 W6KGP         599 WY K1LZ          599 ME
QSO: 28016 CW 2025-12-13 2218 W6KGP         599 WY TI8X          599 1236
QSO: 28019 CW 2025-12-13 2219 W6KGP         599 WY VA2WA         599 QC
QSO: 28041 CW 2025-12-13 2224 W6KGP         599 WY K3CCR         599 MD
QSO: 28041 CW 2025-12-13 2224 W6KGP         599 WY W5GAD         599 LA
QSO: 28043 CW 2025-12-13 2226 W6KGP         599 WY CB1D          599 472
QSO: 28043 CW 2025-12-13 2227 W6KGP         599 WY W4NF          599 VA
QSO: 28048 CW 2025-12-13 2229 W6KGP         599 WY PY2NA         599 178
QSO: 28051 CW 2025-12-13 2232 W6KGP         599 WY LT6T          599 804
QSO: 28052 CW 2025-12-13 2234 W6KGP         599 WY LS5H          599 758
QSO: 28057 CW 2025-12-13 2236 W6KGP         599 WY LU7HF         599 364
QSO: 28059 CW 2025-12-13 2237 W6KGP         599 WY K1TO          599 FL
QSO: 28060 CW 2025-12-13 2238 W6KGP         599 WY N4SVC         599 FL
QSO: 28063 CW 2025-12-13 2238 W6KGP         599 WY N4EXA         599 FL
QSO: 28065 CW 2025-12-13 2239 W6KGP         599 WY N1LN          599 NC
QSO: 28070 CW 2025-12-13 2248 W6KGP         599 WY LS2D          599 0944
QSO: 28071 CW 2025-12-13 2250 W6KGP         599 WY N4KM          599 FL
QSO: 28072 CW 2025-12-13 2251 W6KGP         599 WY XQ3WD         599 611
QSO: 28079 CW 2025-12-13 2252 W6KGP         599 WY PJ2T          599 2058
QSO: 28083 CW 2025-12-13 2253 W6KGP         599 WY N4OX          599 FL
QSO: 28085 CW 2025-12-13 2254 W6KGP         599 WY KU8E          599 GA
QSO: 28004 CW 2025-12-13 2255 W6KGP         599 WY W1WEF         599 CT
QSO: 28015 CW 2025-12-13 2256 W6KGP         599 WY N2UR          599 MA
QSO: 28028 CW 2025-12-13 2258 W6KGP         599 WY LW4DYI        599 227
QSO: 28032 CW 2025-12-13 2259 W6KGP         599 WY N2MM          599 NJ
QSO: 28322 PH 2025-12-13 2305 W6KGP         59 WY PY3OZ         59 1232
QSO: 28448 PH 2025-12-13 2312 W6KGP         59 WY CW5W          59 2104
