START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: GM3YOR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GM3YOR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2025.
QSO: 28017 CW 2025-12-13 1101 GM3YOR        599 012 YT0Z          599 381
QSO: 28019 CW 2025-12-13 1103 GM3YOR        599 13 IO5M          599 0188
QSO: 28000 CW 2025-12-13 1104 GM3YOR        599 015 E77Y          599 044
QSO: 28018 CW 2025-12-13 1104 GM3YOR        599 014 SP8FHK        599 164
QSO: 28000 CW 2025-12-13 1105 GM3YOR        599 016 US7UC         599 014
QSO: 28000 CW 2025-12-13 1106 GM3YOR        599 017 LZ1IQ         599 074
QSO: 28018 CW 2025-12-13 1107 GM3YOR        599 018 RW9DX         599 528
QSO: 28019 CW 2025-12-13 1108 GM3YOR        599 19 DL2NBY        599 190
QSO: 28019 CW 2025-12-13 1108 GM3YOR        599 20 IU0ITX        599 4
QSO: 28019 CW 2025-12-13 1109 GM3YOR        599 021 EA6/GM3ZDH    599 56
QSO: 28018 CW 2025-12-13 1110 GM3YOR        599 022 UT6UD         599 73
QSO: 28019 CW 2025-12-13 1110 GM3YOR        599 23 S57Q          599 246
QSO: 28018 CW 2025-12-13 1111 GM3YOR        599 024 9A9R          599 91
QSO: 28019 CW 2025-12-13 1112 GM3YOR        599 025 E74HX         599 11
QSO: 28004 CW 2025-12-13 1311 GM3YOR        599 26 KD1MC         599 ME
QSO: 28006 CW 2025-12-13 1312 GM3YOR        599 27 9A5Y          599 946
QSO: 28007 CW 2025-12-13 1315 GM3YOR        599 28 NJ3K          599 PA
QSO: 28007 CW 2025-12-13 1316 GM3YOR        599 29 SV8GGI        599 60
QSO: 28007 CW 2025-12-13 1317 GM3YOR        599 030 YT1XC         599 007
QSO: 28007 CW 2025-12-13 1318 GM3YOR        599 31 WA3KCP        599 PA
QSO: 28039 CW 2025-12-13 1320 GM3YOR        599 032 UA6LCN        599 353
QSO: 28039 CW 2025-12-13 1321 GM3YOR        599 33 KU8E          599 GA
QSO: 28039 CW 2025-12-13 1322 GM3YOR        599 35 NM2A          599 NY
QSO: 28039 CW 2025-12-13 1324 GM3YOR        599 036 UX7UU         599 078
QSO: 28039 CW 2025-12-13 1325 GM3YOR        599 037 UA4C          599 410
QSO: 28039 CW 2025-12-13 1326 GM3YOR        599 38 WA4PGM        599 VA
QSO: 28039 CW 2025-12-13 1328 GM3YOR        599 039 KA2DDX        599 NY
QSO: 28039 CW 2025-12-13 1329 GM3YOR        599 42 EU1DC         599 27
QSO: 28039 CW 2025-12-13 1329 GM3YOR        599 41 W8ZN          599 VA
QSO: 28039 CW 2025-12-13 1330 GM3YOR        599 43 NR4M          599 VA
QSO: 28039 CW 2025-12-13 1331 GM3YOR        599 45 UT7ZM         599 61
QSO: 28039 CW 2025-12-13 1332 GM3YOR        599 045 UT2UB         599 189
QSO: 28039 CW 2025-12-13 1332 GM3YOR        599 47 YU0U          599 122
QSO: 28039 CW 2025-12-13 1334 GM3YOR        599 049 W1EQ          599 CT
QSO: 28039 CW 2025-12-13 1336 GM3YOR        599 050 YO9BCM        599 77
QSO: 28039 CW 2025-12-13 1337 GM3YOR        599 051 K3VA          599 PA
QSO: 28039 CW 2025-12-13 1337 GM3YOR        599 052 SP7IIT        599 138
QSO: 28000 CW 2025-12-13 1338 GM3YOR        599 054 UW3WF         599 053
QSO: 28039 CW 2025-12-13 1338 GM3YOR        599 55 EA5EL         599 318
QSO: 28039 CW 2025-12-13 1339 GM3YOR        599 057 N2OO          599 NJ
QSO: 28039 CW 2025-12-13 1339 GM3YOR        599 056 UY5LW         599 135
QSO: 28039 CW 2025-12-13 1340 GM3YOR        599 58 AB2E          599 NJ
QSO: 28039 CW 2025-12-13 1340 GM3YOR        599 60 N3AM          599 MD
QSO: 28039 CW 2025-12-13 1340 GM3YOR        599 59 W4NZ          599 TN
QSO: 28040 CW 2025-12-13 1341 GM3YOR        599 61 HA0SA         599 163
QSO: 28039 CW 2025-12-13 1342 GM3YOR        599 062 N4TB          599 FL
QSO: 28039 CW 2025-12-13 1343 GM3YOR        599 63 AE1T          599 NH
QSO: 28039 CW 2025-12-13 1344 GM3YOR        599 64 K4XL          599 VA
QSO: 28000 CW 2025-12-13 1345 GM3YOR        599 065 UT4WA         599 99
QSO: 28039 CW 2025-12-13 1346 GM3YOR        599 66 K3CCR         599 MD
QSO: 28039 CW 2025-12-13 1347 GM3YOR        599 67 K3QP          599 PA
QSO: 28039 CW 2025-12-13 1349 GM3YOR        599 069 N4LSJ         599 OH
