START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: J35X
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: J35X
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2025.
QSO: 28055 CW 2025-12-13 0024 J35X          599 1 KP2M          599 27
QSO: 28055 CW 2025-12-13 0031 J35X          599 2 PV8DX         599 20
QSO: 28082 CW 2025-12-13 1052 J35X          599 3 S53F          599 54
QSO: 28081 CW 2025-12-13 1053 J35X          599 005 TM6M          599 230
QSO: 28082 CW 2025-12-13 1053 J35X          599 4 9A5M          599 183
QSO: 28082 CW 2025-12-13 1055 J35X          599 6 PI4DX         599 241
QSO: 28081 CW 2025-12-13 1103 J35X          599 008 HG3N          599 315
QSO: 28082 CW 2025-12-13 1103 J35X          599 007 YR8R          599 77
QSO: 28082 CW 2025-12-13 1107 J35X          599 009 UA4M          599 534
QSO: 28082 CW 2025-12-13 1108 J35X          599 10 9A5Y          599 630
QSO: 28082 CW 2025-12-13 1108 J35X          599 011 HG5D          599 220
QSO: 28081 CW 2025-12-13 1109 J35X          599 012 OK3C          599 372
QSO: 28081 CW 2025-12-13 1110 J35X          599 013 OL3A          599 191
QSO: 28081 CW 2025-12-13 1110 J35X          599 013 YT3X          599 475
QSO: 28081 CW 2025-12-13 1111 J35X          599 015 YT7AA         599 269
QSO: 28081 CW 2025-12-13 1112 J35X          599 016 DJ9AO         599 71
QSO: 28000 CW 2025-12-13 1114 J35X          599 018 EA5C          599 33
QSO: 28081 CW 2025-12-13 1114 J35X          599 19 II2Q          599 378
QSO: 28081 CW 2025-12-13 1114 J35X          599 017 SA2OLM        599 044
QSO: 28081 CW 2025-12-13 1115 J35X          599 020 F8CRS         599 041
QSO: 28082 CW 2025-12-13 1118 J35X          599 21 G4IIY         599 161
QSO: 28082 CW 2025-12-13 1118 J35X          599 12 UW5Y          599 288
