START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: N4YHC
CATEGORY-ASSISTED: ASSISTED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-OVERLAY:  TB-WIRES
CLAIMED-SCORE: 9300
LOCATION: KY
NAME: David C. Clark
SOAPBOX: Was able to work some stations even on Easter Weekend.
QSO: 21358 PH 2013-03-31 1754 N4YHC         59  070    N6JW          59  979
QSO: 21231 PH 2013-03-31 1750 N4YHC         59  069    NR7DX         59  510
QSO: 14205 PH 2013-03-31 1654 N4YHC         59  068    K6HNZ         59  852
QSO: 14340 PH 2013-03-31 0320 N4YHC         59  067    NH6V          59  1891
QSO: 14173 PH 2013-03-31 0315 N4YHC         59  066    KL7RA         59  888
QSO: 14284 PH 2013-03-31 0241 N4YHC         59  065    6V7S          59  2417
QSO: 14295 PH 2013-03-31 0238 N4YHC         59  064    YW4D          59  2082
QSO: 14246 PH 2013-03-31 0236 N4YHC         59  063    P41A          59  2475
QSO: 14222 PH 2013-03-31 0230 N4YHC         59  062    RC9O          59  2153
QSO: 21295 PH 2013-03-30 2132 N4YHC         59  061    WA7LT         59  940
QSO: 28417 PH 2013-03-30 2118 N4YHC         59  060    HI3CC         59  808
QSO: 28539 PH 2013-03-30 2116 N4YHC         59  059    HQ2N          59  324
QSO: 28485 PH 2013-03-30 2019 N4YHC         59  058    ZY2WPX        59  962
QSO: 28369 PH 2013-03-30 2013 N4YHC         59  057    PR5D          59  841
QSO: 28526 PH 2013-03-30 2000 N4YHC         59  056    3G3W          59  733
QSO: 28410 PH 2013-03-30 1951 N4YHC         59  055    PX2B          59  1178
QSO: 28365 PH 2013-03-30 1950 N4YHC         59  054    KP4RV         59  747
QSO: 28440 PH 2013-03-30 1941 N4YHC         59  053    PY2MC         59  874
QSO: 28500 PH 2013-03-30 1934 N4YHC         59  052    CE3CT         59  907
QSO: 28445 PH 2013-03-30 1916 N4YHC         59  051    ZM3T          59  063
QSO: 28470 PH 2013-03-30 1913 N4YHC         59  050    CW5W          59  1743
QSO: 28393 PH 2013-03-30 1846 N4YHC         59  049    LW6DG         59  698
QSO: 28340 PH 2013-03-30 1822 N4YHC         59  048    LU8EEM        59  049
QSO: 28430 PH 2013-03-30 1536 N4YHC         59  047    WP3DX         59  324
QSO: 28435 PH 2013-03-30 1529 N4YHC         59  046    TI2OY         59  110
QSO: 21346 PH 2013-03-30 1526 N4YHC         59  045    E77XZ         59  927
QSO: 21289 PH 2013-03-30 1522 N4YHC         59  044    YU5A          59  705
QSO: 21275 PH 2013-03-30 1521 N4YHC         59  043    CR3A          59  1172
QSO: 14242 PH 2013-03-30 1517 N4YHC         59  042    NE5LL         59  197
QSO: 14264 PH 2013-03-30 1516 N4YHC         59  041    VE3DZ         59  952
QSO: 28390 PH 2013-03-30 1426 N4YHC         59  040    WP3A          59  271
QSO: 21389 PH 2013-03-30 1417 N4YHC         59  039    YW5DX         59  395
QSO: 21310 PH 2013-03-30 1412 N4YHC         59  038    WP2Z          59  2025
QSO: 14171 PH 2013-03-30 1402 N4YHC         59  037    NR5M          59  1450
QSO: 14163 PH 2013-03-30 1401 N4YHC         59  036    WA5FWC        59  372
QSO: 28370 PH 2013-03-30 1354 N4YHC         59  035    HK1NA         59  294
QSO: 21382 PH 2013-03-30 1341 N4YHC         59  034    HD2A          59  1568
QSO: 21342 PH 2013-03-30 1340 N4YHC         59  033    NP4Z          59  1297
QSO: 21325 PH 2013-03-30 1336 N4YHC         59  032    CO6LC         59  119
QSO: 21289 PH 2013-03-30 1334 N4YHC         59  031    LV5V          59  489
QSO: 21255 PH 2013-03-30 1324 N4YHC         59  030    CO2WL         59  290
QSO: 21285 PH 2013-03-30 1320 N4YHC         59  029    4A1TD         59  206
QSO: 21280 PH 2013-03-30 1319 N4YHC         59  028    T48K          59  1260
QSO: 14216 PH 2013-03-30 1315 N4YHC         59  027    NS1L          59  697
QSO: 14326 PH 2013-03-30 1314 N4YHC         59  026    WR5O          59  319
QSO: 14205 PH 2013-03-30 1308 N4YHC         59  025    KT5J          59  1176
QSO: 14202 PH 2013-03-30 1307 N4YHC         59  024    XE1OGG        59  266
QSO: 14158 PH 2013-03-30 1306 N4YHC         59  023    VK4KW         59  399
QSO: 7194  PH 2013-03-30 0453 N4YHC         59  022    WP2Z          59  918
QSO: 7164  PH 2013-03-30 0444 N4YHC         59  021    KZ1W          59  256
QSO: 7178  PH 2013-03-30 0430 N4YHC         59  020    KW7XX         59  256
QSO: 7156  PH 2013-03-30 0426 N4YHC         59  019    NR5M          59  742
QSO: 7144  PH 2013-03-30 0425 N4YHC         59  018    NE1C          59  286
QSO: 7153  PH 2013-03-30 0421 N4YHC         59  017    KQ2M          59  268
QSO: 7193  PH 2013-03-30 0419 N4YHC         59  016    WA2VUY        59  055
QSO: 7222  PH 2013-03-30 0412 N4YHC         59  015    K5RT          59  576
QSO: 14271 PH 2013-03-30 0330 N4YHC         59  014    ED8W          59  456
QSO: 14167 PH 2013-03-30 0325 N4YHC         59  013    KM7TR         59  013
QSO: 14226 PH 2013-03-30 0322 N4YHC         59  012    9Y4LDK        59  441
QSO: 14165 PH 2013-03-30 0302 N4YHC         59  011    KI7M          59  197
QSO: 14191 PH 2013-03-30 0227 N4YHC         59  010    HI3CC         59  379
QSO: 14221 PH 2013-03-30 0143 N4YHC         59  009    D4C           59  347
QSO: 14181 PH 2013-03-30 0140 N4YHC         59  008    KP2TM         59  363
QSO: 14170 PH 2013-03-30 0138 N4YHC         59  007    T48K          59  304
QSO: 14295 PH 2013-03-30 0134 N4YHC         59  006    WC6H          59  140
QSO: 14246 PH 2013-03-30 0133 N4YHC         59  005    K7ZSD         59  147
QSO: 14227 PH 2013-03-30 0129 N4YHC         59  004    XE1B          59  205
QSO: 14214 PH 2013-03-30 0127 N4YHC         59  003    HK1NA         59  391
QSO: 14184 PH 2013-03-30 0109 N4YHC         59  002    9Y4W          59  231
QSO: 14242 PH 2013-03-30 0106 N4YHC         59  001    VE6AO         59  111
END-OF-LOG:
