START-OF-LOG: 3.0
CALLSIGN: SP6AHL
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 24-HOURS
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 53850
CREATED-BY: RUMped Ver. 3.2.2  by Tom, DL2RUM
NAME: Adrian Helwig
OPERATORS: SP6AHL
OFFTIME: 2013-03-30 2112 2013-03-31 1011
OFFTIME: 2013-03-31 1233 2013-03-31 1446
OFFTIME: 2013-03-31 1824 2013-03-31 2201
SOAPBOX: First WPX participation with the new equipment. I had a lot
SOAPBOX: of fun. And 48 h is really a lot of time...
QSO:  3755 PH 2013-03-30 1922 SP6AHL        59     001 SP8LBK        59     279 0
QSO:  3750 PH 2013-03-30 1924 SP6AHL        59     002 YT4A          59     593 0
QSO:  3746 PH 2013-03-30 1927 SP6AHL        59     003 YL2SM         59    1354 0
QSO:  3732 PH 2013-03-30 1929 SP6AHL        59     004 DR1D          59     736 0
QSO:  3727 PH 2013-03-30 1931 SP6AHL        59     005 DR7B          59     033 0
QSO:  3722 PH 2013-03-30 1932 SP6AHL        59     006 RU1A          59     424 0
QSO:  3715 PH 2013-03-30 1934 SP6AHL        59     007 US5D          59     753 0
QSO:  3712 PH 2013-03-30 1939 SP6AHL        59     008 SM7PEV        59     393 0
QSO:  3704 PH 2013-03-30 1940 SP6AHL        59     009 OT5A          59     604 0
QSO:  3698 PH 2013-03-30 1942 SP6AHL        59     010 E720IARU      59     898 0
QSO:  3694 PH 2013-03-30 1943 SP6AHL        59     011 DP6T          59     283 0
QSO:  3681 PH 2013-03-30 1944 SP6AHL        59     012 SQ9ORQ        59     169 0
QSO:  3661 PH 2013-03-30 1946 SP6AHL        59     013 SQ2PHG        59     239 0
QSO:  3652 PH 2013-03-30 1946 SP6AHL        59     014 II3M          59     330 0
QSO:  3645 PH 2013-03-30 1948 SP6AHL        59     015 PH600NYK      59     023 0
QSO:  3628 PH 2013-03-30 1950 SP6AHL        59     016 YU1BBA        59     240 0
QSO:  3800 PH 2013-03-30 1953 SP6AHL        59     017 E7DX          59    2210 0
QSO:  3793 PH 2013-03-30 1956 SP6AHL        59     018 LZ9W          59     620 0
QSO:  3776 PH 2013-03-30 2007 SP6AHL        59     019 HG1G          59     195 0
QSO:  3771 PH 2013-03-30 2008 SP6AHL        59     020 DR1A          59     698 0
QSO:  7158 PH 2013-03-30 2010 SP6AHL        59     021 DR1A          59    1298 0
QSO:  3763 PH 2013-03-30 2011 SP6AHL        59     022 9A3B          59     680 0
QSO:  3757 PH 2013-03-30 2013 SP6AHL        59     023 PA9M          59     484 0
QSO:  3742 PH 2013-03-30 2013 SP6AHL        59     024 SH3Y          59     465 0
QSO:  3734 PH 2013-03-30 2015 SP6AHL        59     025 EW2A          59    1217 0
QSO:  7090 PH 2013-03-30 2025 SP6AHL        59     026 EA4RCH        59     731 0
QSO:  7095 PH 2013-03-30 2027 SP6AHL        59     027 RG3K          59    1955 0
QSO:  7098 PH 2013-03-30 2029 SP6AHL        59     028 H27A          59    4183 0
QSO:  7131 PH 2013-03-30 2031 SP6AHL        59     029 RF9C          59     690 0
QSO:  7163 PH 2013-03-30 2035 SP6AHL        59     030 IT9ZGY        59     656 0
