START-OF-LOG: 3.0
CREATED-BY: QARTest 3.1.1
CONTEST: CQ-WPX-SSB
CALLSIGN: I5KAP
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: SSB
CATEGORY-BAND: 10M
CATEGORY-POWER: QRP
CLAIMED-SCORE: 40040
NAME: Franco Bernardini
SOAPBOX: Beatiful propagatin, good chance for QRP power.
SOAPBOX: Many thanks also for my corresponding "OM"for your efficient
SOAPBOX: statiopns and your marked disponibility
SOAPBOX: They were absolutely wonderfull ---------- ATTENTION!! -----------  ATTENTION !!  ------------- This is important to me, I inform you that to finish two QSO I use 15W so no QRP power (strong QSB for my little power), please this QSO no in my claimed-score, please use you only for check-log The two QSOs: 1°) my QSO N°097 at 19:13 GMT with PP1CZ,  your N° 59-516 2°) my QSO N°112 at 13:31 GMT with T5TC,   your N° 59-650
QSO: 28000 PH 2013-03-30 0700 I5KAP         59     001 A71AM         59     083
QSO: 28000 PH 2013-03-30 0726 I5KAP         59     002 A71A          59     041
QSO: 28000 PH 2013-03-30 0801 I5KAP         59     003 HZ1DG         59     271
QSO: 28000 PH 2013-03-30 0830 I5KAP         59     004 YB2LSR        59     161
QSO: 28000 PH 2013-03-30 0833 I5KAP         59     005 9K2HN         59     161
QSO: 28000 PH 2013-03-30 0842 I5KAP         59     006 7Z1CQ         59     076
QSO: 28000 PH 2013-03-30 0846 I5KAP         59     007 RM4HZ         59     472
QSO: 28000 PH 2013-03-30 0853 I5KAP         59     008 B7JA          59     179
QSO: 28000 PH 2013-03-30 0858 I5KAP         59     009 VK6DXI        59     434
QSO: 28000 PH 2013-03-30 0905 I5KAP         59     010 RC6U          59     750
QSO: 28000 PH 2013-03-30 0907 I5KAP         59     011 RT9S          59     395
QSO: 28000 PH 2013-03-30 0910 I5KAP         59     012 RM4A          59     155
QSO: 28000 PH 2013-03-30 0914 I5KAP         59     013 4Z5IW         59     194
QSO: 28000 PH 2013-03-30 0919 I5KAP         59     014 VK6YS         59     068
QSO: 28000 PH 2013-03-30 0922 I5KAP         59     015 4X0A          59     252
QSO: 28000 PH 2013-03-30 0924 I5KAP         59     016 4X6FR         59     294
QSO: 28000 PH 2013-03-30 0947 I5KAP         59     017 RF9C          59     063
QSO: 28000 PH 2013-03-30 0956 I5KAP         59     018 YB1BGI        59     144
QSO: 28000 PH 2013-03-30 1003 I5KAP         59     019 EK3GM         59     061
QSO: 28000 PH 2013-03-30 1015 I5KAP         59     020 ZS5SAM        59     068
QSO: 28000 PH 2013-03-30 1021 I5KAP         59     021 CR5D          59     012
QSO: 28000 PH 2013-03-30 1025 I5KAP         59     022 RA8T          59     314
QSO: 28000 PH 2013-03-30 1026 I5KAP         59     023 UN6P          59     124
QSO: 28000 PH 2013-03-30 1030 I5KAP         59     024 UP7G          59     287
QSO: 28000 PH 2013-03-30 1058 I5KAP         59     025 CW5W          59     451
QSO: 28000 PH 2013-03-30 1059 I5KAP         59     026 LW8DQ         59     035
QSO: 28000 PH 2013-03-30 1103 I5KAP         59     027 ZY2WPX        59     144
QSO: 28000 PH 2013-03-30 1109 I5KAP         59     028 PR5D          59     138
QSO: 28000 PH 2013-03-30 1114 I5KAP         59     029 D4C           59     233
QSO: 28000 PH 2013-03-30 1119 I5KAP         59     030 PQ5B          59    1136
QSO: 28000 PH 2013-03-30 1123 I5KAP         59     031 LR3M          59     039
QSO: 28000 PH 2013-03-30 1125 I5KAP         59     032 UD4FD         59     199
QSO: 28000 PH 2013-03-30 1128 I5KAP         59     033 UA4M          59    1116
QSO: 28000 PH 2013-03-30 1130 I5KAP         59     034 PP5FB         59     207
QSO: 28000 PH 2013-03-30 1132 I5KAP         59     035 LU5FC         59     433
QSO: 28000 PH 2013-03-30 1135 I5KAP         59     036 ZZ2T          59     768
QSO: 28000 PH 2013-03-30 1138 I5KAP         59     037 LR2F          59     353
QSO: 28000 PH 2013-03-30 1140 I5KAP         59     038 PX2B          59     279
QSO: 28000 PH 2013-03-30 1146 I5KAP         59     039 PX5E          59     585
QSO: 28000 PH 2013-03-30 1148 I5KAP         59     040 PY4OG         59     619
QSO: 28000 PH 2013-03-30 1153 I5KAP         59     041 CV5D          59     088
QSO: 28000 PH 2013-03-30 1157 I5KAP         59     042 CX5CBA        59     087
QSO: 28000 PH 2013-03-30 1159 I5KAP         59     043 PY2EJ         59     045
QSO: 28000 PH 2013-03-30 1201 I5KAP         59     044 ZX5ZZ         59     209
QSO: 28000 PH 2013-03-30 1204 I5KAP         59     045 PY1NX         59     216
QSO: 28000 PH 2013-03-30 1206 I5KAP         59     046 ED8B          59     081
QSO: 28000 PH 2013-03-30 1208 I5KAP         59     047 PY2BX         59     068
QSO: 28000 PH 2013-03-30 1215 I5KAP         59     048 EB8AH         59    1834
QSO: 28000 PH 2013-03-30 1217 I5KAP         59     049 PY2HT         59     039
QSO: 28000 PH 2013-03-30 1220 I5KAP         59     050 LU7HZ         59     129
QSO: 28000 PH 2013-03-30 1222 I5KAP         59     051 EA8TX         59     085
QSO: 28000 PH 2013-03-30 1223 I5KAP         59     052 LO5D          59     157
QSO: 28000 PH 2013-03-30 1306 I5KAP         59     053 PU5FJR        59     194
QSO: 28000 PH 2013-03-30 1311 I5KAP         59     054 ZV2K          59     516
QSO: 28000 PH 2013-03-30 1314 I5KAP         59     055 EE8T          59     217
QSO: 28000 PH 2013-03-30 1316 I5KAP         59     056 PY2VZ         59     141
QSO: 28000 PH 2013-03-30 1321 I5KAP         59     057 LV6D          59     231
QSO: 28000 PH 2013-03-30 1327 I5KAP         59     058 CE5CN         59     138
QSO: 28000 PH 2013-03-30 1329 I5KAP         59     059 PW7T          59     242
QSO: 28000 PH 2013-03-30 1334 I5KAP         59     060 PU2STZ        59     046
QSO: 28000 PH 2013-03-30 1339 I5KAP         59     061 PU1MKZ        59     097
QSO: 28000 PH 2013-03-30 1342 I5KAP         59     062 PY2EL         59     077
QSO: 28000 PH 2013-03-30 1350 I5KAP         59     063 PY2NY         59     393
QSO: 28000 PH 2013-03-30 1352 I5KAP         59     064 CX5TR         59     205
QSO: 28000 PH 2013-03-30 1411 I5KAP         59     065 XR3P          59     189
QSO: 28000 PH 2013-03-30 1413 I5KAP         59     066 EA8CNR        59     119
QSO: 28000 PH 2013-03-30 1422 I5KAP         59     067 PY1PDF        59     213
QSO: 28000 PH 2013-03-30 1428 I5KAP         59     068 XR3Y          59     333
QSO: 28000 PH 2013-03-30 1433 I5KAP         59     069 VU2DSI        59     346
QSO: 28000 PH 2013-03-30 1440 I5KAP         59     070 YB1C          59     879
QSO: 28000 PH 2013-03-30 1442 I5KAP         59     071 YB2DX         59     852
QSO: 28000 PH 2013-03-30 1447 I5KAP         59     072 LU6FOV        59     288
QSO: 28000 PH 2013-03-30 1449 I5KAP         59     073 EE8L          59     149
QSO: 28000 PH 2013-03-30 1453 I5KAP         59     074 PW2D          59     031
QSO: 28000 PH 2013-03-30 1458 I5KAP         59     075 PY1PL         59     075
QSO: 28000 PH 2013-03-30 1501 I5KAP         59     076 PY1MT         59     082
QSO: 28000 PH 2013-03-30 1516 I5KAP         59     077 PU2WDX        59     092
QSO: 28000 PH 2013-03-30 1526 I5KAP         59     078 PY2MC         59     597
QSO: 28000 PH 2013-03-30 1539 I5KAP         59     079 PV7M          59     366
QSO: 28000 PH 2013-03-30 1543 I5KAP         59     080 CE1DY         59     586
QSO: 28000 PH 2013-03-30 1547 I5KAP         59     081 ZS2DL         59     246
QSO: 28000 PH 2013-03-30 1552 I5KAP         59     082 PU5IKE        59     076
QSO: 28000 PH 2013-03-30 1559 I5KAP         59     083 PY5VC         59     257
QSO: 28000 PH 2013-03-30 1605 I5KAP         59     084 CE3CT         59     598
QSO: 28000 PH 2013-03-30 1610 I5KAP         59     085 PY5FO         59     160
QSO: 28000 PH 2013-03-30 1615 I5KAP         59     086 PU5AGM        59     115
QSO: 28000 PH 2013-03-30 1628 I5KAP         59     087 3G3W          59     405
QSO: 28000 PH 2013-03-30 1637 I5KAP         59     088 PY1LMP        59     170
QSO: 28000 PH 2013-03-30 1647 I5KAP         59     089 PY7AHA        59     130
QSO: 28000 PH 2013-03-30 1648 I5KAP         59     090 ZP9MCE        59     252
QSO: 28000 PH 2013-03-30 1810 I5KAP         59     091 LU8EEM        59     028
QSO: 28000 PH 2013-03-30 1814 I5KAP         59     092 PY2OE         59     823
QSO: 28000 PH 2013-03-30 1821 I5KAP         59     093 PU2SPW        59     223
QSO: 28000 PH 2013-03-30 1835 I5KAP         59     094 LU7YZ         59     305
QSO: 28000 PH 2013-03-30 1841 I5KAP         59     095 CX2CC         59     352
QSO: 28000 PH 2013-03-30 1845 I5KAP         59     096 LU7HF         59     281
QSO: 28000 PH 2013-03-30 1903 I5KAP         59     097 PP1CZ         59     516
QSO: 28000 PH 2013-03-31 0810 I5KAP         59     098 YE1K          59     802
QSO: 28000 PH 2013-03-31 0814 I5KAP         59     099 YB6LAY        59     168
QSO: 28000 PH 2013-03-31 0819 I5KAP         59     100 VK6XX         59     347
QSO: 28000 PH 2013-03-31 0842 I5KAP         59     101 VU2RBI        59     377
QSO: 28000 PH 2013-03-31 0846 I5KAP         59     102 5R8UI         59     196
QSO: 28000 PH 2013-03-31 0848 I5KAP         59     103 TO7BC         59     793
QSO: 28000 PH 2013-03-31 0902 I5KAP         59     104 UX0FF         59     029
QSO: 28000 PH 2013-03-31 0905 I5KAP         59     105 7Z1HL         59     641
QSO: 28000 PH 2013-03-31 0946 I5KAP         59     106 IQ2MM         59     471
QSO: 28000 PH 2013-03-31 0951 I5KAP         59     107 ZS6EE         59     227
QSO: 28000 PH 2013-03-31 1002 I5KAP         59     108 9W2VVH        59     265
QSO: 28000 PH 2013-03-31 1012 I5KAP         59     109 6V7S          59    2769
QSO: 28000 PH 2013-03-31 1048 I5KAP         59     110 VU2NKS        59     589
QSO: 28000 PH 2013-03-31 1326 I5KAP         59     111 PP5ZP         59     514
QSO: 28000 PH 2013-03-31 1331 I5KAP         59     112 T5TC          59     650
QSO: 28000 PH 2013-03-31 1343 I5KAP         59     113 CA3JRI        59     083
QSO: 28000 PH 2013-03-31 1357 I5KAP         59     114 HD2A          59    3411
QSO: 28000 PH 2013-03-31 1405 I5KAP         59     115 CT/K0RUI      59     228
QSO: 28000 PH 2013-03-31 1410 I5KAP         59     116 DK3T          59     151
QSO: 28000 PH 2013-03-31 1414 I5KAP         59     117 HB9AFI        59     089
QSO: 28000 PH 2013-03-31 1430 I5KAP         59     118 IR4M          59    2010
QSO: 28000 PH 2013-03-31 1446 I5KAP         59     119 IB1B          59    1269
QSO: 28000 PH 2013-03-31 1501 I5KAP         59     120 PY1RJ         59     247
QSO: 28000 PH 2013-03-31 1510 I5KAP         59     121 EF8O          59     530
QSO: 28000 PH 2013-03-31 1514 I5KAP         59     122 DL3KO         59     274
QSO: 28000 PH 2013-03-31 1529 I5KAP         59     123 KP2TM         59    5011
QSO: 28000 PH 2013-03-31 1534 I5KAP         59     124 HK1NA         59    1997
QSO: 28000 PH 2013-03-31 1538 I5KAP         59     125 DM3W          59     262
QSO: 28000 PH 2013-03-31 1553 I5KAP         59     126 CE2LS         59     326
QSO: 28000 PH 2013-03-31 1557 I5KAP         59     127 PY1KR         59     509
QSO: 28000 PH 2013-03-31 1636 I5KAP         59     128 RI1ANU        59     969
QSO: 28000 PH 2013-03-31 1717 I5KAP         59     129 DR1A          59     597
QSO: 28000 PH 2013-03-31 1727 I5KAP         59     130 CE3TKV        59     293
QSO: 28000 PH 2013-03-31 1733 I5KAP         59     131 PU5SVE        59     268
QSO: 28000 PH 2013-03-31 1751 I5KAP         59     132 WP2Z          59    5558
QSO: 28000 PH 2013-03-31 1803 I5KAP         59     133 DF9ZP         59     405
QSO: 28000 PH 2013-03-31 1813 I5KAP         59     134 CX9AU         59     528
QSO: 28000 PH 2013-03-31 1823 I5KAP         59     135 LU1ALF        59     157
QSO: 28000 PH 2013-03-31 1831 I5KAP         59     136 LW2EE         59     033
QSO: 28000 PH 2013-03-31 1837 I5KAP         59     137 OE5UAL        59     238
QSO: 28000 PH 2013-03-31 1847 I5KAP         59     138 3G3BC         59     377
QSO: 28000 PH 2013-03-31 1935 I5KAP         59     139 M6T           59     376
QSO: 28000 PH 2013-03-31 1951 I5KAP         59     140 LU9DAG        59     266
QSO: 28000 PH 2013-03-31 2007 I5KAP         59     141 LW1HR         59     301
END-OF-LOG:
