START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: PD4MK
CLUB: VERON
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 3984
OPERATORS: PD4MK
SOAPBOX: Nice contest. Hope 2 cu next time. 73 de PD4MK
NAME: Marcel
CREATED-BY: N1MM Logger V13.1.2
QSO: 14204 PH 2013-03-30 0905 PD4MK         59  0001   TM6M          59  0217
QSO: 14206 PH 2013-03-30 0905 PD4MK         59  0002   TM1T          59  0237
QSO: 14218 PH 2013-03-30 0910 PD4MK         59  0003   YU1ARC        59  0385
QSO: 14227 PH 2013-03-30 0917 PD4MK         59  0004   RM5A          59  0982
QSO: 14240 PH 2013-03-30 0919 PD4MK         59  0005   TM0R          59  0732
QSO: 14209 PH 2013-03-30 0939 PD4MK         59  0006   UT8UF         59  0235
QSO: 14208 PH 2013-03-30 1242 PD4MK         59  0007   ON2TD         59  0663
QSO: 14215 PH 2013-03-30 1245 PD4MK         59  0008   LZ4RR         59  1009
QSO: 14226 PH 2013-03-30 1247 PD4MK         59  0009   LY7A          59  0512
QSO: 14235 PH 2013-03-30 1250 PD4MK         59  0010   EW8DX         59  0187
QSO: 28378 PH 2013-03-30 1300 PD4MK         59  0011   H2T           59  1363
QSO: 28435 PH 2013-03-30 1303 PD4MK         59  0012   H27A          59  2770
QSO:  7068 PH 2013-03-30 1312 PD4MK         59  0013   LN6Q          59  0045
QSO: 14232 PH 2013-03-30 1520 PD4MK         59  0014   R1DX          59  0501
QSO:  7075 PH 2013-03-30 1526 PD4MK         59  0015   LX7I          59  1013
QSO:  7072 PH 2013-03-30 1527 PD4MK         59  0016   ON3BZ         59  0118
QSO:  7063 PH 2013-03-30 1528 PD4MK         59  0017   DD1MAT        59  0192
QSO: 14181 PH 2013-03-30 1735 PD4MK         59  0018   UT7E          59  1324
QSO: 14166 PH 2013-03-30 1740 PD4MK         59  0019   YT1A          59  0968
QSO: 14162 PH 2013-03-30 1740 PD4MK         59  0020   YQ6A          59  0940
QSO: 14163 PH 2013-03-31 0606 PD4MK         59  0021   P33W          59  5278
QSO: 14170 PH 2013-03-31 0607 PD4MK         59  0022   UW7LL         59  1982
QSO: 14188 PH 2013-03-31 0609 PD4MK         59  0023   LZ20TRC       59  1056
QSO: 14189 PH 2013-03-31 0609 PD4MK         59  0024   YT0Z          59  1591
QSO: 14196 PH 2013-03-31 0611 PD4MK         59  0025   YT4W          59  1335
QSO: 14205 PH 2013-03-31 0614 PD4MK         59  0026   H27A          59  5261
QSO: 14223 PH 2013-03-31 0617 PD4MK         59  0027   RM3Q          59  1974
QSO: 14245 PH 2013-03-31 0622 PD4MK         59  0028   UT4UO         59  0039
QSO: 14243 PH 2013-03-31 0623 PD4MK         59  0029   YR8D          59  1031
QSO:  7074 PH 2013-03-31 0625 PD4MK         59  0030   SE0X          59  1573
QSO:  7088 PH 2013-03-31 0627 PD4MK         59  0031   S51A          59  0908
QSO:  7091 PH 2013-03-31 0628 PD4MK         59  0032   DQ0L          59  1291
QSO:  7093 PH 2013-03-31 0630 PD4MK         59  0033   OE/KH7XX      59  0491
QSO:  7100 PH 2013-03-31 0632 PD4MK         59  0034   II9K          59  0267
QSO:  7080 PH 2013-03-31 0638 PD4MK         59  0035   F4DPW         59  0650
QSO:  7069 PH 2013-03-31 0639 PD4MK         59  0036   S56X          59  1104
QSO:  7066 PH 2013-03-31 0640 PD4MK         59  0037   HG7T          59  0919
QSO:  7062 PH 2013-03-31 0641 PD4MK         59  0038   OK1WCF        59  0784
QSO:  7095 PH 2013-03-31 0702 PD4MK         59  0039   DQ4W          59  0336
QSO:  7072 PH 2013-03-31 0704 PD4MK         59  0040   OK1UG         59  0903
QSO:  7064 PH 2013-03-31 0705 PD4MK         59  0041   S50XX         59  1069
QSO:  7055 PH 2013-03-31 0707 PD4MK         59  0042   LY9A          59  0639
QSO:  7098 PH 2013-03-31 0712 PD4MK         59  0043   DD1LD         59  0846
QSO: 14250 PH 2013-03-31 0714 PD4MK         59  0044   R3GM          59  0179
QSO: 14248 PH 2013-03-31 0715 PD4MK         59  0045   EA4RCH        59  0990
QSO: 14227 PH 2013-03-31 0719 PD4MK         59  0046   R3BA          59  0677
QSO: 14222 PH 2013-03-31 0721 PD4MK         59  0047   ED9Z          59  0982
QSO: 14205 PH 2013-03-31 0726 PD4MK         59  0048   R3NA          59  0546
QSO: 14203 PH 2013-03-31 0726 PD4MK         59  0049   II1A          59  1456
QSO: 14178 PH 2013-03-31 0729 PD4MK         59  0050   UX0RR         59  0114
QSO: 14181 PH 2013-03-31 0732 PD4MK         59  0051   5D5A          59  4446
QSO: 14171 PH 2013-03-31 0734 PD4MK         59  0052   YO3CZW        59  1879
QSO: 14140 PH 2013-03-31 0741 PD4MK         59  0053   RW3XZ         59  0132
END-OF-LOG:
