START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: ND3R
LOCATION: WPA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLAIMED-SCORE: 123190
OPERATORS: ND3R
NAME: Paul Ginther
SOAPBOX: Great contest as always. See you all in the cw test.
QSO: 14000 PH 2013-03-30 0006 ND3R          59  001    PY1ZV         59  011    0
QSO: 14000 PH 2013-03-30 0006 ND3R          59  002    PW7T          59  007    0
QSO: 14000 PH 2013-03-30 0015 ND3R          59  003    PJ4D          59  058    0
QSO: 14000 PH 2013-03-30 0121 ND3R          59  004    NR5M          59  298    0
QSO: 14000 PH 2013-03-30 0124 ND3R          59  005    NP4Z          59  337    0
QSO: 21000 PH 2013-03-30 0131 ND3R          59  006    CX4BW         59  150    0
QSO: 14000 PH 2013-03-30 0138 ND3R          59  007    XE1B          59  222    0
QSO: 14000 PH 2013-03-30 0152 ND3R          59  008    9Y4LDK        59  229    0
QSO: 14000 PH 2013-03-30 0153 ND3R          59  009    D4C           59  384    0
QSO: 14000 PH 2013-03-30 0158 ND3R          59  010    PR5B          59  422    0
QSO: 14000 PH 2013-03-30 0207 ND3R          59  011    YV2BYT        59  074    0
QSO: 14000 PH 2013-03-30 0213 ND3R          59  012    YW5DX         59  210    0
QSO: 14000 PH 2013-03-30 0217 ND3R          59  013    HI3CC         59  352    0
QSO: 14000 PH 2013-03-30 0218 ND3R          59  014    9Y4W          59  435    0
QSO: 14000 PH 2013-03-30 0219 ND3R          59  015    WA7LT         59  165    0
QSO: 14000 PH 2013-03-30 0220 ND3R          59  016    PZ5RA         59  219    0
QSO: 14000 PH 2013-03-30 0224 ND3R          59  017    T48K          59  428    0
QSO: 14000 PH 2013-03-30 0225 ND3R          59  018    VA7ST         59  092    0
QSO: 14000 PH 2013-03-30 0227 ND3R          59  019    PV2P          59  237    0
QSO: 14000 PH 2013-03-30 0229 ND3R          59  020    CX2DK         59  247    0
QSO: 14000 PH 2013-03-30 0231 ND3R          59  021    YW5T          59  325    0
QSO: 14000 PH 2013-03-30 0232 ND3R          59  022    NP3PR         59  057    0
QSO: 14000 PH 2013-03-30 0234 ND3R          59  023    LT0H          59  276    0
QSO: 14000 PH 2013-03-30 0234 ND3R          59  024    WX7P          59  138    0
QSO: 14000 PH 2013-03-30 0236 ND3R          59  025    VE7WO         59  099    0
QSO: 14293 PH 2013-03-30 0245 ND3R          59  026    VE3EJ         59  316    0
QSO: 14288 PH 2013-03-30 0246 ND3R          59  027    8P5A          59  772    0
QSO: 14284 PH 2013-03-30 0248 ND3R          59  028    YW4D          59  469    0
QSO: 14286 PH 2013-03-30 0252 ND3R          59  029    HD2A          59  507    0
QSO: 14280 PH 2013-03-30 0253 ND3R          59  030    KP2MM         59  591    0
QSO: 14274 PH 2013-03-30 0257 ND3R          59  031    N7RO          59  144    0
QSO:  7167 PH 2013-03-30 0308 ND3R          59  032    D4C           59  421    0
QSO:  7234 PH 2013-03-30 0310 ND3R          59  033    PR7AP         59  202    0
QSO:  7239 PH 2013-03-30 0310 ND3R          59  034    NB7V          59  116    0
QSO:  7244 PH 2013-03-30 0314 ND3R          59  035    WA5FWC        59  201    0
QSO:  7240 PH 2013-03-30 0315 ND3R          59  036    HK3JJB        59  061    0
QSO:  7232 PH 2013-03-30 0317 ND3R          59  037    WW0WWW        59  342    0
QSO:  7223 PH 2013-03-30 0322 ND3R          59  038    K0RH          59  363    0
QSO:  7222 PH 2013-03-30 0323 ND3R          59  039    K5RT          59  457    0
QSO:  7215 PH 2013-03-30 0328 ND3R          59  040    NV9L          59  355    0
QSO:  7210 PH 2013-03-30 0329 ND3R          59  041    K9CT          59  368    0
QSO:  7196 PH 2013-03-30 0332 ND3R          59  042    EB8AH         59  572    0
QSO:  7191 PH 2013-03-30 0332 ND3R          59  043    ED1R          59  500    0
QSO:  7183 PH 2013-03-30 0334 ND3R          59  044    ED3X          59  298    0
QSO:  7180 PH 2013-03-30 0334 ND3R          59  045    KB0EO         59  227    0
QSO:  7177 PH 2013-03-30 0335 ND3R          59  046    IO5O          59  351    0
QSO:  7170 PH 2013-03-30 0336 ND3R          59  047    W5WMU         59  375    0
QSO:  7161 PH 2013-03-30 0339 ND3R          59  048    NQ4I          59  381    0
QSO:  7157 PH 2013-03-30 0340 ND3R          59  049    NR5M          59  660    0
QSO:  7152 PH 2013-03-30 0341 ND3R          59  050    WC6H          59  145    0
QSO:  7150 PH 2013-03-30 0342 ND3R          59  051    AC0W          59  176    0
QSO:  7145 PH 2013-03-30 0343 ND3R          59  052    5D5A          59  632    0
QSO:  7133 PH 2013-03-30 0346 ND3R          59  053    N4WW          59  237    0
QSO:  7131 PH 2013-03-30 0346 ND3R          59  054    KT5J          59  577    0
QSO:  7130 PH 2013-03-30 0347 ND3R          59  055    YW5DX         59  066    0
QSO:  7128 PH 2013-03-30 0348 ND3R          59  056    KJ3X          59  556    0
QSO:  3771 PH 2013-03-30 0350 ND3R          59  057    WI0WA         59  407    0
QSO:  3763 PH 2013-03-30 0351 ND3R          59  058    CF3A          59  501    0
QSO:  3758 PH 2013-03-30 0353 ND3R          59  059    WZ8DX         59  121    0
QSO:  3750 PH 2013-03-30 0354 ND3R          59  060    KC3R          59  269    0
QSO:  3739 PH 2013-03-30 0355 ND3R          59  061    NM1C          59  134    0
QSO:  3722 PH 2013-03-30 0357 ND3R          59  062    NX0X          59  279    0
QSO:  3707 PH 2013-03-30 0358 ND3R          59  063    KU4V          59  106    0
QSO:  3692 PH 2013-03-30 0400 ND3R          59  064    N0MA          59  004    0
QSO:  3681 PH 2013-03-30 0401 ND3R          59  065    VE9AA         59  061    0
QSO:  3660 PH 2013-03-30 0403 ND3R          59  066    NE1C          59  131    0
QSO:  3651 PH 2013-03-30 0404 ND3R          59  067    W1XX          59  136    0
QSO:  3645 PH 2013-03-30 0405 ND3R          59  068    WQ2N          59  218    0
QSO:  3633 PH 2013-03-30 0405 ND3R          59  069    VE3DZ         59  406    0
QSO:  3818 PH 2013-03-30 0408 ND3R          59  070    VE3CX         59  154    0
QSO:  3810 PH 2013-03-30 0409 ND3R          59  071    KD4D          59  330    0
QSO:  3799 PH 2013-03-30 0415 ND3R          59  072    CN2R          59  612    0
QSO:  7293 PH 2013-03-30 0420 ND3R          59  073    WN6K          59  145    0
QSO:  7270 PH 2013-03-30 0422 ND3R          59  074    KG2A/VP9      59  192    0
QSO:  7267 PH 2013-03-30 0425 ND3R          59  075    P40L          59  758    0
QSO:  7250 PH 2013-03-30 0427 ND3R          59  076    K4CME         59  075    0
QSO:  7248 PH 2013-03-30 0429 ND3R          59  077    NZ9Y          59  191    0
QSO:  7228 PH 2013-03-30 0431 ND3R          59  078    PW7T          59  406    0
QSO:  7237 PH 2013-03-30 0434 ND3R          59  079    KC2RT         59  109    0
QSO:  7237 PH 2013-03-30 0435 ND3R          59  080    WA0JZK        59  102    0
QSO:  7237 PH 2013-03-30 0436 ND3R          59  081    KG4STL        59  058    0
QSO:  7237 PH 2013-03-30 0437 ND3R          59  082    N4PB          59  086    0
QSO:  7237 PH 2013-03-30 0438 ND3R          59  083    WD5K          59  154    0
QSO:  7237 PH 2013-03-30 0438 ND3R          59  084    KD0TSX        59  014    0
QSO:  7237 PH 2013-03-30 0439 ND3R          59  085    YY4DNN        59  380    0
QSO:  7237 PH 2013-03-30 0440 ND3R          59  086    KD0JCJ        59  003    0
QSO:  7237 PH 2013-03-30 0441 ND3R          59  087    W4GV          59  121    0
QSO:  7237 PH 2013-03-30 0444 ND3R          59  088    KT4ZB         59  228    0
QSO:  7237 PH 2013-03-30 0445 ND3R          59  089    WA6KHK        59  116    0
QSO:  7237 PH 2013-03-30 0452 ND3R          59  090    N0OST         59  153    0
QSO:  7237 PH 2013-03-30 0453 ND3R          59  091    NF4A          59  490    0
QSO:  7237 PH 2013-03-30 0454 ND3R          59  092    ND6S          59  126    0
QSO:  7237 PH 2013-03-30 0457 ND3R          59  093    WA6NPL        59  061    0
QSO:  7237 PH 2013-03-30 0503 ND3R          59  094    W0KSD         59  026    0
QSO:  7207 PH 2013-03-30 1107 ND3R          59  095    T48K          59  1064   0
QSO:  7186 PH 2013-03-30 1111 ND3R          59  096    6Y3M          59  573    0
QSO:  7170 PH 2013-03-30 1112 ND3R          59  097    KX7M          59  572    0
QSO:  7166 PH 2013-03-30 1114 ND3R          59  098    WB2REM        59  034    0
