START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WC8VOA
LOCATION: OH
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-TIME: 24-HOURS
CLUB: West Chester ARA
CLAIMED-SCORE: 46726
OPERATORS: N8DZ N8VSI N8MIQ KB8ZYE
NAME: Scott Pettigrew
SOAPBOX: Operating from VOA Bethany Station - Sry for late submission.
QSO: 14000 PH 2013-03-30 0120 WC8VOA        59  001    HK1NA         59  370    0
QSO: 14000 PH 2013-03-30 0121 WC8VOA        59  002    VE7GL         59  102    0
QSO: 14000 PH 2013-03-30 0123 WC8VOA        59  003    KK7AC         59  62     0
QSO: 14000 PH 2013-03-30 0124 WC8VOA        59  004    XR1C          59  131    0
QSO: 14000 PH 2013-03-30 0126 WC8VOA        59  005    KI7M          59  102    0
QSO: 14000 PH 2013-03-30 0127 WC8VOA        59  006    T48K          59  270    0
QSO: 14000 PH 2013-03-30 0128 WC8VOA        59  007    P41A          59  337    0
QSO: 14000 PH 2013-03-30 0132 WC8VOA        59  008    HK6SNJ        59  109    0
QSO: 14000 PH 2013-03-30 0133 WC8VOA        59  009    KP2TM         59  343    0
QSO: 14000 PH 2013-03-30 0140 WC8VOA        59  010    9Y4W          59  319    0
QSO: 14000 PH 2013-03-30 0142 WC8VOA        59  011    HI3CC         59  265    0
QSO: 14000 PH 2013-03-30 0143 WC8VOA        59  012    FM4KA         59  56     0
QSO: 14000 PH 2013-03-30 0144 WC8VOA        59  013    YW5DX         59  158    0
QSO: 14000 PH 2013-03-30 0145 WC8VOA        59  014    LR3M          59  243    0
QSO: 14000 PH 2013-03-30 0146 WC8VOA        59  015    PQ5B          59  351    0
QSO: 14000 PH 2013-03-30 0147 WC8VOA        59  016    PR5B          59  386    0
QSO: 14000 PH 2013-03-30 0149 WC8VOA        59  017    CE3CT         59  270    0
QSO: 14000 PH 2013-03-30 0151 WC8VOA        59  018    D4C           59  376    0
