START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Unofficial results - VHFManager
CALLSIGN: S59DR
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 100W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2026-08-02 0633 S59DR         59  1 JN76DF   S50C          59  52 JN76JG 
QSO: 144300 PH 2026-08-02 0633 S59DR         59  2 JN76DF   S50L          59  31 JN75ES 
QSO: 144300 PH 2026-08-02 0635 S59DR         59  3 JN76DF   9A7RR         59  29 JN74UT 
QSO: 144300 PH 2026-08-02 0636 S59DR         59  4 JN76DF   S59DEM        59  63 JN75DS 
QSO: 144300 PH 2026-08-02 0640 S59DR         59  5 JN76DF   S53XX         59  25 JN76GI 
QSO: 144300 PH 2026-08-02 0641 S59DR         59  6 JN76DF   OE8SFR/P      59  17 JN76JM 
QSO: 144300 PH 2026-08-02 0925 S59DR         59  7 JN76DF   S53FO         59  52 JN76ID 
QSO: 144100 CW 2026-08-02 0929 S59DR         599 8 JN76DF   9A/S54O       599 92 JN74FM 
QSO: 144100 CW 2026-08-02 0932 S59DR         599 9 JN76DF   9A6A          599 62 JN83GE 
QSO: 144100 CW 2026-08-02 0936 S59DR         599 10 JN76DF  S52IT         599 25 JN76AA 
QSO: 144100 CW 2026-08-02 0939 S59DR         599 11 JN76DF  9A/E77Z       599 45 JN75AL 
QSO: 144300 PH 2026-08-02 0948 S59DR         59  12 JN76DF  S51XO         59  3 JN76DH  
QSO: 144100 CW 2026-08-02 0954 S59DR         599 13 JN76DF  OK5Z          599 131 JN89AD
QSO: 144100 CW 2026-08-02 0958 S59DR         599 14 JN76DF  OM3W          599 208 JN99CH
QSO: 144100 CW 2026-08-02 1002 S59DR         599 15 JN76DF  OK2WO         599 48 JN89IH 
QSO: 144100 CW 2026-08-02 1012 S59DR         599 16 JN76DF  9A0V          599 107 JN95PE
QSO: 144300 PH 2026-08-02 1016 S59DR         59  17 JN76DF  OL7C          59  148 JO60JJ
QSO: 144300 PH 2026-08-02 1023 S59DR         59  18 JN76DF  S57D          59  47 JN75KV 
QSO: 144300 PH 2026-08-02 1023 S59DR         59  19 JN76DF  S53YL         59  47 JN75KV 
QSO: 144300 PH 2026-08-02 1030 S59DR         59  20 JN76DF  S59K          59  59 JN76IA 
QSO: 144100 CW 2026-08-02 1036 S59DR         599 21 JN76DF  I4CIV         599 45 JN63FX 
QSO: 144100 CW 2026-08-02 1038 S59DR         599 22 JN76DF  IK5LWE        599 46 JN54QF 
QSO: 144100 CW 2026-08-02 1042 S59DR         599 23 JN76DF  OM5CC         599 29 JN98LB 
QSO: 144100 CW 2026-08-02 1043 S59DR         599 24 JN76DF  S50TJ         599 37 JN65VO 
QSO: 144100 CW 2026-08-02 1044 S59DR         599 25 JN76DF  OM3RLA        599 42 JN98LB 
QSO: 144100 CW 2026-08-02 1046 S59DR         599 26 JN76DF  HA1WD         599 67 JN87IF 
QSO: 144100 CW 2026-08-02 1122 S59DR         599 27 JN76DF  9A2SB         599 2 JN95GM  
QSO: 144100 CW 2026-08-02 1125 S59DR         599 28 JN76DF  S57LM         599 48 JN76HD 
QSO: 144100 CW 2026-08-02 1127 S59DR         599 29 JN76DF  IK7FPU        599 41 JN71SU 
QSO: 144100 CW 2026-08-02 1129 S59DR         599 30 JN76DF  9A3ST         599 27 JN75BB 
QSO: 144100 CW 2026-08-02 1139 S59DR         599 31 JN76DF  9A4AW         599 47 JN85KL 
QSO: 144100 CW 2026-08-02 1142 S59DR         599 32 JN76DF  S58RU         599 33 JN65WM 
QSO: 144100 CW 2026-08-02 1148 S59DR         599 33 JN76DF  IK4GNG        599 84 JN74FB 
QSO: 144100 CW 2026-08-02 1153 S59DR         599 34 JN76DF  OM5AW         599 273 JN98AH
QSO: 144100 CW 2026-08-02 1316 S59DR         599 35 JN76DF  9A2U          599 68 JN75RP 
QSO: 144100 CW 2026-08-02 1318 S59DR         599 36 JN76DF  E70T          599 35 JN84NS 
QSO: 144100 CW 2026-08-02 1321 S59DR         599 37 JN76DF  S50K          599 229 JN66TG
QSO: 144100 CW 2026-08-02 1323 S59DR         599 38 JN76DF  S50D          599 142 JN75RX
QSO: 144100 CW 2026-08-02 1323 S59DR         599 39 JN76DF  E73O          599 141 JN95CA
QSO: 144100 CW 2026-08-02 1326 S59DR         599 40 JN76DF  9A4RM         599 97 JN95LI 
QSO: 144100 CW 2026-08-02 1329 S59DR         599 41 JN76DF  9A5M          599 177 JN95IS
QSO: 144100 CW 2026-08-02 1333 S59DR         599 42 JN76DF  S53V          599 9 JN76DA  
QSO: 144100 CW 2026-08-02 1338 S59DR         599 43 JN76DF  OK1TEH        599 183 JO70FD
QSO: 144100 CW 2026-08-02 1345 S59DR         599 44 JN76DF  DK7RC         599 16 JN69II 
QSO: 144300 PH 2026-08-02 1358 S59DR         59  45 JN76DF  OK1DOL        59  340 JN69OU
END-OF-LOG:
