START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: REF Contest
CALLSIGN: F5PCV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5PCV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for REF Contest REF/2016/SSB.
QSO: 14212PH 2016-02-27 1016 UA6ART F5PCV         59 62 59            010
QSO:  7112 PH 2016-02-27 0717 F5PCV         59 62 TM1A          59 77
QSO:  7128 PH 2016-02-27 0719 F5PCV         59 62 F5DJL         59 74
QSO:  7000 PH 2016-02-27 0721 F5PCV         59 62 FG5GP         59 FG
QSO:  3500 PH 2016-02-27 0726 F5PCV         59 62 F4KJR/P       59 62
QSO:  7000 PH 2016-02-27 0726 F5PCV         59 62 F1JFR         59 67
QSO:  7000 PH 2016-02-27 0729 F5PCV         59 62 TM13WAP       59 42
QSO:  7000 PH 2016-02-27 0730 F5PCV         59 62 F4EOH         59 84
QSO:  7000 PH 2016-02-27 0732 F5PCV         59 62 F1AIR         59 31
QSO:  7000 PH 2016-02-27 0733 F5PCV         59 62 SP6DVP        59 012
QSO:  7000 PH 2016-02-27 0734 F5PCV         59 62 TO6D          59 FG
QSO:  7000 PH 2016-02-27 0739 F5PCV         59 62 F5PAL         59 63
QSO:  7000 PH 2016-02-27 0740 F5PCV         59 62 F4ELR         59 82
QSO:  7116 PH 2016-02-27 0747 F5PCV         59 62 F4HIK         59 86
QSO:  7000 PH 2016-02-27 0748 F5PCV         59 62 F6GPT         59 33
QSO:  7155 PH 2016-02-27 0749 F5PCV         59 62 F6KDL         59 68
QSO:  7000 PH 2016-02-27 0750 F5PCV         59 62 F5KHP         59 32
QSO:  7000 PH 2016-02-27 0752 F5PCV         59 62 F5KCH         59 58
QSO:  7188 PH 2016-02-27 0851 F5PCV         59 62 F8KCF         59 74
QSO:  7000 PH 2016-02-27 0852 F5PCV         59 62 F6KFI         59 72
QSO:  7119 PH 2016-02-27 0855 F5PCV         59 62 F6KRC         59 35
QSO:  7141 PH 2016-02-27 0857 F5PCV         59 62 TM5TT         59 41
QSO:  7060 PH 2016-02-27 0859 F5PCV         59 62 F5JFU         59 58
QSO:  7072 PH 2016-02-27 0901 F5PCV         59 62 F6KHM         59 29
QSO:  7000 PH 2016-02-27 0923 F5PCV         59 62 F6EOM         59 74
QSO:  7164 PH 2016-02-27 0926 F5PCV         59 62 F4GGQ         59 29
QSO:  7165 PH 2016-02-27 0926 F5PCV         59 62 DL1FMK        59 0052
QSO:  7000 PH 2016-02-27 0928 F5PCV         59 62 HB9HI         59 033
QSO:  7000 PH 2016-02-27 0929 F5PCV         59 62 F2AR          59 35
QSO:  7164 PH 2016-02-27 0930 F5PCV         59 62 F5SDD         59 13
QSO:  7000 PH 2016-02-27 0932 F5PCV         59 62 F5SXD         59 14
QSO:  7000 PH 2016-02-27 0936 F5PCV         59 62 F4FMU         59 14
QSO:  7000 PH 2016-02-27 0937 F5PCV         59 62 F5KKD         59 93
QSO:  7164 PH 2016-02-27 0938 F5PCV         59 62 F2FZ          59 47
QSO:  7000 PH 2016-02-27 0939 F5PCV         59 62 F6APE         59 49
QSO:  7146 PH 2016-02-27 0940 F5PCV         59 62 G3PXT         59 0021
QSO:  7000 PH 2016-02-27 0942 F5PCV         59 62 F4FUB         59 80
QSO:  7164 PH 2016-02-27 0947 F5PCV         59 62 F6KJJ         59 38
QSO: 14000 PH 2016-02-27 0950 F5PCV         59 62 IZ8GUQ        59 005
QSO: 14212 PH 2016-02-27 1000 F5PCV         59 62 SE4E          59 0056
QSO: 14000 PH 2016-02-27 1001 F5PCV         59 62 F5PAC         59 68
QSO: 14212 PH 2016-02-27 1001 F5PCV         59 62 RW1F          59 009
QSO: 14000 PH 2016-02-27 1002 F5PCV         59 62 R4WAB         59 7
QSO: 14212 PH 2016-02-27 1002 F5PCV         59 62 F5NBX         59 87
QSO: 14212 PH 2016-02-27 1002 F5PCV         59 62 LZ2WNW        59 0018
QSO: 14212 PH 2016-02-27 1002 F5PCV         59 62 RZ9U          59 025
QSO: 14212 PH 2016-02-27 1002 F5PCV         59 62 YO7CVL        59 0004
QSO: 14000 PH 2016-02-27 1003 F5PCV         59 62 HA7MF         59 021
QSO: 14000 PH 2016-02-27 1012 F5PCV         59 62 YT1RK         59 0001
QSO: 14212 PH 2016-02-27 1013 F5PCV         59 62 R3LC          59 0026
QSO: 14150 PH 2016-02-27 1015 F5PCV         59 62 SM5NQB        59 0028
QSO: 14212 PH 2016-02-27 1018 F5PCV         59 62 TM1A          59 77
QSO: 14212 PH 2016-02-27 1020 F5PCV         59 62 SE5L          59 0054
QSO: 14212 PH 2016-02-27 1021 F5PCV         59 62 OH2J          59 029
QSO: 14186 PH 2016-02-27 1024 F5PCV         59 62 F5LPY         59 55
QSO: 14000 PH 2016-02-27 1031 F5PCV         59 62 F5RHD         59 62
QSO: 14149 PH 2016-02-27 1033 F5PCV         59 62 IK8UND        59 067
QSO:  7093 PH 2016-02-27 1035 F5PCV         59 62 TM5OTT        59 37
QSO:  7000 PH 2016-02-27 1036 F5PCV         59 62 F6KOH         59 76
QSO: 14212 PH 2016-02-27 1123 F5PCV         59 72 UA1AQA        59 005
QSO: 14212 PH 2016-02-27 1124 F5PCV         59 62 SQ5CQ         59 023
QSO: 21228 PH 2016-02-27 1134 F5PCV         59 60 FM5BH         59 FM
QSO: 21000 PH 2016-02-27 1136 F5PCV         59 62 FG5GP         59 FG
QSO: 21240 PH 2016-02-27 1136 F5PCV         59 62 FY5KE         59 FY
QSO: 21210 PH 2016-02-27 1139 F5PCV         59 62 R5FU          59 0021
QSO: 21000 PH 2016-02-27 1140 F5PCV         59 62 CN2JF         59 0148
QSO: 21000 PH 2016-02-27 1140 F5PCV         59 62 TO6D          59 FG
