START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: HB9BC
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
OPERATORS: HB9GNZ HB9HEA HB9HBS HB9GYY HB9GYW HB9CYX HB9GHC HB3YLP HB9INF HB3XBC LA0FD
CLUB: FUNK CLUB HAUENSTEIN
CLAIMED-SCORE: 32364
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: SSB
NAME: Funk Club Hauenstein Hb9bc
QSO: 21000 PH 2025-10-11 1207 HB9BC         59       1 OH1T          59       9 0
QSO: 21000 PH 2025-10-11 1208 HB9BC         59       2 OH1Z          59      11 0
QSO: 21000 PH 2025-10-11 1208 HB9BC         59       3 OG3B          59       3 0
QSO: 21000 PH 2025-10-11 1209 HB9BC         59       4 LA8OM         59       4 0
QSO: 21000 PH 2025-10-11 1213 HB9BC         59       5 OH2KI         59      15 0
QSO: 21000 PH 2025-10-11 1215 HB9BC         59       6 OH6RX         59      43 0
QSO: 21000 PH 2025-10-11 1217 HB9BC         59       7 OG8M          59      39 0
QSO: 21000 PH 2025-10-11 1219 HB9BC         59       8 OH6OS         59      28 0
QSO: 21000 PH 2025-10-11 1220 HB9BC         59       9 OG2X          59      34 0
QSO: 21000 PH 2025-10-11 1224 HB9BC         59      10 SA3MGL        59      31 0
QSO: 21000 PH 2025-10-11 1226 HB9BC         59      11 OH2R          59      44 0
QSO: 21000 PH 2025-10-11 1228 HB9BC         59      12 SE5E          59      74 0
QSO: 21000 PH 2025-10-11 1234 HB9BC         59      13 OH4BCS        59      50 0
QSO: 21000 PH 2025-10-11 1235 HB9BC         59      14 LN2T          59      40 0
QSO: 21000 PH 2025-10-11 1236 HB9BC         59      15 SM2A          59       5 0
QSO: 21000 PH 2025-10-11 1237 HB9BC         59      16 OG5B          59      57 0
QSO: 21000 PH 2025-10-11 1240 HB9BC         59      17 OH7TO         59      23 0
QSO: 21000 PH 2025-10-11 1241 HB9BC         59      18 SE4A          59      23 0
QSO: 21000 PH 2025-10-11 1242 HB9BC         59      19 OH1NA         59      33 0
QSO: 21000 PH 2025-10-11 1242 HB9BC         59      20 OH6DX         59      74 0
