START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: G3Q
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
OPERATORS: G3RXQ
CLAIMED-SCORE: 32643
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: SSB
NAME: Stewart Baker
SOAPBOX: band conditions not great, but a very enjoyable contest as usual.
QSO: 14250 PH 2025-10-11 1204 G3Q           59       1 8S8S          59      11 0
QSO: 14277 PH 2025-10-11 1204 G3Q           59       2 SE0X          59      17 0
QSO: 14187 PH 2025-10-11 1206 G3Q           59       3 LB3AG         59       7 0
QSO: 14161 PH 2025-10-11 1206 G3Q           59       4 SB7S          59       8 0
QSO: 14263 PH 2025-10-11 1207 G3Q           59       5 OH0Z          59      12 0
QSO: 14205 PH 2025-10-11 1208 G3Q           59       6 SK6BA         59      10 0
QSO: 14201 PH 2025-10-11 1208 G3Q           59       7 OG1F          59      23 0
QSO:  7163 PH 2025-10-11 1209 G3Q           59       8 OZ4GM         59       7 0
QSO:  7150 PH 2025-10-11 1210 G3Q           59       9 LN8W          59       9 0
QSO:  7182 PH 2025-10-11 1211 G3Q           59      10 SK2W          59       5 0
QSO: 14224 PH 2025-10-11 1212 G3Q           59      11 OZ0MF         59      26 0
QSO: 14234 PH 2025-10-11 1213 G3Q           59      12 LN8W          59      20 0
QSO: 14210 PH 2025-10-11 1214 G3Q           59      13 SJ3A          59       9 0
QSO: 14208 PH 2025-10-11 1215 G3Q           59      14 JW5X          59      25 0
QSO: 14236 PH 2025-10-11 1218 G3Q           59      16 SE5E          59      52 0
QSO: 21301 PH 2025-10-11 1221 G3Q           59      17 OG3B          59      31 0
QSO: 21306 PH 2025-10-11 1221 G3Q           59      18 OG100AA       59      19 0
QSO: 21317 PH 2025-10-11 1223 G3Q           59      19 OH9GGY        59      21 0
QSO: 21338 PH 2025-10-11 1224 G3Q           59      20 SM2S          59      20 0
QSO: 21295 PH 2025-10-11 1225 G3Q           59      21 OG5B          59      36 0
QSO: 21252 PH 2025-10-11 1226 G3Q           59      22 OH7K          59      23 0
QSO: 21249 PH 2025-10-11 1226 G3Q           59      23 OG1F          59      73 0
QSO: 21232 PH 2025-10-11 1227 G3Q           59      24 OH2R          59      46 0
QSO: 21226 PH 2025-10-11 1227 G3Q           59      25 OG8M          59      63 0
QSO: 21207 PH 2025-10-11 1228 G3Q           59      26 OG2X          59      48 0
QSO: 21180 PH 2025-10-11 1229 G3Q           59      27 SA3MGL        59      39 0
QSO: 21356 PH 2025-10-11 1231 G3Q           59      28 OG6N          59      17 0
QSO: 28446 PH 2025-10-11 1232 G3Q           59      29 LN8W          59      34 0
QSO: 21330 PH 2025-10-11 1236 G3Q           59      30 OH6DX         59      64 0
QSO: 21350 PH 2025-10-11 1237 G3Q           59      31 OH8X          59      63 0
QSO: 21300 PH 2025-10-11 1238 G3Q           59      32 OH7TO         59      18 0
QSO: 21268 PH 2025-10-11 1238 G3Q           59      33 OH1X          59      39 0
QSO: 21256 PH 2025-10-11 1239 G3Q           59      34 OH8DIT        59      11 0
QSO: 21169 PH 2025-10-11 1239 G3Q           59      35 OH2OA         59      15 0
QSO: 21287 PH 2025-10-11 1240 G3Q           59      36 OH1Z          59      41 0
QSO: 21325 PH 2025-10-11 1241 G3Q           59      37 OH1NA         59      31 0
QSO: 21230 PH 2025-10-11 1241 G3Q           59      38 OG1R          59      57 0
QSO: 21335 PH 2025-10-11 1243 G3Q           59      39 SJ2W          59      83 0
QSO:  7165 PH 2025-10-11 1250 G3Q           59      40 OH0Z          59      60 0
QSO: 14274 PH 2025-10-11 1253 G3Q           59      41 OZ2DAN        59       5 0
QSO: 14262 PH 2025-10-11 1254 G3Q           59      42 LB7LJ         59      19 0
QSO: 14259 PH 2025-10-11 1255 G3Q           59      43 SK2A          59      60 0
QSO: 14253 PH 2025-10-11 1256 G3Q           59      44 SD7X          59      63 0
QSO: 14240 PH 2025-10-11 1257 G3Q           59      45 LC6C          59      87 0
QSO: 14217 PH 2025-10-11 1259 G3Q           59      46 OF9X          59     123 0
QSO: 14150 PH 2025-10-11 1301 G3Q           59      47 OH6MSZ        59      84 0
QSO: 14146 PH 2025-10-11 1301 G3Q           59      48 OG100AA       59      43 0
QSO: 14235 PH 2025-10-11 1302 G3Q           59      49 LA1TV         59      55 0
QSO: 14226 PH 2025-10-11 1303 G3Q           59      50 SK6D          59      14 0
QSO: 14200 PH 2025-10-11 1303 G3Q           59      51 SK3W          59      74 0
QSO: 14276 PH 2025-10-11 1304 G3Q           59      52 OH2T          59     126 0
QSO: 14187 PH 2025-10-11 1306 G3Q           59      53 SK6AW         59      44 0
QSO: 14180 PH 2025-10-11 1306 G3Q           59      54 OZ4GM         59      43 0
QSO: 14301 PH 2025-10-11 1307 G3Q           59      55 OH7JL         59      35 0
QSO: 14212 PH 2025-10-11 1309 G3Q           59      56 SM8T          59     103 0
QSO: 14243 PH 2025-10-11 1310 G3Q           59      57 OH8L          59      77 0
QSO: 14215 PH 2025-10-11 1312 G3Q           59      58 OH2BKX        59      57 0
QSO: 14247 PH 2025-10-11 1313 G3Q           59      59 SM5ACQ        59       7 0
QSO: 21266 PH 2025-10-11 1315 G3Q           59      60 OH5NBJ        59      26 0
QSO: 21305 PH 2025-10-11 1316 G3Q           59      61 OI3V          59      79 0
QSO: 21318 PH 2025-10-11 1317 G3Q           59      62 OH3RF         59      52 0
QSO: 21223 PH 2025-10-11 1317 G3Q           59      63 OH2T          59     150 0
QSO: 21290 PH 2025-10-11 1317 G3Q           59      64 OH6RX         59     158 0
QSO: 21280 PH 2025-10-11 1319 G3Q           59      65 OH8CYV        59      32 0
QSO: 21365 PH 2025-10-11 1322 G3Q           59      66 OY1R          59     116 0
QSO: 21312 PH 2025-10-11 1323 G3Q           59      67 OH8K          59      62 0
QSO:  7167 PH 2025-10-11 1327 G3Q           59      68 LA2PIA        59      31 0
QSO:  7178 PH 2025-10-11 1327 G3Q           59      69 SK6AW         59      28 0
QSO: 21263 PH 2025-10-11 1334 G3Q           59      70 SE5E          59     189 0
QSO: 21246 PH 2025-10-11 1336 G3Q           59      71 OH6MSZ        59     130 0
QSO: 21219 PH 2025-10-11 1336 G3Q           59      72 OH1RX         59      39 0
QSO: 21202 PH 2025-10-11 1339 G3Q           59      73 SK3W          59     103 0
QSO: 14167 PH 2025-10-11 1342 G3Q           59      74 SA0IAT        59      77 0
QSO: 14173 PH 2025-10-11 1342 G3Q           59      75 OG5O          59      79 0
QSO: 14201 PH 2025-10-11 1344 G3Q           59      76 SM2S          59     122 0
QSO: 14203 PH 2025-10-11 1345 G3Q           59      77 SE4A          59     105 0
QSO: 14293 PH 2025-10-11 1346 G3Q           59      78 LB1TI         59      54 0
QSO: 14158 PH 2025-10-11 1348 G3Q           59      79 OH6DX         59     233 0
QSO: 14161 PH 2025-10-11 1349 G3Q           59      80 LA1UKA        59     117 0
QSO: 14168 PH 2025-10-11 1355 G3Q           59      81 SA6SKA        59      12 0
QSO: 14168 PH 2025-10-11 1357 G3Q           59      82 OZ5FN         59      15 0
QSO: 14168 PH 2025-10-11 1358 G3Q           59      83 SE4E          59      45 0
QSO: 14168 PH 2025-10-11 1358 G3Q           59      84 OH3BKN        59      28 0
QSO: 14168 PH 2025-10-11 1359 G3Q           59      85 OZ1KKH        59      43 0
QSO: 14168 PH 2025-10-11 1400 G3Q           59      86 SM2A          59      64 0
QSO: 14168 PH 2025-10-11 1402 G3Q           59      87 SM4MI         59      10 0
QSO: 14242 PH 2025-10-11 1404 G3Q           59      88 SK0QO         59     142 0
QSO: 14246 PH 2025-10-11 1405 G3Q           59      89 SG0X          59     188 0
QSO: 14209 PH 2025-10-11 1406 G3Q           59      90 SM6M          59     152 0
QSO: 14299 PH 2025-10-11 1407 G3Q           59      91 LN2T          59     174 0
QSO: 14261 PH 2025-10-11 1408 G3Q           59      92 SC5C          59     117 0
QSO: 14219 PH 2025-10-11 1409 G3Q           59      93 OH6RX         59     272 0
QSO: 14211 PH 2025-10-11 1410 G3Q           59      94 OG6N          59     171 0
QSO: 28522 PH 2025-10-11 1411 G3Q           59      95 SK3W          59      78 0
QSO: 21286 PH 2025-10-11 1413 G3Q           59      96 OH6OS         59     186 0
QSO: 21284 PH 2025-10-11 1414 G3Q           59      97 OH2PQ         59      78 0
QSO: 21333 PH 2025-10-11 1415 G3Q           59      98 OH0V          59      88 0
QSO: 21267 PH 2025-10-11 1415 G3Q           59      99 OH2XX         59     179 0
QSO: 21295 PH 2025-10-11 1418 G3Q           59     100 SB7S          59     109 0
QSO: 21233 PH 2025-10-11 1421 G3Q           59     101 LN8W          59      83 0
QSO: 21263 PH 2025-10-11 1422 G3Q           59     102 SE0X          59     200 0
QSO: 21294 PH 2025-10-11 1424 G3Q           59     103 SM0D          59      37 0
QSO: 21274 PH 2025-10-11 1425 G3Q           59     104 OH6CT         59      19 0
QSO: 21288 PH 2025-10-11 1427 G3Q           59     105 SG0X          59     216 0
QSO: 21223 PH 2025-10-11 1433 G3Q           59     106 SM6NT         59      27 0
QSO: 21300 PH 2025-10-11 1433 G3Q           59     107 OZ5W          59     113 0
QSO: 28517 PH 2025-10-11 1435 G3Q           59     108 OI3V          59     144 0
QSO: 28400 PH 2025-10-11 1439 G3Q           59     109 OG1F          59     350 0
QSO: 28489 PH 2025-10-11 1440 G3Q           59     110 OH6RX         59     349 0
QSO: 21236 PH 2025-10-11 1443 G3Q           59     111 OG5O          59     151 0
QSO: 21281 PH 2025-10-11 1444 G3Q           59     112 OH3JR         59     106 0
QSO: 14197 PH 2025-10-11 1446 G3Q           59     113 OZ3PY         59     106 0
QSO: 14203 PH 2025-10-11 1446 G3Q           59     114 OH2R          59     286 0
QSO: 14191 PH 2025-10-11 1447 G3Q           59     115 OH2XX         59     227 0
QSO: 14182 PH 2025-10-11 1447 G3Q           59     116 OH1NA         59     138 0
QSO: 14286 PH 2025-10-11 1448 G3Q           59     117 OI5AY         59      62 0
QSO: 14273 PH 2025-10-11 1449 G3Q           59     118 SG0M          59     121 0
QSO: 14275 PH 2025-10-11 1449 G3Q           59     119 OZ5E          59     118 0
QSO: 14164 PH 2025-10-11 1450 G3Q           59     120 OY1R          59     240 0
QSO: 14252 PH 2025-10-11 1450 G3Q           59     121 LB4UH         59      93 0
QSO: 14249 PH 2025-10-11 1451 G3Q           59     122 LC5A          59      66 0
QSO: 14208 PH 2025-10-11 1457 G3Q           59     123 OH1X          59      83 0
QSO: 14279 PH 2025-10-11 1459 G3Q           59     124 LA4ESA        59     132 0
QSO: 14282 PH 2025-10-11 1459 G3Q           59     125 SM4ONW        59     160 0
QSO: 14221 PH 2025-10-11 1503 G3Q           59     126 OH8X          59     336 0
QSO: 14194 PH 2025-10-11 1504 G3Q           59     127 SK6LK         59      80 0
QSO: 14270 PH 2025-10-11 1504 G3Q           59     128 SA2T          59     137 0
QSO: 14171 PH 2025-10-11 1505 G3Q           59     129 SD9D          59     109 0
QSO: 21277 PH 2025-10-11 1510 G3Q           59     130 SM5INC        59     148 0
QSO: 21379 PH 2025-10-11 1510 G3Q           59     131 SK6AW         59      88 0
QSO: 21240 PH 2025-10-11 1511 G3Q           59     132 OH8WR         59     117 0
