START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: 9A9O
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: 9A9O
CLAIMED-SCORE: 52608
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: SSB
NAME: Marijan Cosic
SOAPBOX: icom 756 pro2   ,ant: dipol 40/80 , mosley ta33m, 4el/28mhz
QSO: 14000 PH 2025-10-11 1256 9A9O          59      71 SK3W          59      52 0
QSO: 21000 PH 2025-10-11 1256 9A9O          59      72 OH4XX         59      23 0
QSO: 21000 PH 2025-10-11 1257 9A9O          59      73 LB4UH         59      36 0
QSO: 14000 PH 2025-10-11 1258 9A9O          59      74 SK6D          59       7 0
QSO: 21000 PH 2025-10-11 1303 9A9O          59      75 OH8K          59      22 0
QSO: 14000 PH 2025-10-11 1305 9A9O          59      76 LA1TV         59      64 0
QSO: 14000 PH 2025-10-11 1306 9A9O          59      77 OH8L          59      68 0
QSO: 14000 PH 2025-10-11 1308 9A9O          59      78 OH6DX         59     128 0
QSO: 14000 PH 2025-10-11 1308 9A9O          59      79 LA1UKA        59      52 0
QSO: 14000 PH 2025-10-11 1309 9A9O          59      80 SB7S          59      36 0
QSO: 14000 PH 2025-10-11 1309 9A9O          59      81 OZ4GM         59      50 0
QSO: 14000 PH 2025-10-11 1310 9A9O          59      82 LB3AG         59      81 0
QSO: 14000 PH 2025-10-11 1311 9A9O          59      83 SE4A          59      39 0
QSO: 21000 PH 2025-10-11 1314 9A9O          59      84 OY1R          59      95 0
QSO:  7000 PH 2025-10-11 1315 9A9O          59      85 SK6AW         59      16 0
QSO: 21000 PH 2025-10-11 1319 9A9O          59      86 OH8CYV        59      33 0
QSO: 21000 PH 2025-10-11 1320 9A9O          59      87 LA2GKA        59      13 0
QSO: 14000 PH 2025-10-11 1324 9A9O          59      88 LC2D          59      47 0
QSO: 14000 PH 2025-10-11 1325 9A9O          59      89 OZ1KKH        59      33 0
QSO: 14000 PH 2025-10-11 1326 9A9O          59      90 LC6C          59     121 0
QSO: 14000 PH 2025-10-11 1328 9A9O          59      91 SA3MGL        59      78 0
QSO: 14000 PH 2025-10-11 1328 9A9O          59      92 OH7TO         59      55 0
QSO: 14000 PH 2025-10-11 1330 9A9O          59      93 SM2S          59      97 0
QSO: 14000 PH 2025-10-11 1330 9A9O          59      94 OH1Z          59      73 0
QSO: 14000 PH 2025-10-11 1331 9A9O          59      95 OG5O          59      48 0
QSO: 14000 PH 2025-10-11 1332 9A9O          59      96 SK6LK         59      56 0
QSO: 14000 PH 2025-10-11 1333 9A9O          59      97 SM6YEC        59      76 0
QSO: 14000 PH 2025-10-11 1337 9A9O          59      98 SA0IAT        59      66 0
QSO: 14000 PH 2025-10-11 1337 9A9O          59      99 OG6N          59      97 0
QSO: 14000 PH 2025-10-11 1338 9A9O          59     100 OH2BKX        59      86 0
QSO:  7000 PH 2025-10-11 1340 9A9O          59     101 LA2PIA        59      45 0
QSO: 14000 PH 2025-10-11 1341 9A9O          59     102 SK6BA         59      58 0
QSO: 14000 PH 2025-10-11 1342 9A9O          59     103 SE5E          59     209 0
QSO: 21000 PH 2025-10-11 1347 9A9O          59     104 OH6MSZ        59     159 0
QSO: 21000 PH 2025-10-11 1348 9A9O          59     105 OH8WR         59       9 0
QSO: 21000 PH 2025-10-11 1350 9A9O          59     106 8S8S          59      75 0
QSO: 14000 PH 2025-10-11 1352 9A9O          59     107 SM6M          59     116 0
QSO: 14000 PH 2025-10-11 1357 9A9O          59     108 LC4C          59      29 0
QSO: 14000 PH 2025-10-11 1359 9A9O          59     109 OZ2DAN        59      71 0
QSO: 14000 PH 2025-10-11 1400 9A9O          59     110 OH5NBJ        59      70 0
QSO: 21000 PH 2025-10-11 1403 9A9O          59     111 OG1F          59     268 0
QSO: 14000 PH 2025-10-11 1406 9A9O          59     112 OH3BKN        59      30 0
QSO: 21000 PH 2025-10-11 1409 9A9O          59     113 OH2T          59     237 0
QSO: 21000 PH 2025-10-11 1410 9A9O          59     114 OH2XX         59     169 0
QSO: 21000 PH 2025-10-11 1413 9A9O          59     115 OH0V          59      82 0
QSO: 14000 PH 2025-10-11 1414 9A9O          59     116 SD6D          59      31 0
QSO: 14000 PH 2025-10-11 1416 9A9O          59     117 OH6RX         59     298 0
QSO: 14000 PH 2025-10-11 1417 9A9O          59     118 OH8X          59     239 0
QSO: 14000 PH 2025-10-11 1419 9A9O          59     119 OY1R          59     148 0
QSO: 14000 PH 2025-10-11 1419 9A9O          59     120 OH2R          59     221 0
QSO: 21000 PH 2025-10-11 1421 9A9O          59     121 OH6DX         59     299 0
QSO: 21000 PH 2025-10-11 1422 9A9O          59     122 SM4ONW        59      97 0
QSO: 21000 PH 2025-10-11 1423 9A9O          59     123 LA1UKA        59     156 0
QSO: 14000 PH 2025-10-11 1425 9A9O          59     124 OZ5W          59     102 0
QSO: 14000 PH 2025-10-11 1425 9A9O          59     125 OH6OS         59     213 0
QSO: 14000 PH 2025-10-11 1428 9A9O          59     126 LA8OM         59     163 0
QSO: 21000 PH 2025-10-11 1429 9A9O          59     127 OH3JR         59      78 0
QSO: 21000 PH 2025-10-11 1431 9A9O          59     128 SE0X          59     220 0
QSO: 21000 PH 2025-10-11 1431 9A9O          59     129 SE4E          59      58 0
QSO: 21000 PH 2025-10-11 1432 9A9O          59     130 LC5A          59      46 0
QSO: 21000 PH 2025-10-11 1434 9A9O          59     131 SG0X          59     232 0
QSO: 21000 PH 2025-10-11 1435 9A9O          59     132 SD6D          59      72 0
QSO: 21000 PH 2025-10-11 1436 9A9O          59     133 OZ5W          59     117 0
QSO: 21000 PH 2025-10-11 1437 9A9O          59     134 SM6MVE        59      59 0
QSO: 14000 PH 2025-10-11 1437 9A9O          59     135 SG0M          59      93 0
QSO: 21000 PH 2025-10-11 1438 9A9O          59     136 OH3RT         59       3 0
QSO: 14000 PH 2025-10-11 1443 9A9O          59     137 OZ5E          59     107 0
QSO: 14000 PH 2025-10-11 1444 9A9O          59     138 OI5AY         59      47 0
QSO: 21000 PH 2025-10-11 1447 9A9O          59     139 LN8W          59      96 0
QSO: 21000 PH 2025-10-11 1447 9A9O          59     140 SM6NT         59      50 0
QSO: 21000 PH 2025-10-11 1448 9A9O          59     141 SM6TOL        59      64 0
QSO: 14000 PH 2025-10-11 1448 9A9O          59     142 OH1NA         59     143 0
QSO: 14000 PH 2025-10-11 1450 9A9O          59     143 OH3RF         59     135 0
QSO: 14000 PH 2025-10-11 1453 9A9O          59     144 LC5A          59      71 0
