START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: RU6MO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RU6MO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2021.
QSO: 21022 CW 2021-03-20 1201 RU6MO         599 RO IZ8GCB        599 0005
QSO: 21010 CW 2021-03-20 1203 RU6MO         599 RO EF1A          599 0003
QSO: 21035 CW 2021-03-20 1205 RU6MO         599 RO IS0/OM3RM     599 0013
QSO: 21000 CW 2021-03-20 1206 RU6MO         599 RO VR2BLEE       599 0009
QSO: 21037 CW 2021-03-20 1206 RU6MO         599 RO CR6K          599 0023
QSO: 21037 CW 2021-03-20 1206 RU6MO         599 RO EB7A          599 0010
QSO: 21044 CW 2021-03-20 1210 RU6MO         599 RO JA6WFM        599 0017
QSO: 21029 CW 2021-03-20 1212 RU6MO         599 RO JG3WDN        599 0012
QSO: 21032 CW 2021-03-20 1212 RU6MO         599 RO UP5B          599 0022
QSO: 21019 CW 2021-03-20 1215 RU6MO         599 RO UP2L          599 0051
QSO: 21003 CW 2021-03-20 1218 RU6MO         599 RO JH4UTP        599 0041
QSO: 21036 CW 2021-03-20 1223 RU6MO         599 RO EA4R          599 0037
QSO: 21045 CW 2021-03-20 1225 RU6MO         599 RO 3V8SS         599 0063
QSO: 21049 CW 2021-03-20 1225 RU6MO         599 RO TM1W          599 0010
QSO: 21029 CW 2021-03-20 1339 RU6MO         599 RO EI5KF         599 0187
QSO: 21031 CW 2021-03-20 1340 RU6MO         599 RO HZ7C          599 0161
QSO: 21028 CW 2021-03-20 1341 RU6MO         599 RO EA1WH         599 0070
QSO: 14041 CW 2021-03-20 1345 RU6MO         599 RO OL5Y          599 0105
QSO: 14041 CW 2021-03-20 1346 RU6MO         599 RO DM7W          599 0101
QSO: 14041 CW 2021-03-20 1347 RU6MO         599 RO 9A5Y          599 0202
QSO: 14041 CW 2021-03-20 1347 RU6MO         599 RO SP3MEP        599 0096
QSO: 14042 CW 2021-03-20 1347 RU6MO         599 RO OK2YZ         599 0035
QSO: 14041 CW 2021-03-20 1348 RU6MO         599 RO ES4RD         599 0124
QSO: 14042 CW 2021-03-20 1348 RU6MO         599 RO DF5EG         599 0055
QSO: 14041 CW 2021-03-20 1349 RU6MO         599 RO IK2LFF        599 0119
QSO: 14042 CW 2021-03-20 1349 RU6MO         599 RO DL5MO         599 0069
QSO: 14041 CW 2021-03-20 1350 RU6MO         599 RO SM6FPC        599 0055
QSO: 14042 CW 2021-03-20 1350 RU6MO         599 RO IT9RGY        599 0059
