START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: RM1Q
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RM1Q
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2021.
QSO: 21022 CW 2021-03-20 1334 RM1Q          599 VO OH0T          599 0220
QSO: 21018 CW 2021-03-20 1336 RM1Q          599 VO DL6KVA        599 0087
QSO: 21005 CW 2021-03-20 1342 RM1Q          599 VO EA2AZ         599 0069
QSO: 21020 CW 2021-03-20 1345 RM1Q          599 VO EA3FZT        599 0111
QSO: 21028 CW 2021-03-20 1349 RM1Q          599 VO EA1WH         599 0079
QSO: 21029 CW 2021-03-20 1351 RM1Q          599 VO EA3DN         599 0058
QSO: 21031 CW 2021-03-20 1355 RM1Q          599 VO HZ7C          599 0194
QSO: 21020 CW 2021-03-20 1400 RM1Q          599 VO IT9RZU        599 0106
QSO: 14000 CW 2021-03-20 1404 RM1Q          599 VO HA8WZ         599 0084
QSO: 14000 CW 2021-03-20 1404 RM1Q          599 VO IZ5BRW        599 0064
QSO: 14047 CW 2021-03-20 1404 RM1Q          599 VO DP8M          599 0079
QSO: 14000 CW 2021-03-20 1405 RM1Q          599 VO YO7LYM        599 0049
QSO: 14000 CW 2021-03-20 1406 RM1Q          599 VO DL6AG         599 0076
QSO: 14047 CW 2021-03-20 1406 RM1Q          599 VO YC1AYO        599 0029
QSO: 14047 CW 2021-03-20 1407 RM1Q          599 VO G4IZZ         599 0089
