START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: R3MAI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R3MAI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2021.
QSO: 21036 CW 2021-03-20 1232 R3MAI         599 YR IS0/OM3RM     599 0048
QSO: 21000 CW 2021-03-20 1236 R3MAI         599 YR P3AA          599 0092
QSO: 21030 CW 2021-03-20 1242 R3MAI         599 YR 4U1GSC        599 0059
QSO: 21007 CW 2021-03-20 1243 R3MAI         599 YR 4X6FR         599 0115
QSO: 21045 CW 2021-03-20 1249 R3MAI         599 YR SV5DKL        599 0023
QSO: 21047 CW 2021-03-20 1249 R3MAI         599 YR IT9LKX        599 0052
QSO: 14011 CW 2021-03-20 1252 R3MAI         599 YR YT0Z          599 0130
QSO: 14024 CW 2021-03-20 1254 R3MAI         599 YR GM0ELP        599 0034
QSO: 14025 CW 2021-03-20 1255 R3MAI         599 YR OL3Z          599 0157
QSO: 14027 CW 2021-03-20 1255 R3MAI         599 YR YO9WF         599 0086
QSO: 14029 CW 2021-03-20 1256 R3MAI         599 YR I3FIY         599 0047
QSO: 14000 CW 2021-03-20 1257 R3MAI         599 YR EI8JX         599 0033
QSO: 14000 CW 2021-03-20 1300 R3MAI         599 YR LZ1DQ         599 0055
QSO: 14033 CW 2021-03-20 1300 R3MAI         599 YR IQ2CJ         599 0157
QSO: 14035 CW 2021-03-20 1300 R3MAI         599 YR K5ZD          599 0098
QSO: 14036 CW 2021-03-20 1304 R3MAI         599 YR A71EM         599 0077
QSO: 14033 CW 2021-03-20 1305 R3MAI         599 YR YU5M          599 0080
QSO: 14045 CW 2021-03-20 1306 R3MAI         599 YR SV5DKL        599 0063
QSO: 14026 CW 2021-03-20 1307 R3MAI         599 YR GM3A          599 0083
QSO: 14016 CW 2021-03-20 1308 R3MAI         599 YR F5IN          599 0132
QSO: 14006 CW 2021-03-20 1310 R3MAI         599 YR G6T           599 0080
QSO: 14042 CW 2021-03-20 1315 R3MAI         599 YR DL2MDU        599 0085
QSO: 14048 CW 2021-03-20 1316 R3MAI         599 YR OY1CT         599 0093
QSO: 14062 CW 2021-03-20 1317 R3MAI         599 YR N2TA          599 0077
QSO: 14062 CW 2021-03-20 1318 R3MAI         599 YR LA8OM         599 0016
QSO: 14044 CW 2021-03-20 1319 R3MAI         599 YR XL3A          599 0068
QSO: 14025 CW 2021-03-20 1322 R3MAI         599 YR DM0A          599 0208
QSO: 14039 CW 2021-03-20 1322 R3MAI         599 YR 9K2NO         599 0162
QSO: 14064 CW 2021-03-20 1325 R3MAI         599 YR YU7KW         599 0071
QSO: 14030 CW 2021-03-20 1327 R3MAI         599 YR IK1PMR        599 0066
QSO: 14005 CW 2021-03-20 1330 R3MAI         599 YR N3RD          599 0148
QSO: 14005 CW 2021-03-20 1330 R3MAI         599 YR W3UA          599 0182
QSO: 14004 CW 2021-03-20 1331 R3MAI         599 YR W5MX          599 0091
QSO: 14008 CW 2021-03-20 1332 R3MAI         599 YR VA2EW         599 0116
