START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: RK2M
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RK2M
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2021.
QSO: 14025 CW 2021-03-20 1203 RK2M          599 YR DM0A          599 0011
QSO: 14000 CW 2021-03-20 1204 RK2M          599 YR HA4A          599 0010
QSO: 14026 CW 2021-03-20 1205 RK2M          599 YR EI5KF         599 0009
QSO: 14031 CW 2021-03-20 1206 RK2M          599 YR HG4I          599 0014
QSO: 14000 CW 2021-03-20 1207 RK2M          599 YR LB6GG         599 0002
QSO: 14034 CW 2021-03-20 1207 RK2M          599 YR HB9EP         599 0013
QSO: 14034 CW 2021-03-20 1208 RK2M          599 YR EA3FZT        599 0008
QSO: 14036 CW 2021-03-20 1210 RK2M          599 YR OZ0X          599 0024
QSO: 14039 CW 2021-03-20 1216 RK2M          599 YR DJ4MX         599 0020
QSO: 14040 CW 2021-03-20 1218 RK2M          599 YR IZ1LBG        599 0027
QSO: 14041 CW 2021-03-20 1218 RK2M          599 YR IZ3SQW        599 0013
QSO: 14041 CW 2021-03-20 1219 RK2M          599 YR IQ4FA         599 0025
QSO: 14044 CW 2021-03-20 1222 RK2M          599 YR LZ1ZM         599 0033
QSO: 14045 CW 2021-03-20 1223 RK2M          599 YR IZ8EFD        599 0012
QSO: 14045 CW 2021-03-20 1225 RK2M          599 YR LZ1QZ         599 0034
QSO: 14000 CW 2021-03-20 1226 RK2M          599 YR DL2A          599 0042
QSO: 21030 CW 2021-03-20 1242 RK2M          599 YR 4U1GSC        599 0060
QSO: 21036 CW 2021-03-20 1243 RK2M          599 YR IS0/OM3RM     599 0078
QSO: 21209 PH 2021-03-20 1251 RK2M          59 YR EA3CI         59 0037
QSO: 21270 PH 2021-03-20 1255 RK2M          59 YR TA2IJ         59 0027
QSO: 21297 PH 2021-03-20 1255 RK2M          59 YR EA5DFV        59 0101
QSO: 21314 PH 2021-03-20 1256 RK2M          59 YR SV3RPQ        59 0050
QSO: 21292 PH 2021-03-20 1257 RK2M          59 YR J42L          59 0087
QSO: 21000 PH 2021-03-20 1303 RK2M          59 YR EE5O          59 0067
QSO: 14000 PH 2021-03-20 1308 RK2M          59 YR DM1PL         59 0013
QSO: 14000 PH 2021-03-20 1308 RK2M          59 YR OM4M          59 0044
QSO: 14100 PH 2021-03-20 1308 RK2M          59 YR S51JQ         59 0011
QSO: 14157 PH 2021-03-20 1308 RK2M          59 YR PA1BK         59 0013
QSO: 14000 PH 2021-03-20 1309 RK2M          59 YR DL4YAO        59 0021
QSO: 14000 PH 2021-03-20 1309 RK2M          59 YR F6EKU         59 0013
QSO: 14157 PH 2021-03-20 1310 RK2M          59 YR LZ1UBO        59 0027
QSO: 14000 PH 2021-03-20 1312 RK2M          59 YR PA9TT         59 0013
QSO: 14157 PH 2021-03-20 1313 RK2M          59 YR IU2JFG        59 0005
QSO: 14157 PH 2021-03-20 1314 RK2M          59 YR DL4WA         59 0088
QSO: 14157 PH 2021-03-20 1314 RK2M          59 YR F4HRG         59 0018
QSO: 14000 PH 2021-03-20 1316 RK2M          59 YR GB1OOH        59 0016
QSO: 14157 PH 2021-03-20 1317 RK2M          59 YR HB9CIC        59 0082
QSO: 14157 PH 2021-03-20 1318 RK2M          59 YR SP6VWX        59 0005
QSO: 14000 PH 2021-03-20 1319 RK2M          59 YR EA3HJO        59 0020
QSO: 14000 PH 2021-03-20 1319 RK2M          59 YR TA2DE         59 0023
QSO: 14157 PH 2021-03-20 1321 RK2M          59 YR PA2PME        59 0016
QSO: 14157 PH 2021-03-20 1322 RK2M          59 YR UP5B          59 0046
QSO: 14000 PH 2021-03-20 1323 RK2M          59 YR DJ6NL         59 0009
QSO: 14140 PH 2021-03-20 1326 RK2M          59 YR HA4M          59 0131
QSO: 14000 PH 2021-03-20 1327 RK2M          59 YR YO9XC         59 0028
QSO: 14138 PH 2021-03-20 1328 RK2M          59 YR IQ6AN         59 0086
QSO: 14210 PH 2021-03-20 1331 RK2M          59 YR PD8DX         59 0087
QSO: 14222 PH 2021-03-20 1332 RK2M          59 YR 9K9A          59 0265
QSO: 14237 PH 2021-03-20 1333 RK2M          59 YR IZ2KPE        59 0065
QSO: 14240 PH 2021-03-20 1334 RK2M          59 YR IZ4REF        59 0072
QSO: 14244 PH 2021-03-20 1335 RK2M          59 YR A71AM         59 0237
QSO: 14250 PH 2021-03-20 1336 RK2M          59 YR E7DX          59 0383
QSO: 14252 PH 2021-03-20 1338 RK2M          59 YR SP9KDA        59 0022
QSO: 14254 PH 2021-03-20 1338 RK2M          59 YR YU5R          59 0173
QSO: 14269 PH 2021-03-20 1339 RK2M          59 YR G6MC          59 0091
QSO: 14281 PH 2021-03-20 1340 RK2M          59 YR 9A5D          59 0281
QSO: 14031 CW 2021-03-20 1342 RK2M          599 YR MI5I          599 0096
QSO: 14026 CW 2021-03-20 1344 RK2M          599 YR HA8A          599 0168
QSO: 14025 CW 2021-03-20 1345 RK2M          599 YR PA6O          599 0073
QSO: 14023 CW 2021-03-20 1347 RK2M          599 YR GM3A          599 0133
QSO: 14022 CW 2021-03-20 1348 RK2M          599 YR P3X           599 0369
QSO: 14017 CW 2021-03-20 1351 RK2M          599 YR HG7T          599 0224
QSO: 14016 CW 2021-03-20 1352 RK2M          599 YR F5IN          599 0220
QSO: 14014 CW 2021-03-20 1353 RK2M          599 YR DJ5MO         599 0086
QSO: 14013 CW 2021-03-20 1354 RK2M          599 YR 9A7A          599 0332
QSO: 14012 CW 2021-03-20 1355 RK2M          599 YR LZ3ZZ         599 0209
QSO: 14012 CW 2021-03-20 1355 RK2M          599 YR S51DX         599 0264
QSO: 14010 CW 2021-03-20 1356 RK2M          599 YR EI0W          599 0153
QSO: 14011 CW 2021-03-20 1356 RK2M          599 YR YT0Z          599 0255
QSO: 14007 CW 2021-03-20 1357 RK2M          599 YR IV3SKB        599 0205
QSO: 14052 CW 2021-03-20 1359 RK2M          599 YR S52GP         599 0194
QSO: 14053 CW 2021-03-20 1400 RK2M          599 YR DJ9AO         599 0135
QSO: 14054 CW 2021-03-20 1401 RK2M          599 YR DR3W          599 0102
QSO: 14056 CW 2021-03-20 1401 RK2M          599 YR HG5D          599 0205
QSO: 14057 CW 2021-03-20 1402 RK2M          599 YR HB9CVQ        599 0053
QSO: 14000 CW 2021-03-20 1403 RK2M          599 YR IK3UNA        599 0158
QSO: 14061 CW 2021-03-20 1403 RK2M          599 YR LZ3FN         599 0140
QSO: 14062 CW 2021-03-20 1404 RK2M          599 YR LX1NO         599 0066
QSO: 14000 CW 2021-03-20 1407 RK2M          599 YR YT5M          599 0151
QSO: 14070 CW 2021-03-20 1408 RK2M          599 YR DD2AW         599 0081
QSO: 14071 CW 2021-03-20 1409 RK2M          599 YR P3AA          599 0257
QSO: 14069 CW 2021-03-20 1417 RK2M          599 YR 3V8SS         599 0328
QSO: 14147 PH 2021-03-20 1422 RK2M          59 YR DK7AM         59 0067
QSO: 14147 PH 2021-03-20 1423 RK2M          59 YR DK5MB         59 0098
QSO: 14164 PH 2021-03-20 1426 RK2M          59 YR DP6A          59 0110
QSO: 14167 PH 2021-03-20 1426 RK2M          59 YR DJ5AN         59 0134
QSO: 14170 PH 2021-03-20 1427 RK2M          59 YR IK7YTT        59 0268
QSO: 14175 PH 2021-03-20 1427 RK2M          59 YR S51DX         59 0322
QSO: 14208 PH 2021-03-20 1429 RK2M          59 YR IZ0PAU        59 0072
QSO: 14214 PH 2021-03-20 1429 RK2M          59 YR A73A          59 0280
QSO: 14231 PH 2021-03-20 1430 RK2M          59 YR DF9XV         59 0098
QSO: 14260 PH 2021-03-20 1431 RK2M          59 YR DD2D          59 0189
