START-OF-LOG: 2.0
REF-SECTION: 44
CALLSIGN: F8CED
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  445422
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V7.3.15
NAME: THAUVIN CYRILLE
OFFTIME: 2012-02-25 0600 2012-02-25 1706
OFFTIME: 2012-02-25 2355 2012-02-26 0905
OFFTIME: 2012-02-26 1152 2012-02-26 1442
RIG: FT847 
RIG: FT847
RIG: DIPOLES À 7M DU SOL
RIG: 50
SOAPBOX: J'ai débuté le concours en QRP 5W, tout allait bien sur 80m, 20m 15m et 10m mais sur 40m très difficile de se faire entendre alors passage à 50W sur cette bande. Participation en classe B donc.
SOAPBOX: Participation en dents de scie pour partager l'emploi du temps familial et professionnel.
SOAPBOX: Toujours aussi amusant ce concours, donc à l'année prochaine !
QSO: 21000 PH 2012-02-25 1706 F8CED         59  44     TM1T          59  44   
QSO: 3500  PH 2012-02-25 1942 F8CED         59  44     F5FDC         59  82   
QSO: 3500  PH 2012-02-25 1944 F8CED         59  44     F6KHM         59  29   
QSO: 3500  PH 2012-02-25 1944 F8CED         59  44     F5KDK/P       59  11   
QSO: 3500  PH 2012-02-25 1945 F8CED         59  44     F1MOZ         59  40   
QSO: 3500  PH 2012-02-25 1945 F8CED         59  44     F4GIB         59  85   
QSO: 3500  PH 2012-02-25 1946 F8CED         59  44     F6KRK         59  78   
QSO: 3500  PH 2012-02-25 1946 F8CED         59  44     F4GBW         59  59   
QSO: 3500  PH 2012-02-25 1948 F8CED         59  44     F6IGS         59  33   
QSO: 3500  PH 2012-02-25 1951 F8CED         59  44     F5PTI         59  16   
QSO: 3500  PH 2012-02-25 1952 F8CED         59  44     F5SZB         59  16   
QSO: 3500  PH 2012-02-25 1954 F8CED         59  44     F4FMG         59  79   
QSO: 3500  PH 2012-02-25 1955 F8CED         59  44     F6FTB         59  21   
QSO: 3500  PH 2012-02-25 1956 F8CED         59  44     TM9FL         59  86   
QSO: 3500  PH 2012-02-25 1957 F8CED         59  44     F6KCI         59  37   
QSO: 3500  PH 2012-02-25 1958 F8CED         59  44     F5KHP         59  32   
QSO: 3500  PH 2012-02-25 1958 F8CED         59  44     F5AMH         59  41   
QSO: 3500  PH 2012-02-25 1958 F8CED         59  44     F6GPT         59  33   
QSO: 3500  PH 2012-02-25 2000 F8CED         59  44     F6CXJ         59  47   
QSO: 3500  PH 2012-02-25 2003 F8CED         59  44     F5KMB/P       59  60   
QSO: 3500  PH 2012-02-25 2003 F8CED         59  44     F6APE         59  49   
QSO: 3500  PH 2012-02-25 2004 F8CED         59  44     F8KHO         59  51   
QSO: 3500  PH 2012-02-25 2005 F8CED         59  44     F6AWU         59  44   
QSO: 3500  PH 2012-02-25 2011 F8CED         59  44     F5RJW         59  71   
QSO: 3500  PH 2012-02-25 2012 F8CED         59  44     F4FNL         59  73   
QSO: 3500  PH 2012-02-25 2012 F8CED         59  44     TM2B          59  03   
QSO: 3500  PH 2012-02-25 2013 F8CED         59  44     TK5KP         59  2A   
QSO: 3500  PH 2012-02-25 2013 F8CED         59  44     F4GAJ         59  14   
QSO: 3500  PH 2012-02-25 2014 F8CED         59  44     F6KEH         59  34   
QSO: 3500  PH 2012-02-25 2014 F8CED         59  44     F1BMX         59  35   
QSO: 3500  PH 2012-02-25 2015 F8CED         59  44     TM70TRS       59  63   
QSO: 3500  PH 2012-02-25 2017 F8CED         59  44     F5CT          59  61   
QSO: 3500  PH 2012-02-25 2018 F8CED         59  44     EA2TO         59  017  
QSO: 3500  PH 2012-02-25 2018 F8CED         59  44     F4EUG         59  22   
QSO: 3500  PH 2012-02-25 2019 F8CED         59  44     F1OKV         59  19   
QSO: 3500  PH 2012-02-25 2019 F8CED         59  44     F8FZC         59  17   
QSO: 3500  PH 2012-02-25 2020 F8CED         59  44     F5PDM         59  77   
QSO: 3500  PH 2012-02-25 2022 F8CED         59  44     F1DLJ         59  80   
QSO: 3500  PH 2012-02-25 2022 F8CED         59  44     F4FGY         59  79   
QSO: 3500  PH 2012-02-25 2022 F8CED         59  44     F2NZ/P        59  44   
QSO: 3500  PH 2012-02-25 2023 F8CED         59  44     TM57M         59  57   
QSO: 3500  PH 2012-02-25 2023 F8CED         59  44     F6GAF         59  49   
QSO: 3500  PH 2012-02-25 2024 F8CED         59  44     F4EKQ         59  86   
QSO: 3500  PH 2012-02-25 2024 F8CED         59  44     F5JQG         59  24   
QSO: 3500  PH 2012-02-25 2025 F8CED         59  44     F1DUZ         59  49   
QSO: 3500  PH 2012-02-25 2025 F8CED         59  44     F4DXP         59  29   
QSO: 3500  PH 2012-02-25 2026 F8CED         59  44     F5BTH         59  11   
QSO: 3500  PH 2012-02-25 2026 F8CED         59  44     F1AXL         59  74   
QSO: 3500  PH 2012-02-25 2026 F8CED         59  44     EA2DT         59  145  
QSO: 3500  PH 2012-02-25 2027 F8CED         59  44     F4EYR         59  56   
QSO: 3500  PH 2012-02-25 2027 F8CED         59  44     TM5KFU        59  24   
QSO: 3500  PH 2012-02-25 2029 F8CED         59  44     F5OTZ         59  83   
QSO: 3500  PH 2012-02-25 2029 F8CED         59  44     F5NXU         59  49   
QSO: 3500  PH 2012-02-25 2029 F8CED         59  44     F5WK          59  77   
QSO: 3500  PH 2012-02-25 2030 F8CED         59  44     F5GFA         59  47   
QSO: 3500  PH 2012-02-25 2031 F8CED         59  44     F6ALQ         59  02   
QSO: 3500  PH 2012-02-25 2035 F8CED         59  44     F4EEI         59  52   
QSO: 3500  PH 2012-02-25 2036 F8CED         59  44     F2QH          59  95   
QSO: 3500  PH 2012-02-25 2036 F8CED         59  44     F6BYJ         59  16   
QSO: 3500  PH 2012-02-25 2037 F8CED         59  44     F5TMR         59  17   
QSO: 3500  PH 2012-02-25 2037 F8CED         59  44     F5RUJ         59  87   
QSO: 3500  PH 2012-02-25 2038 F8CED         59  44     TM12M         59  12   
QSO: 3500  PH 2012-02-25 2039 F8CED         59  44     F1POG         59  03   
QSO: 3500  PH 2012-02-25 2042 F8CED         59  44     F4DNK         59  76   
QSO: 3500  PH 2012-02-25 2043 F8CED         59  44     F4EJO         59  17   
QSO: 3500  PH 2012-02-25 2045 F8CED         59  44     TM2OP         59  86   
QSO: 3500  PH 2012-02-25 2045 F8CED         59  44     F5KKD         59  93   
QSO: 3500  PH 2012-02-25 2047 F8CED         59  44     F8DHB         59  60   
QSO: 3500  PH 2012-02-25 2049 F8CED         59  44     F5JSQ         59  51   
QSO: 3500  PH 2012-02-25 2050 F8CED         59  44     F8KCF         59  74   
QSO: 3500  PH 2012-02-25 2050 F8CED         59  44     F8KHP         59  88   
QSO: 3500  PH 2012-02-25 2051 F8CED         59  44     F5ISY         59  11   
QSO: 3500  PH 2012-02-25 2053 F8CED         59  44     F5SUL         59  44   
QSO: 3500  PH 2012-02-25 2058 F8CED         59  44     F6KKN         59  42   
QSO: 3500  PH 2012-02-25 2059 F8CED         59  44     F1NZC         59  63   
QSO: 3500  PH 2012-02-25 2102 F8CED         59  44     F8UNF         59  57   
QSO: 3500  PH 2012-02-25 2103 F8CED         59  44     ON5GQ         59  373  
QSO: 3500  PH 2012-02-25 2104 F8CED         59  44     F4BDV         59  82   
QSO: 3500  PH 2012-02-25 2104 F8CED         59  44     F6KBF         59  78   
QSO: 3500  PH 2012-02-25 2106 F8CED         59  44     F1AGR/P       59  78   
QSO: 3500  PH 2012-02-25 2107 F8CED         59  44     TM55M         59  55   
QSO: 3500  PH 2012-02-25 2107 F8CED         59  44     F6DRP         59  85   
QSO: 3500  PH 2012-02-25 2109 F8CED         59  44     F5OWT         59  45   
QSO: 3500  PH 2012-02-25 2109 F8CED         59  44     F8AEE         59  10   
QSO: 3500  PH 2012-02-25 2111 F8CED         59  44     TM6D          59  38   
QSO: 3500  PH 2012-02-25 2112 F8CED         59  44     F4CQR         59  86   
QSO: 3500  PH 2012-02-25 2113 F8CED         59  44     F6CNM         59  29   
QSO: 3500  PH 2012-02-25 2113 F8CED         59  44     F4GKL         59  84   
QSO: 3500  PH 2012-02-25 2114 F8CED         59  44     F6CVK         59  17   
