START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: REF-SSB
LOCATION: DX
CALLSIGN: LA6FJA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 80m	
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: BAND-LIMITED
CLAIMED-SCORE: 5358
OFFTIME: 2012-02-25 2040 2012-02-26 0030
OPERATORS: LA6FJA
CLUB: LACC ( Ringsjoen Contest Club)
NAME: Stein Roar Brobakken
SOAPBOX: nice Contest, just to work a few French during the evening. 73s Merci
SOAPBOX: LA6FJA TS2000 1kw and 4 el parasitt array + beverages
SOAPBOX: just one QSO in 20m to give MULT to FM5AN
QSO: 14162 PH 2012-02-25 2022 LA6FJA        59  001    FM5AN         59  FM    
QSO:  3750 PH 2012-02-25 2040 LA6FJA        59  002    F8CNX         59  85    
QSO:  3753 PH 2012-02-25 2051 LA6FJA        59  003    F6KNB         59  33    
QSO:  3757 PH 2012-02-25 2055 LA6FJA        59  004    F1NZC         59  63    
QSO:  3789 PH 2012-02-25 2059 LA6FJA        59  005    TM65M         59  55    
QSO:  3601 PH 2012-02-25 2105 LA6FJA        59  006    F5LKJ         59  47    
QSO:  3605 PH 2012-02-25 2106 LA6FJA        59  007    F8AEE         59  10    
QSO:  3608 PH 2012-02-25 2106 LA6FJA        59  008    F5OWT         59  45    
QSO:  3624 PH 2012-02-25 2112 LA6FJA        59  009    TM9FL         59  86    
QSO:  3612 PH 2012-02-25 2113 LA6FJA        59  010    F8TMY         59  12    
QSO:  3633 PH 2012-02-25 2114 LA6FJA        59  011    F5AMH         59  37    
QSO:  3639 PH 2012-02-25 2121 LA6FJA        59  012    F4FFH         59  50    
QSO:  3651 PH 2012-02-25 2138 LA6FJA        59  013    F8KHO         59  51    
QSO:  3653 PH 2012-02-25 2142 LA6FJA        59  014    F6AWU         59  44    
QSO:  3658 PH 2012-02-25 2146 LA6FJA        59  015    F5JFU         59  58    
QSO:  3668 PH 2012-02-25 2204 LA6FJA        59  016    F6KDL         59  68    
QSO:  3680 PH 2012-02-25 2207 LA6FJA        59  017    F5KKD         59  93    
QSO:  3693 PH 2012-02-25 2209 LA6FJA        59  018    F5KMB/P       59  60    
QSO:  3696 PH 2012-02-25 2210 LA6FJA        59  019    F6KHM         59  29    
QSO:  3698 PH 2012-02-25 2211 LA6FJA        59  020    F5KDK         59  11    
QSO:  3703 PH 2012-02-25 2212 LA6FJA        59  021    TM2OP         59  86    
QSO:  3718 PH 2012-02-25 2214 LA6FJA        59  022    F4BDG         59  77    
QSO:  3733 PH 2012-02-25 2216 LA6FJA        59  023    TM9WAP        59  42    
QSO:  3737 PH 2012-02-25 2217 LA6FJA        59  024    F8KHP         59  88    
QSO:  3747 PH 2012-02-25 2220 LA6FJA        59  025    F1AGR/P       59  78    
QSO:  3752 PH 2012-02-25 2222 LA6FJA        59  026    F8BMX         59  74    
QSO:  3755 PH 2012-02-25 2224 LA6FJA        59  027    TM2T          59  13    
QSO:  3759 PH 2012-02-25 2225 LA6FJA        59  028    F5LOW         59  16    
QSO:  3767 PH 2012-02-25 2228 LA6FJA        59  029    F5PPG         59  57    
QSO:  3770 PH 2012-02-25 2230 LA6FJA        59  030    F5PZR         59  77    
QSO:  3773 PH 2012-02-25 2233 LA6FJA        59  031    F6KMB         59  59    
QSO:  3780 PH 2012-02-25 2234 LA6FJA        59  032    F6CLQ         59  89    
QSO:  3724 PH 2012-02-25 2236 LA6FJA        59  033    F8KCF         59  74    
QSO:  3720 PH 2012-02-25 2237 LA6FJA        59  034    F6APE         59  49    
QSO:  3716 PH 2012-02-25 2238 LA6FJA        59  035    F6KMX         59  94    
QSO:  3745 PH 2012-02-25 2240 LA6FJA        59  036    TM57M         59  57    
QSO:  3741 PH 2012-02-25 2245 LA6FJA        59  037    F8KOU/P       59  23    
QSO:  3739 PH 2012-02-25 2250 LA6FJA        59  038    F1HGH         59  13    
QSO:  3739 PH 2012-02-25 2255 LA6FJA        59  039    F1RHS         59  82    
QSO:  3739 PH 2012-02-25 2258 LA6FJA        59  040    F6KGL         59  93    
QSO:  3739 PH 2012-02-25 2301 LA6FJA        59  041    F4EHB         59  08    
QSO:  3739 PH 2012-02-25 2302 LA6FJA        59  042    F1AKX         59  50    
QSO:  3739 PH 2012-02-25 2304 LA6FJA        59  043    F4EUG         59  22    
QSO:  3739 PH 2012-02-25 2305 LA6FJA        59  044    F4EMK         59  64    
QSO:  3739 PH 2012-02-25 2307 LA6FJA        59  045    F5IF          59  66    
QSO:  3739 PH 2012-02-25 2310 LA6FJA        59  046    F6KRK         59  76    
QSO:  3739 PH 2012-02-25 2313 LA6FJA        59  047    F5KUG         59  31    
QSO:  3739 PH 2012-02-25 2316 LA6FJA        59  048    F8KGN         59  59    
QSO:  3739 PH 2012-02-25 2317 LA6FJA        59  049    F5QCC         59  079   
QSO:  3739 PH 2012-02-25 2317 LA6FJA        59  050    F4GPX         59  49    
QSO:  3739 PH 2012-02-25 2321 LA6FJA        59  051    F5KHP         59  32    
QSO:  3739 PH 2012-02-25 2324 LA6FJA        59  052    F4KIU         59  67    
QSO:  3739 PH 2012-02-25 2329 LA6FJA        59  053    F5FJ          59  40    
QSO:  3739 PH 2012-02-25 2332 LA6FJA        59  054    F5BND         59  82    
QSO:  3739 PH 2012-02-25 2332 LA6FJA        59  055    F6KEH         59  34    
QSO:  3739 PH 2012-02-25 2333 LA6FJA        59  056    F5OTZ         59  83    
QSO:  3739 PH 2012-02-25 2333 LA6FJA        59  057    F4KIO         59  35    
QSO:  3739 PH 2012-02-25 2335 LA6FJA        59  058    F1EOY         59  31    
QSO:  3739 PH 2012-02-25 2339 LA6FJA        59  059    F5BZG         59  45    
QSO:  3739 PH 2012-02-25 2342 LA6FJA        59  060    F6HRL         59  86    
QSO:  3739 PH 2012-02-25 2343 LA6FJA        59  061    F5KDB/P       59  59    
