START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-VHF-JAN
CALLSIGN: WA3KVN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WA3KVN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-VHF-JAN ARRL/arrl_january_vhf_contest/2018.
QSO:    50 PH 2018-01-20 1907 WA3KVN        FN20 WA3NUF        FN20
QSO:    50 PH 2018-01-20 1946 WA3KVN        FN20 W0RSJ         FN20
QSO:    50 PH 2018-01-20 1947 WA3KVN        FN20 AA2UK         FM29
QSO:    50 PH 2018-01-20 1949 WA3KVN        FN20 K2SDS         FM29
QSO:    50 PH 2018-01-20 1951 WA3KVN        FN20 K3IPM         FN20
QSO:    50 PH 2018-01-20 2010 WA3KVN        FN20 KB3MTW        FN20
QSO:    50 PH 2018-01-20 2011 WA3KVN        FN20 W2GTV         FN20
QSO:    50 PH 2018-01-20 2015 WA3KVN        FN20 N3FD          FN20KD
QSO:    50 PH 2018-01-20 2017 WA3KVN        FN20 WA3DRC        FN20
QSO:    50 PH 2018-01-20 2146 WA3KVN        FN20 KB3TC         FN20
QSO:    50 PH 2018-01-20 2245 WA3KVN        FN20 KA3WXV        FN20
QSO:    50 PH 2018-01-20 2300 WA3KVN        FN20 K3GNC         FN20
QSO:    50 PH 2018-01-20 2303 WA3KVN        FN20 N2NT          FN20
QSO:    50 PH 2018-01-21 1431 WA3KVN        FN20 N2SCJ         FM29
QSO:    50 PH 2018-01-21 1511 WA3KVN        FN20 K3JJZ         FN20
QSO:    50 PH 2018-01-21 1848 WA3KVN        FN20 KF2Y          FM29
QSO:    50 PH 2018-01-21 2029 WA3KVN        FN20 KB1JEY        FN20
QSO:   144 PH 2018-01-21 2042 WA3KVN        FN20 KB3MTW        FN20
QSO:   144 PH 2018-01-21 2042 WA3KVN        FN20 W2GTV         FN20
END-OF-LOG:
