START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
LOCATION: DX
CALLSIGN: PT5D
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-STATION: EXPEDITION
CATEGORY-TRANSMITTER: ONE
CREATED-BY: N1MM LOGGER+ 1.0.7276.0
CLUB: UBRO
OPERATORS: PP5BT PU5ETC PU5APW PU5ADF PU5BYZ PU5KGB PY2UGO PP5BAR PP5RR PP5DZ PU5DUL
HQ-CATEGORY: Multioperator, Single Transmitter, Low Power
HQ-GRID-LOCATOR: GG52rm
QSO: 21015 CW 2019-02-16 0027 PT5D 599 ATT K4OAQ 599 VA 0
QSO: 21011 CW 2019-02-16 0030 PT5D 599 ATT NR4M 599 VA 0
QSO: 14004 CW 2019-02-16 0035 PT5D 599 ATT K1LZ 599 MA 0
QSO: 21017 CW 2019-02-16 1720 PT5D 599 ATT W2FU 599 NT 0
QSO: 21017 CW 2019-02-16 1722 PT5D 599 ATT K3LR 599 PA 0
QSO: 21017 CW 2019-02-16 1722 PT5D 599 ATT K2AX 599 NJ 0
QSO: 21017 CW 2019-02-16 1724 PT5D 599 ATT AA9A 599 WA 0
QSO: 21017 CW 2019-02-16 1725 PT5D 599 ATT NE3F 599 PA 0
QSO: 21017 CW 2019-02-16 1726 PT5D 599 ATT N2NT 599 NJ 0
QSO: 21017 CW 2019-02-16 1728 PT5D 599 ATT AA3B 599 PA 0
QSO: 21017 CW 2019-02-16 1728 PT5D 599 ATT NA6O 599 CA 0
QSO: 21017 CW 2019-02-16 1728 PT5D 599 ATT W3LPL 599 MD 0
QSO: 21018 CW 2019-02-16 1743 PT5D 599 ATT K8AZ 599 OH 0
QSO: 21018 CW 2019-02-16 1744 PT5D 599 ATT W8FJ 599 PA 0
QSO: 21018 CW 2019-02-16 1744 PT5D 599 ATT K1TTT 599 MA 0
QSO: 21018 CW 2019-02-16 1746 PT5D 599 ATT K9IMM 599 PA 0
QSO: 21018 CW 2019-02-16 1747 PT5D 599 ATT K3OQ 599 MD 0
QSO: 21018 CW 2019-02-16 1749 PT5D 599 ATT K9MA 599 WA 0
QSO: 21018 CW 2019-02-16 1750 PT5D 599 ATT K9NW 599 IN 0
QSO: 21018 CW 2019-02-16 1751 PT5D 599 ATT VE3DZ 599 ON 0
QSO: 21018 CW 2019-02-16 1752 PT5D 599 ATT W6TK 599 CA 0
QSO: 21018 CW 2019-02-16 1752 PT5D 599 ATT N3RS 599 PA 0
QSO: 21018 CW 2019-02-16 1753 PT5D 599 ATT K3ZO 599 MD 0
QSO: 21018 CW 2019-02-16 1755 PT5D 599 ATT K2NV 599 NY 0
QSO: 21018 CW 2019-02-16 1756 PT5D 599 ATT KF2O 599 NC 0
QSO: 21018 CW 2019-02-16 1758 PT5D 599 ATT W8TWA 599 MI 0
QSO: 21018 CW 2019-02-16 1759 PT5D 599 ATT W2CG 599 NJ 0
QSO: 21018 CW 2019-02-16 1759 PT5D 599 ATT WE9V 599 WI 0
QSO: 21018 CW 2019-02-16 1800 PT5D 599 ATT WS1M 599 NY 0
QSO: 21018 CW 2019-02-16 1800 PT5D 599 ATT K5BG 599 TX 0
QSO: 21018 CW 2019-02-16 1801 PT5D 599 ATT N5WNG 599 TX 0
QSO: 21018 CW 2019-02-16 1802 PT5D 599 ATT N1MM 599 CT 0
QSO: 21018 CW 2019-02-16 1803 PT5D 599 ATT N5XJ 599 TX 0
QSO: 21018 CW 2019-02-16 1804 PT5D 599 ATT N2RJ 599 NJ 0
QSO: 21018 CW 2019-02-16 1804 PT5D 599 ATT N5RP 599 IL 0
QSO: 21018 CW 2019-02-16 1805 PT5D 599 ATT N4RA 599 WV 0
QSO: 21018 CW 2019-02-16 1806 PT5D 599 ATT N2OO 599 NJ 0
QSO: 21018 CW 2019-02-16 1806 PT5D 599 ATT W9FV 599 IN 0
QSO: 21018 CW 2019-02-16 1807 PT5D 599 ATT N4WW 599 FL 0
QSO: 21018 CW 2019-02-16 1807 PT5D 599 ATT W9XT 599 WA 0
QSO: 21018 CW 2019-02-16 1808 PT5D 599 ATT K8LY 599 OH 0
QSO: 21018 CW 2019-02-16 1809 PT5D 599 ATT AG9S 599 IN 0
QSO: 21018 CW 2019-02-16 1809 PT5D 599 ATT W3KB 599 PA 0
QSO: 21018 CW 2019-02-16 1810 PT5D 599 ATT AC4CA 599 TX 0
QSO: 21018 CW 2019-02-16 1811 PT5D 599 ATT K2LNS 599 PA 0
QSO: 21018 CW 2019-02-16 1812 PT5D 599 ATT N4RV 599 VA 0
QSO: 21018 CW 2019-02-16 1813 PT5D 599 ATT K2QMF 599 NC 0
QSO: 21018 CW 2019-02-16 1814 PT5D 599 ATT NN4X 599 FL 0
QSO: 21018 CW 2019-02-16 1815 PT5D 599 ATT N2MM 599 NJ 0
QSO: 21018 CW 2019-02-16 1815 PT5D 599 ATT N1JP 599 NY 0
QSO: 21018 CW 2019-02-16 1816 PT5D 599 ATT WA8MCD 599 MI 0
QSO: 21018 CW 2019-02-16 1817 PT5D 599 ATT N1LN 599 NC 0
QSO: 21018 CW 2019-02-16 1817 PT5D 599 ATT K3PP 599 PA 0
QSO: 21018 CW 2019-02-16 1818 PT5D 599 ATT KQ4LA 599 VA 0
QSO: 21018 CW 2019-02-16 1819 PT5D 599 ATT N0NI 599 IA 0
QSO: 21018 CW 2019-02-16 1821 PT5D 599 ATT N5VR 599 TX 0
QSO: 21018 CW 2019-02-16 1821 PT5D 599 ATT NN7CW 599 FL 0
QSO: 21018 CW 2019-02-16 1822 PT5D 599 ATT K3PA 599 KS 0
QSO: 21018 CW 2019-02-16 1823 PT5D 599 ATT N2IC 599 NM 0
QSO: 21018 CW 2019-02-16 1824 PT5D 599 ATT W3LL 599 MD 0
QSO: 21018 CW 2019-02-16 1827 PT5D 599 ATT WA5HOG 599 AR 0
QSO: 21018 CW 2019-02-16 1829 PT5D 599 ATT WR0S 599 MO 0
QSO: 21018 CW 2019-02-16 1831 PT5D 599 ATT W2GPS 599 MD 0
QSO: 21018 CW 2019-02-16 1833 PT5D 599 ATT WA3EKL 599 MD 0
QSO: 21018 CW 2019-02-16 1834 PT5D 599 ATT K7JR 599 OR 0
QSO: 21018 CW 2019-02-16 1834 PT5D 599 ATT K4PV 599 FL 0
QSO: 21018 CW 2019-02-16 1836 PT5D 599 ATT K3FV 599 MO 0
QSO: 21018 CW 2019-02-16 1837 PT5D 599 ATT N5AW 599 TX 0
QSO: 21018 CW 2019-02-16 1838 PT5D 599 ATT WA2VYA 599 TX 0
QSO: 28032 CW 2019-02-16 1842 PT5D 599 ATT W0RIC 599 AZ 0
QSO: 28032 CW 2019-02-16 1843 PT5D 599 ATT N4WW 599 FL 0
QSO: 28032 CW 2019-02-16 1844 PT5D 599 ATT K3LR 599 PA 0
QSO: 28032 CW 2019-02-16 1845 PT5D 599 ATT K9BGL 599 IL 0
QSO: 28032 CW 2019-02-16 1846 PT5D 599 ATT NN7CW 599 FL 0
QSO: 28032 CW 2019-02-16 1846 PT5D 599 ATT K9NW 599 IN 0
QSO: 28032 CW 2019-02-16 1848 PT5D 599 ATT W3EEK 599 FL 0
QSO: 28032 CW 2019-02-16 1848 PT5D 599 ATT N4BP 599 FL 0
QSO: 28032 CW 2019-02-16 1849 PT5D 599 ATT N4TB 599 FL 0
QSO: 21018 CW 2019-02-16 1853 PT5D 599 ATT KV4T 599 AL 0
QSO: 21018 CW 2019-02-16 1854 PT5D 599 ATT K3MD 599 PA 0
QSO: 21018 CW 2019-02-16 1855 PT5D 599 ATT K4TCG 599 TN 0
QSO: 21018 CW 2019-02-16 1855 PT5D 599 ATT K1AR 599 MA 0
QSO: 21018 CW 2019-02-16 1855 PT5D 599 ATT K5NB 599 TX 0
QSO: 21018 CW 2019-02-16 1856 PT5D 599 ATT K3SU 599 PA 0
QSO: 21018 CW 2019-02-16 1856 PT5D 599 ATT KM5G 599 AR 0
QSO: 21018 CW 2019-02-16 1857 PT5D 599 ATT W2XL 599 NY 0
QSO: 21018 CW 2019-02-16 1859 PT5D 599 ATT K2SD 599 NC 0
QSO: 21018 CW 2019-02-16 1901 PT5D 599 ATT W3GQ 599 NC 0
QSO: 21018 CW 2019-02-16 1902 PT5D 599 ATT KE0UI 599 CO 0
QSO: 21018 CW 2019-02-16 1903 PT5D 599 ATT K3PH 599 PA 0
QSO: 21018 CW 2019-02-16 1903 PT5D 599 ATT K9LJN 599 IL 0
QSO: 21018 CW 2019-02-16 1904 PT5D 599 ATT N8II 599 WV 0
QSO: 21018 CW 2019-02-16 1905 PT5D 599 ATT WB4YDY 599 TN 0
QSO: 21018 CW 2019-02-16 1907 PT5D 599 ATT W6AX 599 CA 0
QSO: 21018 CW 2019-02-16 1908 PT5D 599 ATT N2GA 599 NY 0
QSO: 21018 CW 2019-02-16 1908 PT5D 599 ATT K4VD 599 VA 0
QSO: 21018 CW 2019-02-16 1909 PT5D 599 ATT W3OA 599 NC 0
QSO: 21018 CW 2019-02-16 1909 PT5D 599 ATT K5VR 599 AR 0
QSO: 21018 CW 2019-02-16 1910 PT5D 599 ATT K4KAY 599 NC 0
QSO: 21018 CW 2019-02-16 1910 PT5D 599 ATT VE9XK 599 NB 0
QSO: 21018 CW 2019-02-16 1911 PT5D 599 ATT VA7T 599 BC 0
QSO: 21018 CW 2019-02-16 1919 PT5D 599 ATT K9CT 599 IL 0
QSO: 21018 CW 2019-02-16 1920 PT5D 599 ATT KE4S 599 VA 0
QSO: 21018 CW 2019-02-16 1921 PT5D 599 ATT AA6AA 599 NV 0
QSO: 21018 CW 2019-02-16 1922 PT5D 599 ATT W3DA 599 DE 0
QSO: 21018 CW 2019-02-16 1924 PT5D 599 ATT N4NO 599 AL 0
QSO: 21018 CW 2019-02-16 1926 PT5D 599 ATT VO1MP 599 NF 0
QSO: 21018 CW 2019-02-16 1927 PT5D 599 ATT W5MX 599 KY 0
QSO: 28018 CW 2019-02-16 1932 PT5D 599 ATT W4QN 599 FL 0
QSO: 14007 CW 2019-02-17 0112 PT5D 599 ATT N7DD 599 AZ 0
QSO: 21008 CW 2019-02-17 1332 PT5D 599 ATT VY2TT 599 PE 0
QSO: 14041 CW 2019-02-17 1443 PT5D 599 ATT K1KP 599 MA 0
END-OF-LOG:
