START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: OM3TBG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: OM3TBG
CLAIMED-SCORE: 13197
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: CW
NAME: Milan Dostal
SOAPBOX: rig: trx drake tr7 - 80w, ant windom 42 m long
QSO: 14000 CW 2025-09-20 1253 OM3TBG        599      1 OZ/DF4ZL      599     46 0
QSO: 14000 CW 2025-09-20 1254 OM3TBG        599      2 SM5ACQ        599     67 0
QSO: 14000 CW 2025-09-20 1256 OM3TBG        599      3 OG8M          599     50 0
QSO: 14000 CW 2025-09-20 1258 OM3TBG        599      4 SD6O          599    102 0
QSO: 14000 CW 2025-09-20 1305 OM3TBG        599      5 SD6F          599     94 0
QSO: 14000 CW 2025-09-20 1307 OM3TBG        599      6 OH6BA         599    112 0
QSO: 14000 CW 2025-09-20 1735 OM3TBG        599      7 SM9F          599    231 0
QSO: 14000 CW 2025-09-20 1739 OM3TBG        599      8 SE4A          599    351 0
QSO: 14000 CW 2025-09-20 1740 OM3TBG        599      9 LC2F          599    250 0
QSO: 14000 CW 2025-09-20 1741 OM3TBG        599     10 SE8X          599    352 0
QSO: 14000 CW 2025-09-20 1743 OM3TBG        599     11 SC6O          599    249 0
QSO: 14000 CW 2025-09-20 1743 OM3TBG        599     12 SM5CSS        599    449 0
QSO: 14000 CW 2025-09-20 1748 OM3TBG        599     13 LC5T          599    507 0
QSO: 14000 CW 2025-09-20 1750 OM3TBG        599     14 OH7K          599    476 0
QSO: 14000 CW 2025-09-20 1751 OM3TBG        599     15 OG1F          599    683 0
QSO: 14000 CW 2025-09-20 1753 OM3TBG        599     16 OH3Z          599    435 0
QSO: 14000 CW 2025-09-20 1755 OM3TBG        599     17 OH5Z          599    889 0
QSO: 14000 CW 2025-09-20 1758 OM3TBG        599     18 OG6N          599    498 0
QSO: 14000 CW 2025-09-20 1800 OM3TBG        599     19 SM6X          599    276 0
QSO: 14000 CW 2025-09-20 1805 OM3TBG        599     20 OH8L          599    741 0
QSO: 14000 CW 2025-09-20 1806 OM3TBG        599     21 SM6M          599    711 0
QSO: 14000 CW 2025-09-20 1807 OM3TBG        599     22 LB2WD         599     31 0
QSO: 14000 CW 2025-09-20 1808 OM3TBG        599     23 OH3KQ         599    173 0
QSO: 14000 CW 2025-09-20 1810 OM3TBG        599     24 OH4R          599    294 0
QSO: 14000 CW 2025-09-20 1811 OM3TBG        599     25 OH2MGA        599    277 0
QSO: 14000 CW 2025-09-20 1814 OM3TBG        599     26 LA/US1PM      599     44 0
QSO: 14000 CW 2025-09-20 1815 OM3TBG        599     27 SG4G          599    371 0
QSO: 14000 CW 2025-09-20 1818 OM3TBG        599     28 OH2BKX        599    323 0
QSO: 14000 CW 2025-09-20 1821 OM3TBG        599     29 OH0Z          599    744 0
QSO: 14000 CW 2025-09-20 1822 OM3TBG        599     30 LB4UH         599    465 0
QSO: 14000 CW 2025-09-20 1824 OM3TBG        599     31 OF9X          599    672 0
QSO: 14000 CW 2025-09-20 1827 OM3TBG        599     32 OG5B          599    442 0
QSO:  7000 CW 2025-09-20 1857 OM3TBG        599     33 OH6RX         599    791 0
QSO:  7000 CW 2025-09-20 1858 OM3TBG        599     34 SM5EPO        599    436 0
QSO:  7000 CW 2025-09-20 1859 OM3TBG        599     35 OH1LWZ        599    259 0
QSO:  7000 CW 2025-09-20 1900 OM3TBG        599     36 SM5CSS        599    520 0
QSO:  7000 CW 2025-09-20 1901 OM3TBG        599     37 OH7K          599    307 0
QSO:  7000 CW 2025-09-20 1902 OM3TBG        599     38 SE5E          599    932 0
QSO:  7000 CW 2025-09-20 1903 OM3TBG        599     39 OH2HEX        599    344 0
QSO:  7000 CW 2025-09-20 1904 OM3TBG        599     40 SK1BL         599    589 0
QSO:  7000 CW 2025-09-20 1905 OM3TBG        599     41 SC6O          599    372 0
QSO:  7000 CW 2025-09-20 1907 OM3TBG        599     42 OZ/DF4ZL      599    389 0
QSO:  7000 CW 2025-09-20 1910 OM3TBG        599     43 SD6F          599    370 0
QSO:  7000 CW 2025-09-20 1913 OM3TBG        599     44 OG3T          599     52 0
