START-OF-LOG: 2.0
CATEGORY: Multi operator
CONTEST: WAG
SPECIFIC: S41
CREATED-BY: Win-Test 4.29.0, modified by DXHF upload.
CALLSIGN: DL0XM
CLAIMED-SCORE: 1573334
OPERATORS: DH3WW DK7YY DL1LRM DL4WG DL5CW DL5LYM DL5WS DL7URH DL9WVM DM3XM
OPERATORS: DO7OH
QSO: 21026 CW 2019-10-19 1500 DL0XM         599 S41    DJ2IA         599 F43
QSO: 14008 CW 2019-10-19 1500 DL0XM         599 S41    LZ1GU         599 001
QSO:  7198 PH 2019-10-19 1500 DL0XM         59  S41    PC50DIG       59  002
QSO: 14001 CW 2019-10-19 1501 DL0XM         599 S41    DL2F          599 F07
QSO:  7182 PH 2019-10-19 1501 DL0XM         59  S41    DK6PT         59  A05
QSO: 28023 CW 2019-10-19 1501 DL0XM         599 S41    DL5XJ         599 M30
QSO: 21026 CW 2019-10-19 1502 DL0XM         599 S41    AA3B          599 008
QSO: 14046 CW 2019-10-19 1502 DL0XM         599 S41    SV9RNG        599 003
QSO: 14035 CW 2019-10-19 1503 DL0XM         599 S41    CT9ABN        599 005
QSO: 21026 CW 2019-10-19 1504 DL0XM         599 S41    N3DXX         599 001
QSO:  7029 CW 2019-10-19 1505 DL0XM         599 S41    IZ4ZZB        599 005
QSO: 14032 CW 2019-10-19 1505 DL0XM         599 S41    K2QO          599 000
QSO: 21026 CW 2019-10-19 1505 DL0XM         599 S41    DL1BUG        599 Y15
QSO:  7028 CW 2019-10-19 1505 DL0XM         599 S41    SM0HRP        599 009
QSO: 21026 CW 2019-10-19 1505 DL0XM         599 S41    DL2RUG        599 Y09
QSO:  7026 CW 2019-10-19 1506 DL0XM         599 S41    LY5I          599 003
QSO: 21026 CW 2019-10-19 1506 DL0XM         599 S41    N4NO          599 004
QSO:  7018 CW 2019-10-19 1507 DL0XM         599 S41    YT6W          599 010
QSO: 21026 CW 2019-10-19 1507 DL0XM         599 S41    N7DR          599 006
QSO:  7017 CW 2019-10-19 1507 DL0XM         599 S41    R9LM          599 004
QSO: 21026 CW 2019-10-19 1507 DL0XM         599 S41    K4BAI         599 008
QSO:  7014 CW 2019-10-19 1508 DL0XM         599 S41    F4HMX/P       599 006
QSO: 21026 CW 2019-10-19 1508 DL0XM         599 S41    DL1NEO        599 B36
QSO:  7014 CW 2019-10-19 1508 DL0XM         599 S41    LZ2FL         599 001
QSO:  7012 CW 2019-10-19 1509 DL0XM         599 S41    OK1HCG        599 004
QSO:  7011 CW 2019-10-19 1509 DL0XM         599 S41    RN3F          599 018
QSO: 21026 CW 2019-10-19 1509 DL0XM         599 S41    KC1XX         599 008
QSO: 14005 CW 2019-10-19 1510 DL0XM         599 S41    VE3CRG        599 000
QSO:  7010 CW 2019-10-19 1510 DL0XM         599 S41    LA2HFA        599 006
QSO: 14013 CW 2019-10-19 1511 DL0XM         599 S41    UR7MZ         599 013
QSO:  7020 CW 2019-10-19 1511 DL0XM         599 S41    SP9XCN        599 009
QSO: 14024 CW 2019-10-19 1512 DL0XM         599 S41    IR8SRE        599 012
QSO:  7025 CW 2019-10-19 1512 DL0XM         599 S41    OM7M          599 001
QSO: 21026 CW 2019-10-19 1513 DL0XM         599 S41    N8UM          599 003
QSO:  7011 CW 2019-10-19 1513 DL0XM         599 S41    4U1A          599 002
QSO: 14036 CW 2019-10-19 1513 DL0XM         599 S41    SV1ENG        599 020
QSO:  7027 CW 2019-10-19 1514 DL0XM         599 S41    S50BCC        599 009
QSO: 21026 CW 2019-10-19 1514 DL0XM         599 S41    K1GQ          599 002
QSO: 14055 CW 2019-10-19 1514 DL0XM         599 S41    PA1AW/J       599 000
QSO:  7026 CW 2019-10-19 1514 DL0XM         599 S41    E74X          599 007
QSO:  7027 CW 2019-10-19 1515 DL0XM         599 S41    OZ6TL         599 007
QSO: 21026 CW 2019-10-19 1515 DL0XM         599 S41    KF3EB         599 001
QSO:  7022 CW 2019-10-19 1515 DL0XM         599 S41    OE1CIW        599 007
QSO: 14025 CW 2019-10-19 1516 DL0XM         599 S41    YO4DW         599 024
QSO:  7035 CW 2019-10-19 1516 DL0XM         599 S41    YL3GQ         599 007
QSO: 14023 CW 2019-10-19 1516 DL0XM         599 S41    YT2ISM        599 021
QSO: 14017 CW 2019-10-19 1517 DL0XM         599 S41    LZ1DQ         599 018
QSO:  7010 CW 2019-10-19 1517 DL0XM         599 S41    OH1F          599 011
QSO: 14017 CW 2019-10-19 1517 DL0XM         599 S41    EA1WH         599 018
QSO: 14017 CW 2019-10-19 1518 DL0XM         599 S41    SP9XCN        599 014
QSO:  7019 CW 2019-10-19 1518 DL0XM         599 S41    UI2F          599 006
QSO: 14017 CW 2019-10-19 1519 DL0XM         599 S41    SI5Y          599 005
QSO:  7028 CW 2019-10-19 1519 DL0XM         599 S41    HA8TP         599 011
QSO: 14017 CW 2019-10-19 1519 DL0XM         599 S41    UY2IG         599 012
QSO: 14017 CW 2019-10-19 1520 DL0XM         599 S41    YT6W          599 023
QSO: 14017 CW 2019-10-19 1521 DL0XM         599 S41    K5UV          599 001
QSO:  7003 CW 2019-10-19 1521 DL0XM         599 S41    KH7XS         599 000
QSO: 14017 CW 2019-10-19 1522 DL0XM         599 S41    RZ4AZ         599 007
QSO:  7015 CW 2019-10-19 1522 DL0XM         599 S41    EW6F          599 007
QSO:  7008 CW 2019-10-19 1523 DL0XM         599 S41    VK6LW         599 003
QSO: 14017 CW 2019-10-19 1523 DL0XM         599 S41    LZ2CH         599 017
QSO:  7034 CW 2019-10-19 1523 DL0XM         599 S41    9A3DML        599 002
QSO: 14017 CW 2019-10-19 1524 DL0XM         599 S41    W5UAA         599 001
QSO: 14017 CW 2019-10-19 1524 DL0XM         599 S41    DJ9RR         599 E03
QSO: 14017 CW 2019-10-19 1525 DL0XM         599 S41    UT4U          599 050
