START-OF-LOG: 3.0
CATEGORY: Single operator, SSB, low power
CONTEST: WAG
SPECIFIC: W33
CALLSIGN: DL9FB
LOCATION: DX
CLAIMED-SCORE: 5696
CREATED-BY: HAM OFFICE 5 REL. 9.3C HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC
OPERATORS: DL9FB
QSO: 3500  PH  2019-10-19 1244 DL9FB 59  W33               DG1OJ      59  H05
QSO: 3500  PH  2019-10-19 1247 DL9FB 59  W33               DB2BJT     59  I58
QSO: 3500  PH  2019-10-19 1251 DL9FB 59  W33               DR2D       59  D22
QSO: 7000  PH  2019-10-19 1257 DL9FB 59  W33               DM3FAM     59  A05
QSO: 3500  PH  2019-10-19 1259 DL9FB 59  W33               DO5CJ      59  S01
QSO: 3500  PH  2019-10-19 1301 DL9FB 59  W33               DO1UKR     59  E15
QSO: 3500  PH  2019-10-19 1306 DL9FB 59  W33               DL7SMK     59  X23
QSO: 3500  PH  2019-10-19 1315 DL9FB 59  W33               DN4ZS      59  F33
QSO: 7000  PH  2019-10-19 1402 DL9FB 59  W33               DC8LZ      59  A05
QSO: 7000  PH  2019-10-19 1405 DL9FB 59  W33               DK0UM      59  F15
QSO: 7000  PH  2019-10-19 1541 DL9FB 59  W33               S51CK      59  033
QSO: 7000  PH  2019-10-19 1545 DL9FB 59  W33               TM2F       59  046
QSO: 7000  PH  2019-10-19 1547 DL9FB 59  W33               IZ2KXC     59  080
QSO: 7000  PH  2019-10-19 1549 DL9FB 59  W33               RL4F       59  075
QSO: 3500  PH  2019-10-19 2038 DL9FB 59  W33               OM4M       59  083
QSO: 3500  PH  2019-10-19 2040 DL9FB 59  W33               DK8R       59  Q05
QSO: 3500  PH  2019-10-19 2042 DL9FB 59  W33               DM5RC      59  Y26
QSO: 3500  PH  2019-10-19 2048 DL9FB 59  W33               IZ4ZZB     59  314
QSO: 3500  PH  2019-10-19 2049 DL9FB 59  W33               DL2SAX     59  P05
QSO: 3500  PH  2019-10-19 2051 DL9FB 59  W33               DK3T       59  N61
QSO: 3500  PH  2019-10-19 2052 DL9FB 59  W33               DK0MM      59  F39
QSO: 3500  PH  2019-10-19 2057 DL9FB 59  W33               DK0YLO     59  YLO
QSO: 3500  PH  2019-10-19 2101 DL9FB 59  W33               DA0CCC     59  D23
QSO: 3500  PH  2019-10-20 0541 DL9FB 59  W33               DG1IU      59  A36
QSO: 3500  PH  2019-10-20 0542 DL9FB 59  W33               HB30YDL    59  198
QSO: 3500  PH  2019-10-20 0543 DL9FB 59  W33               DL1ATZ     59  X23
QSO: 3500  PH  2019-10-20 0545 DL9FB 59  W33               DL0WX      59  G18
QSO: 3500  PH  2019-10-20 0549 DL9FB 59  W33               PA9M       59  570
QSO: 3500  PH  2019-10-20 0552 DL9FB 59  W33               DM1LC      59  U14
QSO: 3500  PH  2019-10-20 0553 DL9FB 59  W33               DL2LBK     59  M06
QSO: 3500  PH  2019-10-20 0555 DL9FB 59  W33               DK8K       59  Q07
QSO: 3500  PH  2019-10-20 0559 DL9FB 59  W33               F5OHM      59  225
QSO: 14000 PH  2019-10-20 0609 DL9FB 59  W33               LZ9V       59  368
QSO: 14000 PH  2019-10-20 0611 DL9FB 59  W33               RX6AM      59  041
QSO: 7000  PH  2019-10-20 0612 DL9FB 59  W33               CR3W       59  1306
QSO: 7000  PH  2019-10-20 0615 DL9FB 59  W33               RC1W       59  413
QSO: 3500  PH  2019-10-20 0617 DL9FB 59  W33               DL0GL      59  L03
QSO: 3500  PH  2019-10-20 0620 DL9FB 59  W33               DJ7GS      59  A01
QSO: 14000 PH  2019-10-20 0744 DL9FB 59  W33               R7MC       59  323
QSO: 14000 PH  2019-10-20 0746 DL9FB 59  W33               UX7MR      59  292
QSO: 14000 PH  2019-10-20 0754 DL9FB 59  W33               EA5IQX     59  187
QSO: 14000 PH  2019-10-20 0755 DL9FB 59  W33               CT9ABO     59  849
QSO: 14000 PH  2019-10-20 0756 DL9FB 59  W33               RZ3Z       59  203
QSO: 14000 PH  2019-10-20 0801 DL9FB 59  W33               SW44M      59  193
QSO: 14000 PH  2019-10-20 0805 DL9FB 59  W33               IZ8GUQ     59  079
QSO: 14000 PH  2019-10-20 0806 DL9FB 59  W33               EA7KI      59  331
QSO: 14000 PH  2019-10-20 0807 DL9FB 59  W33               IT9FRX     59  520
QSO: 7000  PH  2019-10-20 0810 DL9FB 59  W33               DM5TI      59  C15
QSO: 7000  PH  2019-10-20 0811 DL9FB 59  W33               S57DX      59  262
QSO: 7000  PH  2019-10-20 0813 DL9FB 59  W33               DK1FW      59  P39
QSO: 14000 PH  2019-10-20 0820 DL9FB 59  W33               LZ1QN      59  608
QSO: 7000  PH  2019-10-20 0824 DL9FB 59  W33               G6MC       59  568
QSO: 7000  PH  2019-10-20 0825 DL9FB 59  W33               OM4M       59  247
QSO: 7000  PH  2019-10-20 0827 DL9FB 59  W33               ON3AR      59  129
QSO: 7000  PH  2019-10-20 0831 DL9FB 59  W33               OE193APD   59  203
QSO: 21000 PH  2019-10-20 1226 DL9FB 59  W33               KA1R       59  173
