START-OF-LOG: 2.0
ARRL-SECTION: NH
CALLSIGN: W1END
CLUB: Yankee Clipper Contest Club
CONTEST: KING-OF-SPAIN-C
CATEGORY: SINGLE-OP ALL LOW DX
CLAIMED-SCORE: 7410
OPERATORS: W1END
NAME: Eldon Burkinshaw
CREATED-BY: N1MM Logger V14.4.1
SOAPBOX: Rig was FTdx5000 (100w) and Butternut HF6V all-band vertical.
SOAPBOX: Good activity this year.  Thanks to everyone.  (Corrected log)
QSO: 21028 CW 2014-05-17 1356 W1END         599 001    EF5T          599 MU      
QSO: 21026 CW 2014-05-17 1357 W1END         599 002    CO7EH         599 019     
QSO: 21027 CW 2014-05-17 1358 W1END         599 003    N4BP          599 91      
QSO: 21045 CW 2014-05-17 1401 W1END         599 004    ED7P          599 SE      
QSO: 21035 CW 2014-05-17 1529 W1END         599 005    N7DR          599 013     
QSO: 21019 CW 2014-05-17 1531 W1END         599 006    SN7Q          599 189     
QSO: 21024 CW 2014-05-17 1532 W1END         599 007    K9OM          599 33      
QSO: 21033 CW 2014-05-17 1559 W1END         599 008    K4RUM         599 015     
QSO: 14021 CW 2014-05-17 1700 W1END         599 009    EA4ZK         599 M       
QSO: 14029 CW 2014-05-17 1701 W1END         599 010    EA5GX         599 CS      
QSO: 14032 CW 2014-05-17 1833 W1END         599 011    EA2AAZ        599 NA      
QSO: 14032 CW 2014-05-17 1833 W1END         599 012    EF5Y          599 A       
QSO: 14021 CW 2014-05-17 2036 W1END         599 013    EF8U          599 GC      
QSO: 14020 CW 2014-05-17 2039 W1END         599 014    Z35G          599 085     
QSO: 14011 CW 2014-05-17 2040 W1END         599 015    UX4FC         599 252     
QSO: 14036 CW 2014-05-17 2044 W1END         599 016    EA1IBH        599 PO      
QSO: 14023 CW 2014-05-17 2045 W1END         599 017    EF0JC         599 SMR        
QSO: 14021 CW 2014-05-17 2048 W1END         599 018    YL5X          599 084     
QSO: 14012 CW 2014-05-17 2130 W1END         599 019    EA6UN         599 IB      
QSO: 14017 CW 2014-05-17 2131 W1END         599 020    EA5HPX        599 A       
QSO: 14021 CW 2014-05-17 2132 W1END         599 021    K4BAI         599 134     
QSO: 14026 CW 2014-05-17 2133 W1END         599 022    SN5N          599 120     
QSO: 14027 CW 2014-05-17 2134 W1END         599 023    EC7CW         599 CA      
QSO: 14030 CW 2014-05-17 2136 W1END         599 024    OG0W          599 500     
QSO: 14031 CW 2014-05-17 2137 W1END         599 025    CO7EH         599 087     
QSO: 14037 CW 2014-05-17 2140 W1END         599 026    EA5IIK        599 CS      
QSO: 14035 CW 2014-05-17 2141 W1END         599 027    F5PRH         599 026     
QSO: 14025 CW 2014-05-17 2142 W1END         599 028    PA4PS         599 103     
QSO: 14019 CW 2014-05-17 2144 W1END         599 029    VA7ST         599 061     
QSO: 14015 CW 2014-05-17 2145 W1END         599 030    EA5WU         599 CS      
QSO: 14013 CW 2014-05-17 2146 W1END         599 031    EA7OR         599 CO      
QSO: 14018 CW 2014-05-17 2244 W1END         599 032    S55N          599 026     
QSO: 14026 CW 2014-05-17 2327 W1END         599 033    EA1CS         599 O       
QSO: 14026 CW 2014-05-17 2328 W1END         599 034    RW3RQ         599 008     
QSO: 14013 CW 2014-05-17 2329 W1END         599 035    EA1WX         599 O       
QSO:  7026 CW 2014-05-17 2331 W1END         599 036    9A6A          599 289     
QSO:  7021 CW 2014-05-17 2333 W1END         599 037    EF8U          599 GC      
QSO:  7019 CW 2014-05-17 2334 W1END         599 038    EA5WU         599 CS      
QSO:  7015 CW 2014-05-17 2334 W1END         599 039    K4RUM         599 064     
QSO:  7025 CW 2014-05-17 2336 W1END         599 040    ED1R          599 AV      
QSO:  7029 CW 2014-05-17 2337 W1END         599 041    YT6W          599 217     
QSO:  7032 CW 2014-05-17 2340 W1END         599 042    9A3XV         599 020     
QSO:  7026 CW 2014-05-17 2343 W1END         599 043    ED4T          599 TO     
QSO:  7010 CW 2014-05-17 2345 W1END         599 044    EI3KI         599 393     
QSO:  7009 CW 2014-05-17 2346 W1END         599 045    EA1MX         599 S       
QSO:  7020 CW 2014-05-17 2348 W1END         599 046    EA5KY         599 V      
QSO:  7022 CW 2014-05-17 2349 W1END         599 047    AA3B          599 440     
QSO:  7027 CW 2014-05-17 2349 W1END         599 048    CO7EH         599 147     
QSO:  7028 CW 2014-05-17 2350 W1END         599 049    CN8KD         599 227     
QSO:  7023 CW 2014-05-17 2352 W1END         599 050    LY2F          599 287     
QSO:  7014 CW 2014-05-17 2354 W1END         599 051    EA1CS         599 O       
QSO:  7026 CW 2014-05-18 0044 W1END         599 052    IK2SND        599 045     
QSO:  7028 CW 2014-05-18 0045 W1END         599 053    US6LFQ        599 400     
QSO: 21029 CW 2014-05-18 1115 W1END         599 054    EA5DD         599 A       
QSO: 21021 CW 2014-05-18 1117 W1END         599 055    EF8U          599 GC      
QSO: 21012 CW 2014-05-18 1121 W1END         599 056    PC2D          599 153     
QSO: 21011 CW 2014-05-18 1121 W1END         599 057    RN6MA         599 280     
QSO: 21037 CW 2014-05-18 1125 W1END         599 058    IZ2GRG        599 354     
QSO: 21039 CW 2014-05-18 1129 W1END         599 059    RL4A          599 266     
QSO: 21038 CW 2014-05-18 1130 W1END         599 060    EB7KA         599 AL      
QSO: 21028 CW 2014-05-18 1135 W1END         599 061    S56A          599 370     
QSO: 21032 CW 2014-05-18 1139 W1END         599 062    UA5C          599 265     
