START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
X-VERSION:     SD V17.54  :  SDCHECK V17.54  :  Template QREFDX.TPL
CONTEST:       REF
CALLSIGN:      IK2IKW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  ASSISTED
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER:  ONE
CLAIMED-SCORE: 648
NAME:          Alvaro Neonati
OPERATORS:     IK2IKW
X-RADIOS:      Yaesu FT-450D
X-ANTENNAS:    R5 + dipole + 1 el delta loop 15m
QSO: 7000  CW 2015-01-24 0816 IK2IKW        599  001   F5IN         599 45
QSO: 7000  CW 2015-01-24 0903 IK2IKW        599  002   F6KJX        599 41
QSO: 7000  CW 2015-01-24 0908 IK2IKW        599  003   F6HJO        599 21
QSO: 7000  CW 2015-01-24 0911 IK2IKW        599  004   F8DFP        599 63
QSO: 7000  CW 2015-01-24 0913 IK2IKW        599  005   F8KGW        599 35
QSO: 7000  CW 2015-01-24 0920 IK2IKW        599  006   F5TPO        599 57
QSO: 7000  CW 2015-01-24 0927 IK2IKW        599  007   F6KEH        599 34
QSO: 7000  CW 2015-01-24 0932 IK2IKW        599  008   F5XX         599 81
QSO: 7000  CW 2015-01-24 0936 IK2IKW        599  009   F8BUO        599 68
QSO: 7000  CW 2015-01-24 0941 IK2IKW        599  010   F6HKA        599 87
QSO: 14000 CW 2015-01-24 0956 IK2IKW        599  011   F6EYB        599 40
QSO: 14000 CW 2015-01-24 1443 IK2IKW        599  012   F6KUQ        599 33
QSO: 14000 CW 2015-01-25 0848 IK2IKW        599  013   TM5CD        599 59
QSO: 7000  CW 2015-01-25 0853 IK2IKW        599  014   TM7X         599 12
QSO: 7000  CW 2015-01-25 0904 IK2IKW        599  015   F8KHP        599 88
QSO: 7000  CW 2015-01-25 0909 IK2IKW        599  016   F5KKD        599 93
QSO: 7000  CW 2015-01-25 0929 IK2IKW        599  017   F4ERS        599 37
QSO: 7000  CW 2015-01-25 0931 IK2IKW        599  018   F5KLE        599 30
QSO: 7000  CW 2015-01-25 0935 IK2IKW        599  019   F5LPY        599 55
QSO: 7000  CW 2015-01-25 0937 IK2IKW        599  020   F4VPX        599 63
QSO: 21000 CW 2015-01-25 1511 IK2IKW        599  021   FM5WD        599 FM
QSO: 14000 CW 2015-01-25 1518 IK2IKW        599  022   F6DSV        599 31
QSO: 14000 CW 2015-01-25 1524 IK2IKW        599  023   F6KCZ        599 14
QSO: 7000  CW 2015-01-25 1530 IK2IKW        599  024   F4KIP        599 57
QSO: 7000  CW 2015-01-25 1534 IK2IKW        599  025   F5JSQ        599 51
END-OF-LOG: 
