START-OF-LOG: 2.0
ARRL-SECTION: OH
CALLSIGN: N8BJQ
CLUB:  
CONTEST: REF-CW
CATEGORY: SINGLE-OP ALL HIGH CW
CLAIMED-SCORE: 14271
OPERATORS: N8BJQ
NAME: Steve Bolia
CREATED-BY: N1MM Logger+ 1.0.4584.0
QSO: 28005 CW 2015-01-25 1340 N8BJQ         599 0001   F8CIL         599 03       
QSO: 28008 CW 2015-01-25 1341 N8BJQ         599 0002   F5LPY         599 55       
QSO: 28013 CW 2015-01-25 1343 N8BJQ         599 0003   F4GBW         599 59       
QSO: 28013 CW 2015-01-25 1344 N8BJQ         599 0004   F2GL          599 89       
QSO: 28015 CW 2015-01-25 1345 N8BJQ         599 0005   F5VJC         599 50       
QSO: 28017 CW 2015-01-25 1345 N8BJQ         599 0006   F8DGY         599 77       
QSO: 28016 CW 2015-01-25 1346 N8BJQ         599 0007   F6REF         599 00       
QSO: 28018 CW 2015-01-25 1347 N8BJQ         599 0008   F8DRE         599 28       
QSO: 28029 CW 2015-01-25 1349 N8BJQ         599 0009   F8CMF         599 74       
QSO: 28030 CW 2015-01-25 1350 N8BJQ         599 0010   F6KCZ         599 14       
QSO: 28031 CW 2015-01-25 1350 N8BJQ         599 0011   F6HKA         599 87       
QSO: 21021 CW 2015-01-25 1418 N8BJQ         599 0012   F6REF         599 00       
QSO: 21033 CW 2015-01-25 1419 N8BJQ         599 0013   TM2G          599 49       
QSO: 21030 CW 2015-01-25 1420 N8BJQ         599 0014   F5VJC         599 50       
QSO: 21029 CW 2015-01-25 1420 N8BJQ         599 0015   F6DYX         599 49       
QSO: 21032 CW 2015-01-25 1421 N8BJQ         599 0016   F6HKA         599 87       
QSO: 21027 CW 2015-01-25 1422 N8BJQ         599 0017   F6KPQ         599 56       
QSO: 21027 CW 2015-01-25 1423 N8BJQ         599 0018   F6DEV         599 09       
QSO: 21026 CW 2015-01-25 1424 N8BJQ         599 0019   F6BYJ         599 16       
QSO: 21023 CW 2015-01-25 1425 N8BJQ         599 0020   FG8NY         599 FG       
QSO: 21019 CW 2015-01-25 1425 N8BJQ         599 0021   F6KNB         599 33       
QSO: 21016 CW 2015-01-25 1426 N8BJQ         599 0022   F8KGW         599 35       
QSO: 21016 CW 2015-01-25 1430 N8BJQ         599 0023   TM5CD         599 59       
QSO: 21011 CW 2015-01-25 1431 N8BJQ         599 0024   TM5G          599 44       
QSO: 28023 CW 2015-01-25 1433 N8BJQ         599 0025   F1BIH/P       599 58       
QSO: 28022 CW 2015-01-25 1434 N8BJQ         599 0026   F5UTN         599 27       
QSO: 28014 CW 2015-01-25 1436 N8BJQ         599 0027   F6HPP         599 02       
QSO: 28026 CW 2015-01-25 1439 N8BJQ         599 0028   FG/F5HRY      599 FG       
QSO: 28029 CW 2015-01-25 1440 N8BJQ         599 0029   F6KRK         599 78       
QSO: 28021 CW 2015-01-25 1441 N8BJQ         599 0030   F5CWU         599 37       
QSO: 21012 CW 2015-01-25 1442 N8BJQ         599 0031   F5CWU         599 37       
QSO: 21013 CW 2015-01-25 1443 N8BJQ         599 0032   F6DEO         599 95       
QSO: 21014 CW 2015-01-25 1445 N8BJQ         599 0033   FM5WD         599 FM       
QSO: 21015 CW 2015-01-25 1445 N8BJQ         599 0034   F4GBW         599 59       
QSO: 21022 CW 2015-01-25 1446 N8BJQ         599 0035   F1BIH/P       599 58       
QSO: 21021 CW 2015-01-25 1447 N8BJQ         599 0036   TM7X          599 12       
QSO: 21017 CW 2015-01-25 1448 N8BJQ         599 0037   F2GL          599 89       
QSO: 21020 CW 2015-01-25 1450 N8BJQ         599 0038   F8DRE         599 28       
QSO: 21024 CW 2015-01-25 1453 N8BJQ         599 0039   F5RJW         599 71       
QSO: 21017 CW 2015-01-25 1513 N8BJQ         599 0040   TM6D          599 38       
QSO: 21027 CW 2015-01-25 1514 N8BJQ         599 0041   F8DGY         599 77       
QSO: 21032 CW 2015-01-25 1515 N8BJQ         599 0042   FG/F5HRY      599 FG       
QSO: 21030 CW 2015-01-25 1515 N8BJQ         599 0043   TM1A          599 77       
QSO: 21029 CW 2015-01-25 1516 N8BJQ         599 0044   F6KRK         599 78       
QSO: 21024 CW 2015-01-25 1516 N8BJQ         599 0045   F6KJS         599 71       
QSO: 21021 CW 2015-01-25 1517 N8BJQ         599 0046   F5VV          599 01       
QSO: 21027 CW 2015-01-25 1625 N8BJQ         599 0047   F5UTN         599 27       
QSO: 21030 CW 2015-01-25 1626 N8BJQ         599 0048   F5VHY         599 47       
QSO: 21010 CW 2015-01-25 1630 N8BJQ         599 0049   F6KHM         599 29       
QSO: 21013 CW 2015-01-25 1631 N8BJQ         599 0050   F6BKP         599 17       
QSO: 14013 CW 2015-01-25 1636 N8BJQ         599 0051   TM7X          599 12       
QSO: 14013 CW 2015-01-25 1636 N8BJQ         599 0052   TM5G          599 44       
QSO: 14010 CW 2015-01-25 1638 N8BJQ         599 0053   F5CWU         599 37       
QSO: 14017 CW 2015-01-25 1638 N8BJQ         599 0054   F8DRE         599 28       
QSO: 14021 CW 2015-01-25 1639 N8BJQ         599 0055   F6REF         599 00       
QSO: 14027 CW 2015-01-25 1640 N8BJQ         599 0056   F1BIH/P       599 58       
