START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
X-VERSION:     SD V17.54  :  SDCHECK V17.54  :  Template QREFDX.TPL
CONTEST:       REF
CALLSIGN:      EI2KA
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-POWER:  LOW
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-TRANSMITTER:  ONE
CLAIMED-SCORE: 1645
NAME:          Tim McKnight
OPERATORS:     EI2KA
X-RADIOS:      IC-7600
X-ANTENNAS:    SteppIR 3ele yagi, CW-160 Carolina Windom
SOAPBOX:       SD logging software by EI5DI is fantastic, and the support
SOAPBOX:       is amazing.  During the REF contest, Paul sent out an
SOAPBOX:       update to correct a cosmetic error in the logging
SOAPBOX:       software.  Now that is good service for a free logger.
QSO: 28019 CW 2015-01-24 1405 EI2KA         599  001   FM5BH        599 FM
QSO: 28023 CW 2015-01-24 1408 EI2KA         599  002   FG/F5HRY     599 FG
QSO: 21016 CW 2015-01-24 1434 EI2KA         599  003   TM5CD        599 59
QSO: 21013 CW 2015-01-24 1435 EI2KA         599  004   F6KRD        599 13
QSO: 14043 CW 2015-01-24 1454 EI2KA         599  005   F5PZR        599 77
QSO: 14038 CW 2015-01-24 1456 EI2KA         599  006   F6HJO        599 21
QSO: 14037 CW 2015-01-24 1458 EI2KA         599  007   F5VV         599 01
QSO: 14036 CW 2015-01-24 1503 EI2KA         599  008   F6DEV        599 09
QSO: 14034 CW 2015-01-24 1507 EI2KA         599  009   F6CLN        599 31
QSO: 14033 CW 2015-01-24 1511 EI2KA         599  010   F2QH         599 95
QSO: 14026 CW 2015-01-24 1517 EI2KA         599  011   F6KJX        599 41
QSO: 14025 CW 2015-01-24 1519 EI2KA         599  012   F5KMB/P      599 60
QSO: 14024 CW 2015-01-24 1520 EI2KA         599  013   F6DYX        599 49
QSO: 14023 CW 2015-01-24 1522 EI2KA         599  014   F6KUP        599 55
QSO: 14022 CW 2015-01-24 1523 EI2KA         599  015   F6DSV        599 31
QSO: 14019 CW 2015-01-24 1526 EI2KA         599  016   F6KFH        599 57
QSO: 14016 CW 2015-01-24 1531 EI2KA         599  017   F5OWL        599 83
QSO: 14013 CW 2015-01-24 1535 EI2KA         599  018   F5KDC        599 63
QSO: 14013 CW 2015-01-24 1537 EI2KA         599  019   F6BKP        599 17
QSO: 7002  CW 2015-01-24 1546 EI2KA         599  020   F5POJ        599 02
QSO: 7003  CW 2015-01-24 1550 EI2KA         599  021   F8KHP        599 88
QSO: 28011 CW 2015-01-24 1611 EI2KA         599  022   FM5WD        599 FM
QSO: 28017 CW 2015-01-24 1614 EI2KA         599  023   F6KNB        599 33
QSO: 21011 CW 2015-01-24 1628 EI2KA         599  024   F5KEQ        599 44
QSO: 21014 CW 2015-01-24 1634 EI2KA         599  025   F6REF        599 83
QSO: 3521  CW 2015-01-24 1643 EI2KA         599  026   F5PBM        599 77
QSO: 3523  CW 2015-01-24 1650 EI2KA         599  027   F9EW         599 77
QSO: 3540  CW 2015-01-24 1658 EI2KA         599  028   F6AWU        599 44
QSO: 7020  CW 2015-01-24 1706 EI2KA         599  029   F5KEE        599 91
QSO: 7021  CW 2015-01-24 1710 EI2KA         599  030   F6KJX        599 41
QSO: 7025  CW 2015-01-24 1713 EI2KA         599  031   F6KRK        599 78
QSO: 7026  CW 2015-01-24 1714 EI2KA         599  032   F8DFP        599 63
QSO: 7027  CW 2015-01-24 1718 EI2KA         599  033   F6DTZ        599 65
QSO: 7028  CW 2015-01-24 1724 EI2KA         599  034   TM5CD        599 59
QSO: 7029  CW 2015-01-24 1725 EI2KA         599  035   F5PAL        599 63
QSO: 7030  CW 2015-01-24 1728 EI2KA         599  036   F5CWU        599 37
QSO: 7030  CW 2015-01-24 1730 EI2KA         599  037   F5VV         599 01
QSO: 7032  CW 2015-01-24 1733 EI2KA         599  038   F5BVU        599 66
QSO: 7034  CW 2015-01-24 1737 EI2KA         599  039   F5LPY        599 55
QSO: 7035  CW 2015-01-24 1739 EI2KA         599  040   F8KGZ        599 55
QSO: 21029 CW 2015-01-25 1443 EI2KA         599  041   F5OWL        599 83
END-OF-LOG: 
