START-OF-LOG: 2.0
REF-SECTION: 13
CALLSIGN: F4AQG
CATEGORY: SINGLE-OP ALL QRP
CLAIMED-SCORE:  25949
CONTEST: REF-CW
CREATED-BY: WINREF-HF V8.1.16
NAME: LANNIER CHRISTOPHE
OFFTIME: 2015-01-24 2115 2015-01-25 0848
OFFTIME: 2015-01-24 1157 2015-01-24 1616
OFFTIME: 2015-01-24 0723 2015-01-24 1108
RIG: FT 857D
RIG: FT 857D
RIG: QUATRES DIPOLE MONO BANDE ET UNE VERTICALE POUR LE 10MT
RIG: 5
QSO: 3500  CW 2015-01-24 0614 F4AQG         599 13     TK5EP         599 2A   
QSO: 3500  CW 2015-01-24 0626 F4AQG         599 13     F6KKH         599 11   
QSO: 3500  CW 2015-01-24 0636 F4AQG         599 13     F5YG          599 60   
QSO: 3500  CW 2015-01-24 0645 F4AQG         599 13     F6KPQ         599 56   
QSO: 3500  CW 2015-01-24 0655 F4AQG         599 13     F5VHY         599 47   
QSO: 3500  CW 2015-01-24 0714 F4AQG         599 13     F5CWU         599 37   
QSO: 3500  CW 2015-01-24 0723 F4AQG         599 13     F5UTN         599 27   
QSO: 21000 CW 2015-01-24 1108 F4AQG         599 13     RY7G          599 241  
QSO: 21000 CW 2015-01-24 1112 F4AQG         599 13     LZ2PS         599 060  
QSO: 21000 CW 2015-01-24 1117 F4AQG         599 13     LY4K          599 232  
QSO: 14000 CW 2015-01-24 1128 F4AQG         599 13     F4BDG         599 77   
QSO: 14000 CW 2015-01-24 1136 F4AQG         599 13     F4GBW         599 59   
QSO: 14000 CW 2015-01-24 1141 F4AQG         599 13     YT1A          599 221  
QSO: 14000 CW 2015-01-24 1152 F4AQG         599 13     R1TEU         599 121  
QSO: 14000 CW 2015-01-24 1157 F4AQG         599 13     F5NKX         599 50   
QSO: 7000  CW 2015-01-24 1616 F4AQG         599 13     F8BUO         599 68   
QSO: 7000  CW 2015-01-24 1622 F4AQG         599 13     F8NUH         599 38   
QSO: 7000  CW 2015-01-24 1627 F4AQG         599 13     F6KDU         599 64   
QSO: 7000  CW 2015-01-24 1631 F4AQG         599 13     F6KGI         599 11   
QSO: 7000  CW 2015-01-24 1645 F4AQG         599 13     TK4LS         599 2B   
QSO: 7000  CW 2015-01-24 1651 F4AQG         599 13     F6KCZ         599 14   
QSO: 7000  CW 2015-01-24 1655 F4AQG         599 13     F8UFT         599 51   
QSO: 7000  CW 2015-01-24 1701 F4AQG         599 13     F5KHP         599 32   
QSO: 7000  CW 2015-01-24 1705 F4AQG         599 13     F8KGZ         599 54   
QSO: 7000  CW 2015-01-24 1710 F4AQG         599 13     DL1MFZ        599 212  
QSO: 14000 CW 2015-01-24 1733 F4AQG         599 13     EA8OM         599 085  
QSO: 14000 CW 2015-01-24 1739 F4AQG         599 13     EA8AVK        599 129  
QSO: 7000  CW 2015-01-24 1811 F4AQG         599 13     YL2TD         599 254  
QSO: 7000  CW 2015-01-24 1816 F4AQG         599 13     DQ6Q          599 250  
QSO: 7000  CW 2015-01-24 1830 F4AQG         599 13     DEHG7Z        599 257  
QSO: 7000  CW 2015-01-24 1833 F4AQG         599 13     LZ1DQ         599 120  
QSO: 7000  CW 2015-01-24 1836 F4AQG         599 13     F6KHM         599 29   
QSO: 7000  CW 2015-01-24 1839 F4AQG         599 13     PA3BW         599 6262 
QSO: 7000  CW 2015-01-24 1840 F4AQG         599 13     A6LFQ         599 312  
QSO: 7000  CW 2015-01-24 1842 F4AQG         599 13     OZ4CG         599 283  
QSO: 7000  CW 2015-01-24 1848 F4AQG         599 13     LY2W          599 123  
QSO: 7000  CW 2015-01-24 1854 F4AQG         599 13     IM7ZDI        599 026  
QSO: 7000  CW 2015-01-24 1856 F4AQG         599 13     PCAH          599 225  
QSO: 7000  CW 2015-01-24 1858 F4AQG         599 13     G3RSD         599 259  
QSO: 7000  CW 2015-01-24 1901 F4AQG         599 13     EI8JX         599 019  
QSO: 7000  CW 2015-01-24 1905 F4AQG         599 13     DL5WB         599 005  
QSO: 7000  CW 2015-01-24 1907 F4AQG         599 13     CR7AT         599 145  
QSO: 7000  CW 2015-01-24 1913 F4AQG         599 13     HA6NW         599 182  
QSO: 7000  CW 2015-01-24 1916 F4AQG         599 13     YU1ML         599 298  
QSO: 7000  CW 2015-01-24 1917 F4AQG         599 13     DL/SF3CW      599 146  
QSO: 7000  CW 2015-01-24 1924 F4AQG         599 13     F5NKX         599 50   
QSO: 7000  CW 2015-01-24 1927 F4AQG         599 13     DF8AE         599 221  
QSO: 7000  CW 2015-01-24 1930 F4AQG         599 13     L1DQW         599 223  
QSO: 7000  CW 2015-01-24 1934 F4AQG         599 13     HA8VK         599 267  
QSO: 7000  CW 2015-01-24 1935 F4AQG         599 13     OM4O          599 124  
QSO: 7000  CW 2015-01-24 1942 F4AQG         599 13     OK1JOC        599 223  
QSO: 7000  CW 2015-01-24 1943 F4AQG         599 13     ON5JD         599 226  
QSO: 7000  CW 2015-01-24 2059 F4AQG         599 13     RL4A          599 146  
QSO: 7000  CW 2015-01-24 2103 F4AQG         599 13     F6KHM         599 29   
QSO: 7000  CW 2015-01-24 2104 F4AQG         599 13     F6HJO         599 21   
QSO: 7000  CW 2015-01-24 2115 F4AQG         599 13     RF9C          599 110  
QSO: 3500  CW 2015-01-25 0848 F4AQG         599 13     F6CEI         599 88   
QSO: 7000  CW 2015-01-25 0926 F4AQG         599 13     F5PGP         599 74   
QSO: 7000  CW 2015-01-25 0936 F4AQG         599 13     F6CRP         599 17   
QSO: 7000  CW 2015-01-25 0942 F4AQG         599 13     F5OEV         599 85   
QSO: 7000  CW 2015-01-25 0954 F4AQG         599 13     F5LKW         599 13   
QSO: 7000  CW 2015-01-25 1000 F4AQG         599 13     F5VBT         599 38   
QSO: 7000  CW 2015-01-25 1013 F4AQG         599 13     F6BIA         599 91   
QSO: 7000  CW 2015-01-25 1017 F4AQG         599 13     F5OWL         599 83   
QSO: 7000  CW 2015-01-25 1035 F4AQG         599 13     F5IYJ         599 21   
QSO: 7000  CW 2015-01-25 1037 F4AQG         599 13     F8GQO         599 81   
QSO: 7000  CW 2015-01-25 1039 F4AQG         599 13     F5TRB         599 69   
QSO: 7000  CW 2015-01-25 1040 F4AQG         599 13     IZ1GAR        599 052  
QSO: 7000  CW 2015-01-25 1044 F4AQG         599 13     K1BPL         599 140  
QSO: 7000  CW 2015-01-25 1054 F4AQG         599 13     TM6D          599 38   
QSO: 7000  CW 2015-01-25 1115 F4AQG         599 13     F4LKJ         599 47   
QSO: 21000 CW 2015-01-25 1133 F4AQG         599 13     LY5G          599 007  
QSO: 21000 CW 2015-01-25 1137 F4AQG         599 13     TA1BJ         599 112  
QSO: 21000 CW 2015-01-25 1415 F4AQG         599 13     YO5CRQ        599 195  
QSO: 21000 CW 2015-01-25 1418 F4AQG         599 13     SI5Y          599 125  
QSO: 21000 CW 2015-01-25 1426 F4AQG         599 13     EV6Z          599 187  
QSO: 21000 CW 2015-01-25 1431 F4AQG         599 13     UA6LFQ        599 663  
QSO: 21000 CW 2015-01-25 1437 F4AQG         599 13     LZ1ND         599 167  
QSO: 21000 CW 2015-01-25 1452 F4AQG         599 13     OZ4CG         599 141  
QSO: 21000 CW 2015-01-25 1502 F4AQG         599 13     YU5C          599 173  
QSO: 21000 CW 2015-01-25 1504 F4AQG         599 13     OZ6PI         599 243  
QSO: 14000 CW 2015-01-25 1520 F4AQG         599 13     DL3MVC        599 161  
QSO: 14000 CW 2015-01-25 1522 F4AQG         599 13     A6DFQ         599 686  
QSO: 14000 CW 2015-01-25 1523 F4AQG         599 13     YR6M          599 146  
QSO: 14000 CW 2015-01-25 1527 F4AQG         599 13     F5UB          599 62   
QSO: 14000 CW 2015-01-25 1531 F4AQG         599 13     R2CH          599 153  
QSO: 7000  CW 2015-01-25 1625 F4AQG         599 13     F5LPY         599 55   
QSO: 7000  CW 2015-01-25 1630 F4AQG         599 13     F5JSQ         599 51   
QSO: 7000  CW 2015-01-25 1654 F4AQG         599 13     F5TPO         599 57   
QSO: 7000  CW 2015-01-25 1658 F4AQG         599 13     F6DYX         599 49   
QSO: 7000  CW 2015-01-25 1717 F4AQG         599 13     F5PBG         599 29   
QSO: 7000  CW 2015-01-25 1722 F4AQG         599 13     SN6A          599 251  
QSO: 7000  CW 2015-01-25 1726 F4AQG         599 13     F6KFS         599 75   
QSO: 7000  CW 2015-01-25 1727 F4AQG         599 13     F5THW         599 76   
QSO: 7000  CW 2015-01-25 1735 F4AQG         599 13     OH8UV         599 026  
QSO: 7000  CW 2015-01-25 1736 F4AQG         599 13     OK1AY         599 151  
QSO: 7000  CW 2015-01-25 1740 F4AQG         599 13     F8CZI         599 68   
QSO: 7000  CW 2015-01-25 1743 F4AQG         599 13     F4GBW         599 59   
QSO: 7000  CW 2015-01-25 1751 F4AQG         599 13     LZ2PS         599 454  
QSO: 7000  CW 2015-01-25 1755 F4AQG         599 13     F5ABV         599 02   
END-OF-LOG:
