START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.8.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: C5A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 48672078
OPERATORS: OK1DIX, OK1DO, OK1FFU, OK1NY, OK1RI, OK1RK, OK8WW/OM2TW,  OM5AW,
OPERATORS: OM6NM
NAME: Richard Gasparik
SOAPBOX: Our second M/M effort from the beach in Gambia. We have had a lot of
SOAPBOX: problems in the beginning, part of our luggage with all the aluminum
SOAPBOX: and glass-fiber was lost somewhere on the way, our PPA's were held by
SOAPBOX: the customs, there was only 190V in the net..... but finally
SOAPBOX: everything was sorted out and we were able to come with a decent
SOAPBOX: station on the air. Since the propagation was NICE we hoped to cross
SOAPBOX: the 50 mil mark, how ever the Gods of contesting did not approve......
SOAPBOX:  twice black out - no electricity Saturday night and Saturday around
SOAPBOX: noon - loss well over an hour of operation, significant thunderstorm
SOAPBOX: with lighting and big winds and waves came Sunday late afternoon and
SOAPBOX: evening and pull down our 20m antenna - we were still able to put it
SOAPBOX: up again. It was audible even on 10m, so we gave up completely 160m
SOAPBOX: Sunday and 80+40m was really bad - big loss since we were deaf for a
SOAPBOX: couple of hours.
QSO: 14217 PH 2011-10-29 0000 C5A           59  35     W1EBI         59  05     0
QSO: 14217 PH 2011-10-29 0000 C5A           59  35     VY2ZM         59  05     0
QSO: 14217 PH 2011-10-29 0000 C5A           59  35     AB3CX         59  05     0
QSO:  1839 PH 2011-10-29 0000 C5A           59  35     KC1XX         59  05     0
QSO: 14217 PH 2011-10-29 0001 C5A           59  35     N3ZA          59  05     0
QSO: 14217 PH 2011-10-29 0001 C5A           59  35     W3FW          59  05     0
QSO:  3687 PH 2011-10-29 0001 C5A           59  35     RD0A          59  18     0
QSO:  1839 PH 2011-10-29 0001 C5A           59  35     D4C           59  35     0
QSO: 14217 PH 2011-10-29 0001 C5A           59  35     AH6FF         59  31     0
QSO: 14217 PH 2011-10-29 0002 C5A           59  35     K3MA          59  05     0
QSO: 21313 PH 2011-10-29 0002 C5A           59  35     EA1MK         59  14     0
QSO:  1839 PH 2011-10-29 0002 C5A           59  35     N8OO          59  04     0
QSO: 28484 PH 2011-10-29 0002 C5A           59  35     PW7T          59  11     0
QSO: 14217 PH 2011-10-29 0002 C5A           59  35     K1LTJ         59  05     0
QSO: 14217 PH 2011-10-29 0002 C5A           59  35     W5RU          59  04     0
QSO: 28484 PH 2011-10-29 0002 C5A           59  35     EA7KW         59  14     0
QSO: 14217 PH 2011-10-29 0003 C5A           59  35     N4RV          59  05     0
QSO: 14217 PH 2011-10-29 0003 C5A           59  35     K4MIA         59  05     0
QSO: 28484 PH 2011-10-29 0003 C5A           59  35     WP4OFO        59  08     0
QSO:  7290 PH 2011-10-29 0003 C5A           59  35     VP9I          59  05     0
QSO: 14217 PH 2011-10-29 0003 C5A           59  35     N3MX          59  05     0
QSO: 28484 PH 2011-10-29 0003 C5A           59  35     EB7CVL        59  14     0
QSO: 14217 PH 2011-10-29 0003 C5A           59  35     W0AIH         59  04     0
QSO:  3688 PH 2011-10-29 0004 C5A           59  35     N4DJ          59  05     0
QSO: 14217 PH 2011-10-29 0004 C5A           59  35     W9IIX         59  04     0
QSO: 14217 PH 2011-10-29 0004 C5A           59  35     N7EO          59  05     0
QSO:  3688 PH 2011-10-29 0004 C5A           59  35     K1LZ          59  05     0
QSO: 21334 PH 2011-10-29 0004 C5A           59  35     VQ5X          59  08     0
QSO: 14217 PH 2011-10-29 0004 C5A           59  35     KC9MEA        59  04     0
QSO: 28484 PH 2011-10-29 0004 C5A           59  35     CR2T          59  14     0
QSO:  7290 PH 2011-10-29 0004 C5A           59  35     VA1MM         59  05     0
QSO: 14217 PH 2011-10-29 0005 C5A           59  35     K4STE         59  05     0
QSO:  1839 PH 2011-10-29 0005 C5A           59  35     NO8D          59  04     0
QSO: 14217 PH 2011-10-29 0005 C5A           59  35     NE3F          59  05     0
QSO: 14217 PH 2011-10-29 0005 C5A           59  35     W1AN          59  05     0
QSO:  1839 PH 2011-10-29 0005 C5A           59  35     W4LJM         59  04     0
QSO:  7290 PH 2011-10-29 0005 C5A           59  35     KI6LZ         59  03     0
QSO: 21286 PH 2011-10-29 0006 C5A           59  35     P40W          59  09     0
QSO: 14217 PH 2011-10-29 0006 C5A           59  35     W3/KP4GB      59  05     0
QSO:  3719 PH 2011-10-29 0006 C5A           59  35     ED1T          59  14     0
QSO: 14217 PH 2011-10-29 0006 C5A           59  35     WW3KP         59  05     0
QSO: 14217 PH 2011-10-29 0006 C5A           59  35     KC1XX         59  05     0
QSO: 14217 PH 2011-10-29 0006 C5A           59  35     WK1J          59  05     0
QSO: 28484 PH 2011-10-29 0006 C5A           59  35     PY1NS         59  11     0
QSO:  1839 PH 2011-10-29 0007 C5A           59  35     UR5AS         59  16     0
QSO:  3724 PH 2011-10-29 0007 C5A           59  35     OK5W          59  15     0
QSO: 14217 PH 2011-10-29 0007 C5A           59  35     KD8EZS        59  05     0
QSO: 14217 PH 2011-10-29 0007 C5A           59  35     IR9Y          59  15     0
QSO: 28484 PH 2011-10-29 0007 C5A           59  35     EA2CAR        59  14     0
QSO: 14217 PH 2011-10-29 0007 C5A           59  35     VA2WA         59  05     0
QSO: 21329 PH 2011-10-29 0007 C5A           59  35     CS2C          59  14     0
QSO: 28484 PH 2011-10-29 0008 C5A           59  35     PS2R          59  11     0
QSO:  1839 PH 2011-10-29 0008 C5A           59  35     NQ4I          59  05     0
QSO: 14217 PH 2011-10-29 0008 C5A           59  35     N3IQ          59  05     0
QSO: 28484 PH 2011-10-29 0008 C5A           59  35     EA8DD         59  33     0
QSO: 14217 PH 2011-10-29 0008 C5A           59  35     KE4UW         59  05     0
QSO:  7290 PH 2011-10-29 0008 C5A           59  35     VE1ZJ         59  05     0
QSO:  1839 PH 2011-10-29 0008 C5A           59  35     W2MF          59  05     0
QSO: 14217 PH 2011-10-29 0008 C5A           59  35     KA1JBE        59  05     0
QSO: 14217 PH 2011-10-29 0008 C5A           59  35     KG5VK         59  04     0
QSO:  3688 PH 2011-10-29 0008 C5A           59  35     W3LPL         59  05     0
QSO:  1839 PH 2011-10-29 0009 C5A           59  35     N4NN          59  05     0
QSO: 14217 PH 2011-10-29 0009 C5A           59  35     K3YH          59  05     0
QSO: 28484 PH 2011-10-29 0009 C5A           59  35     PY2TKB        59  11     0
QSO: 14217 PH 2011-10-29 0009 C5A           59  35     W1KRS         59  05     0
QSO:  3688 PH 2011-10-29 0009 C5A           59  35     W3NO          59  05     0
QSO: 14217 PH 2011-10-29 0009 C5A           59  35     W4RM          59  05     0
QSO: 14217 PH 2011-10-29 0009 C5A           59  35     K3FT          59  05     0
QSO:  3688 PH 2011-10-29 0009 C5A           59  35     K3LR          59  05     0
QSO:  1839 PH 2011-10-29 0009 C5A           59  35     W3LPL         59  05     0
QSO:  3688 PH 2011-10-29 0009 C5A           59  35     WB1I          59  05     0
QSO: 14217 PH 2011-10-29 0010 C5A           59  35     KJ4OHL        59  05     0
QSO:  3688 PH 2011-10-29 0010 C5A           59  35     NQ4I          59  05     0
QSO:  3688 PH 2011-10-29 0010 C5A           59  35     RW0A          59  18     0
QSO: 28484 PH 2011-10-29 0010 C5A           59  35     CU0AJR        59  14     0
QSO: 14217 PH 2011-10-29 0010 C5A           59  35     YO3GJC        59  20     0
QSO: 21329 PH 2011-10-29 0010 C5A           59  35     EA7LL         59  14     0
QSO:  3688 PH 2011-10-29 0010 C5A           59  35     MW0ZZK        59  14     0
QSO: 21329 PH 2011-10-29 0010 C5A           59  35     HI3K          59  08     0
QSO:  1839 PH 2011-10-29 0010 C5A           59  35     LZ5R          59  20     0
QSO: 21329 PH 2011-10-29 0010 C5A           59  35     PJ7X          59  08     0
QSO:  3688 PH 2011-10-29 0010 C5A           59  35     SN3R          59  15     0
QSO: 28484 PH 2011-10-29 0010 C5A           59  35     ED7C          59  14     0
QSO:  3688 PH 2011-10-29 0011 C5A           59  35     YT4A          59  15     0
QSO: 14217 PH 2011-10-29 0011 C5A           59  35     9A1P          59  15     0
QSO:  3688 PH 2011-10-29 0011 C5A           59  35     SP3GEM        59  15     0
QSO: 28484 PH 2011-10-29 0011 C5A           59  35     PR7HT         59  11     0
QSO: 14217 PH 2011-10-29 0011 C5A           59  35     W3GM          59  05     0
QSO:  3688 PH 2011-10-29 0011 C5A           59  35     EA5URT        59  14     0
QSO:  1839 PH 2011-10-29 0012 C5A           59  35     EA3WD         59  14     0
QSO: 14217 PH 2011-10-29 0012 C5A           59  35     NS6C          59  03     0
QSO:  3688 PH 2011-10-29 0012 C5A           59  35     TM6M          59  14     0
QSO: 14217 PH 2011-10-29 0012 C5A           59  35     W3MR          59  05     0
QSO:  3688 PH 2011-10-29 0012 C5A           59  35     NW4N          59  05     0
QSO: 14217 PH 2011-10-29 0012 C5A           59  35     NQ4I          59  05     0
QSO:  3688 PH 2011-10-29 0012 C5A           59  35     CN3A          59  33     0
QSO:  1839 PH 2011-10-29 0012 C5A           59  35     KB3AF         59  05     0
QSO: 14217 PH 2011-10-29 0013 C5A           59  35     N8RF          59  04     0
QSO: 14217 PH 2011-10-29 0013 C5A           59  35     W3LPL         59  05     0
QSO:  3688 PH 2011-10-29 0013 C5A           59  35     RT6A          59  16     0
QSO:  1839 PH 2011-10-29 0013 C5A           59  35     RC9O          59  18     0
QSO: 14217 PH 2011-10-29 0013 C5A           59  35     ND3W          59  05     0
QSO: 14217 PH 2011-10-29 0013 C5A           59  35     KT0G          59  04     0
QSO: 28484 PH 2011-10-29 0013 C5A           59  35     YV5NEA        59  09     0
QSO:  3688 PH 2011-10-29 0013 C5A           59  35     HB9H          59  14     0
QSO: 14217 PH 2011-10-29 0013 C5A           59  35     N1API         59  05     0
