START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL1MWG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: 14
CLAIMED-SCORE: 41925
CREATED-BY: UcxLog 6.79
NAME: Markus Weber
CLUB: BAVARIAN CONTEST CLUB
SOAPBOX: This was my first Contest on HF (my third overall)
SOAPBOX: Worked with my new IC-9100, an Outbacker OB8 and Heil Headset
QSO:  7127 PH 2011-10-29 0809 DL1MWG        59  14     SO8N          59  15     0
QSO:  7138 PH 2011-10-29 0822 DL1MWG        59  14     YT8A          59  15     0
QSO:  7153 PH 2011-10-29 0829 DL1MWG        59  14     OK1UG         59  15     0
QSO:  7168 PH 2011-10-29 0831 DL1MWG        59  14     LZ9W          59  13     0
QSO:  7172 PH 2011-10-29 0836 DL1MWG        59  14     SP8RHL        59  15     0
QSO:  7179 PH 2011-10-29 0840 DL1MWG        59  14     LN9Z          59  14     0
QSO:  7176 PH 2011-10-29 0841 DL1MWG        59  14     LY9Y          59  15     0
QSO:  7185 PH 2011-10-29 0841 DL1MWG        59  14     9A1P          59  15     0
QSO:  7145 PH 2011-10-29 0844 DL1MWG        59  14     ON5KQ         59  14     0
QSO:  7132 PH 2011-10-29 0847 DL1MWG        59  14     TM9R          59  14     0
QSO:  7124 PH 2011-10-29 0850 DL1MWG        59  14     LY7A          59  15     0
QSO:  7121 PH 2011-10-29 0851 DL1MWG        59  14     S56X          59  15     0
QSO: 14333 PH 2011-10-29 0854 DL1MWG        59  14     UT7Y          59  16     0
QSO: 14328 PH 2011-10-29 0856 DL1MWG        59  14     YL2BJ         59  15     0
QSO: 14326 PH 2011-10-29 0858 DL1MWG        59  14     Z37M          59  15     0
QSO: 14310 PH 2011-10-29 0903 DL1MWG        59  14     UW5U          59  16     0
QSO: 14298 PH 2011-10-29 0906 DL1MWG        59  14     EA5URT        59  14     0
QSO: 14297 PH 2011-10-29 0908 DL1MWG        59  14     EE3EA         59  14     0
QSO: 14286 PH 2011-10-29 0911 DL1MWG        59  14     RW4PL         59  16     0
QSO: 14280 PH 2011-10-29 0914 DL1MWG        59  14     SO8L          59  15     0
QSO: 14268 PH 2011-10-29 0924 DL1MWG        59  14     G2F           59  14     0
QSO: 14248 PH 2011-10-29 0929 DL1MWG        59  14     SO4M          59  15     0
QSO: 14239 PH 2011-10-29 0930 DL1MWG        59  14     ES5RW         59  15     0
QSO: 14228 PH 2011-10-29 0934 DL1MWG        59  14     LZ9W          59  20     0
QSO: 14200 PH 2011-10-29 0941 DL1MWG        59  14     US1I          59  16     0
QSO: 14191 PH 2011-10-29 0942 DL1MWG        59  14     UZ2M          59  16     0
QSO: 14185 PH 2011-10-29 0944 DL1MWG        59  14     SJ2W          59  14     0
QSO: 14182 PH 2011-10-29 0951 DL1MWG        59  14     EB1WW         59  14     0
QSO: 14153 PH 2011-10-29 0954 DL1MWG        59  14     GJ2A          59  14     0
QSO: 14143 PH 2011-10-29 0957 DL1MWG        59  14     GM2T          59  14     0
QSO: 14135 PH 2011-10-29 1003 DL1MWG        59  14     YT1FZ         59  15     0
QSO: 14126 PH 2011-10-29 1007 DL1MWG        59  14     EA3CCN        59  14     0
QSO: 14119 PH 2011-10-29 1013 DL1MWG        59  14     OH8X          59  15     0
QSO: 14108 PH 2011-10-29 1015 DL1MWG        59  14     OZ5GX         59  14     0
QSO: 21419 PH 2011-10-29 1028 DL1MWG        59  14     ES5G          59  15     0
QSO: 21405 PH 2011-10-29 1032 DL1MWG        59  14     P33W          59  20     0
QSO: 21394 PH 2011-10-29 1034 DL1MWG        59  14     OJ0X          59  15     0
QSO: 21389 PH 2011-10-29 1035 DL1MWG        59  14     EW6AF         59  16     0
QSO: 21382 PH 2011-10-29 1036 DL1MWG        59  14     CS2C          59  14     0
QSO: 21365 PH 2011-10-29 1042 DL1MWG        59  14     RL3A          59  16     0
QSO: 21346 PH 2011-10-29 1043 DL1MWG        59  14     CR6P          59  14     0
QSO: 21337 PH 2011-10-29 1047 DL1MWG        59  14     EB1WW         59  14     0
QSO: 21324 PH 2011-10-29 1050 DL1MWG        59  14     UV5U          59  16     0
QSO: 21319 PH 2011-10-29 1051 DL1MWG        59  14     OH4A          59  15     0
QSO: 21312 PH 2011-10-29 1054 DL1MWG        59  14     YP9W          59  20     0
QSO: 21306 PH 2011-10-29 1057 DL1MWG        59  14     GI5K          59  14     0
QSO: 21281 PH 2011-10-29 1059 DL1MWG        59  14     YO4DW         59  20     0
QSO: 21272 PH 2011-10-29 1106 DL1MWG        59  14     RZ3DJ         59  16     0
QSO: 21243 PH 2011-10-29 1112 DL1MWG        59  14     SI9AM         59  14     0
QSO: 21238 PH 2011-10-29 1114 DL1MWG        59  14     ED1R          59  14     0
QSO: 21189 PH 2011-10-29 1125 DL1MWG        59  14     UY7C          59  16     0
QSO: 21181 PH 2011-10-29 1128 DL1MWG        59  14     EA5URV        59  14     0
QSO: 21178 PH 2011-10-29 1130 DL1MWG        59  14     LN8W          59  14     0
QSO: 21164 PH 2011-10-29 1132 DL1MWG        59  14     RG3K          59  16     0
QSO: 21162 PH 2011-10-29 1133 DL1MWG        59  14     RN6HCW        59  16     0
QSO: 21157 PH 2011-10-29 1134 DL1MWG        59  14     SG0X          59  14     0
QSO: 21154 PH 2011-10-29 1135 DL1MWG        59  14     RN3F          59  16     0
QSO: 28232 PH 2011-10-29 1148 DL1MWG        59  14     UA4PAN        59  16     0
QSO: 28420 PH 2011-10-29 1207 DL1MWG        59  14     YM7KA         59  20     0
QSO: 28436 PH 2011-10-29 1210 DL1MWG        59  14     CT2IOV        59  14     0
QSO: 28480 PH 2011-10-29 1221 DL1MWG        59  14     CT1EOD        59  14     0
QSO: 28548 PH 2011-10-29 1230 DL1MWG        59  14     CN1C          59  33     0
QSO: 28610 PH 2011-10-29 1244 DL1MWG        59  14     CN2R          59  33     0
QSO: 28843 PH 2011-10-29 1257 DL1MWG        59  14     K1DG          59  5      0
QSO:  7180 PH 2011-10-29 1303 DL1MWG        59  14     9A25TA        59  15     0
QSO:  7174 PH 2011-10-29 1304 DL1MWG        59  14     DR1A          59  14     0
QSO:  7166 PH 2011-10-29 1307 DL1MWG        59  14     OT5A          59  14     0
QSO:  7154 PH 2011-10-29 1309 DL1MWG        59  14     DF0HQ         59  14     0
QSO:  7151 PH 2011-10-29 1313 DL1MWG        59  14     IQ8MD         59  15     0
QSO:  7145 PH 2011-10-29 1315 DL1MWG        59  14     IV3UTV        59  15     0
QSO:  7107 PH 2011-10-29 1329 DL1MWG        59  14     YT7A          59  15     0
QSO:  7052 PH 2011-10-29 1333 DL1MWG        59  14     YT1VP         59  15     0
QSO: 14116 PH 2011-10-29 1339 DL1MWG        59  14     TA2/DL7BC     59  20     0
QSO: 14119 PH 2011-10-29 1341 DL1MWG        59  14     TM2TJV        59  14     0
QSO: 14126 PH 2011-10-29 1344 DL1MWG        59  14     RN6HCW        59  16     0
QSO: 14135 PH 2011-10-29 1347 DL1MWG        59  14     EV1R          59  16     0
QSO: 14145 PH 2011-10-29 1350 DL1MWG        59  14     RS3DJ         59  16     0
QSO: 14158 PH 2011-10-29 1351 DL1MWG        59  14     MI0M          59  14     0
QSO: 14183 PH 2011-10-29 1357 DL1MWG        59  14     EC6AAE        59  14     0
QSO: 14252 PH 2011-10-29 1408 DL1MWG        59  14     UP2L          59  17     0
QSO: 14258 PH 2011-10-29 1409 DL1MWG        59  14     LY7A          59  15     0
QSO: 14268 PH 2011-10-29 1411 DL1MWG        59  14     A73A          59  21     0
QSO: 14279 PH 2011-10-29 1421 DL1MWG        59  14     YU0T          59  15     0
QSO: 14284 PH 2011-10-29 1422 DL1MWG        59  14     RT7D          59  16     0
QSO: 14286 PH 2011-10-29 1426 DL1MWG        59  14     EI2KN         59  14     0
QSO: 14314 PH 2011-10-29 1427 DL1MWG        59  14     YT8WW         59  15     0
QSO: 14331 PH 2011-10-29 1429 DL1MWG        59  14     YT1A          59  15     0
QSO: 14340 PH 2011-10-29 1431 DL1MWG        59  14     IT9LED        59  15     0
QSO: 14350 PH 2011-10-29 1432 DL1MWG        59  14     YQ8Q          59  20     0
QSO:  7057 PH 2011-10-29 2049 DL1MWG        59  14     UT7E          59  16     0
QSO:  7064 PH 2011-10-29 2052 DL1MWG        59  14     M7A           59  14     0
QSO:  7082 PH 2011-10-29 2101 DL1MWG        59  14     EU1A          59  16     0
QSO: 14347 PH 2011-10-30 0658 DL1MWG        59  14     EA3IN         59  14     0
QSO: 14349 PH 2011-10-30 0700 DL1MWG        59  14     LZ3FN         59  20     0
QSO: 14101 PH 2011-10-30 0702 DL1MWG        59  14     YM7KA         59  20     0
QSO: 14118 PH 2011-10-30 0708 DL1MWG        59  14     UA4W          59  16     0
QSO: 14123 PH 2011-10-30 0709 DL1MWG        59  14     EA3GHZ        59  14     0
QSO: 14132 PH 2011-10-30 0712 DL1MWG        59  14     UV5U          59  16     0
QSO: 14137 PH 2011-10-30 0717 DL1MWG        59  14     SV2FLQ        59  20     0
QSO: 14146 PH 2011-10-30 0720 DL1MWG        59  14     IT9ITS        59  15     0
QSO: 14152 PH 2011-10-30 0722 DL1MWG        59  14     UZ0U          59  16     0
QSO: 14160 PH 2011-10-30 0726 DL1MWG        59  14     RN3F          59  16     0
QSO: 14165 PH 2011-10-30 0729 DL1MWG        59  14     F8ARK         59  14     0
QSO: 14173 PH 2011-10-30 0730 DL1MWG        59  14     SN8R          59  15     0
QSO: 14196 PH 2011-10-30 0742 DL1MWG        59  14     ED1R          59  14     0
QSO: 14199 PH 2011-10-30 0743 DL1MWG        59  14     IF9A          59  15     0
QSO: 14216 PH 2011-10-30 0747 DL1MWG        59  14     RM5A          59  16     0
QSO: 14220 PH 2011-10-30 0747 DL1MWG        59  14     YT9M          59  15     0
QSO: 14222 PH 2011-10-30 0750 DL1MWG        59  14     EO0UD         59  16     0
QSO: 14225 PH 2011-10-30 0751 DL1MWG        59  14     EE7L          59  14     0
