START-OF-LOG: 3.0
CALLSIGN: W6QU
CLUB: Southern California Contest Club
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 336700
OPERATORS: W8QZA
NAME: Bill Parker
SOAPBOX: I'll bet there are no complaints about condx this year!!
SOAPBOX: Congratulations to my long time friend Phil, N0KE, who got WAZ this
SOAPBOX: year as SOAB from his station in western Colorado!
CREATED-BY: N1MM Logger V11.4.0
LOCATION: SDG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
QSO: 28571 RY 2011-10-29 0002 W6QU          599 03     CW5W          599 13
QSO: 28566 RY 2011-10-29 0002 W6QU          599 03     JH1EAQ        599 25
QSO: 28563 RY 2011-10-29 0003 W6QU          599 03     N4BCD         599 04
QSO: 28554 RY 2011-10-29 0005 W6QU          599 03     JA7YRR        599 25
QSO: 28550 RY 2011-10-29 0006 W6QU          599 03     JI2ZJS        599 25
QSO: 28547 RY 2011-10-29 0007 W6QU          599 03     JA6ZPR        599 25
QSO: 28525 RY 2011-10-29 0014 W6QU          599 03     VK4QH         599 30
QSO: 28511 RY 2011-10-29 0016 W6QU          599 03     CE4CT         599 12
QSO: 28500 RY 2011-10-29 0017 W6QU          599 03     JA2PAC        599 25
QSO: 28484 RY 2011-10-29 0019 W6QU          599 03     CF7FC         599 03
QSO: 28455 RY 2011-10-29 0024 W6QU          599 03     KH2L          599 27
QSO: 28424 RY 2011-10-29 0032 W6QU          599 03     JN1ILK        599 25
QSO: 28383 RY 2011-10-29 0037 W6QU          599 03     JA5FDJ        599 25
QSO: 28350 RY 2011-10-29 0044 W6QU          599 03     PY5KD         599 11
QSO: 28348 RY 2011-10-29 0045 W6QU          599 03     JM1LRQ        599 25
QSO: 28333 RY 2011-10-29 0046 W6QU          599 03     JF9JTS        599 25
QSO: 28330 RY 2011-10-29 0047 W6QU          599 03     KH6MB         599 31
QSO: 28328 RY 2011-10-29 0048 W6QU          599 03     JE2VLG        599 25
