START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: OH
CALLSIGN: K8AZ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 9403512
OPERATORS: K8AZ,K8BL,K8MR,K8NZ,ND8L,W5WZ,W8CAR,W8WTS,WT8C
CLUB: North Coast Contesters
NAME: Tom Lee
SOAPBOX: Please DISREGARD the following QSOs, all made in error by the
SOAPBOX: mult station:  31 (WP2Z); 52 (ST2UOK); 217 (CJ3A); 563 (WP2Z);
SOAPBOX: 3702 (V47JA).  3702 is also NOT a valid mult.
QSO: 21337 PH 2011-10-29 0001 K8AZ          59  04     VE6SQ         59  04     1
QSO: 21341 PH 2011-10-29 0001 K8AZ          59  04     RC0F          59  19     1
QSO: 14250 PH 2011-10-29 0004 K8AZ          59  04     CG7SZ         59  03     0
QSO: 14231 PH 2011-10-29 0007 K8AZ          59  04     HI3CC         58  08     0
QSO: 21237 PH 2011-10-29 0008 K8AZ          59  04     AL9A          59  01     1
QSO: 21316 PH 2011-10-29 0008 K8AZ          59  04     KH7X          59  31     1
QSO: 21333 PH 2011-10-29 0010 K8AZ          59  04     JR3NZC        59  25     1
QSO: 14295 PH 2011-10-29 0011 K8AZ          59  04     FP/KV1J       59  05     0
QSO: 21325 PH 2011-10-29 0013 K8AZ          59  04     AC2AI/KH2     59  27     1
QSO: 21255 PH 2011-10-29 0015 K8AZ          59  04     YE0X          59  28     1
QSO: 14281 PH 2011-10-29 0016 K8AZ          59  04     KL2SX         59  01     0
QSO: 21220 PH 2011-10-29 0017 K8AZ          59  04     BY4IO         59  24     1
QSO: 14281 PH 2011-10-29 0018 K8AZ          59  04     EA8ZS         59  33     0
QSO: 28495 PH 2011-10-29 0019 K8AZ          59  04     3D2A          59  32     0
QSO: 14272 PH 2011-10-29 0020 K8AZ          59  04     6Y9X          59  08     1
QSO: 14237 PH 2011-10-29 0020 K8AZ          59  04     JT5DX         59  23     1
QSO: 28513 PH 2011-10-29 0022 K8AZ          59  04     NH7A          59  31     0
QSO: 14266 PH 2011-10-29 0022 K8AZ          59  04     TU2T          59  35     1
QSO: 14214 PH 2011-10-29 0023 K8AZ          59  04     TF3CW         59  40     1
QSO: 14269 PH 2011-10-29 0024 K8AZ          59  04     9Y4D          59  09     1
QSO: 14308 PH 2011-10-29 0024 K8AZ          59  04     KP2B          59  08     1
QSO: 14174 PH 2011-10-29 0026 K8AZ          59  04     OA4SS         59  10     1
QSO: 14209 PH 2011-10-29 0028 K8AZ          59  04     D4C           59  35     1
QSO: 28392 PH 2011-10-29 0028 K8AZ          59  04     VK2AH         59  30     0
QSO: 14220 PH 2011-10-29 0029 K8AZ          59  04     CR2X          59  14     1
QSO: 14217 PH 2011-10-29 0029 K8AZ          59  04     C5A           59  35     1
QSO: 14247 PH 2011-10-29 0030 K8AZ          59  04     RK0UT         59  18     1
QSO: 14244 PH 2011-10-29 0031 K8AZ          59  04     RI1ANC        59  29     1
QSO: 14259 PH 2011-10-29 0032 K8AZ          59  04     NP4Z          59  08     1
QSO: 14296 PH 2011-10-29 0032 K8AZ          59  04     LP1H          59  13     1
QSO: 14202 PH 2011-10-29 0033 K8AZ          59  04     WP2Z          59  08     1
