START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.4.0
CONTEST: REF-CW
LOCATION: DX
CALLSIGN: SM3X
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 20223
OFFTIME: 2011-01-29 1030 2011-01-29 1225
OFFTIME: 2011-01-29 1718 2011-01-30 0816
OFFTIME: 2011-01-30 1012 2011-01-30 1321
OPERATORS: SM3CVM
CLUB: SK3JR
NAME: Lars Aronsson
SOAPBOX: 
RIG: TS-850, 3 ELE QUAD AND VERTICAL FÖR 7 MHz
QSO:  7000 CW 2011-01-29 0641 SM3X          599 001    F5VLY         599 47    
QSO:  7000 CW 2011-01-29 0647 SM3X          599 002    F5PAL         599 63    
QSO:  7000 CW 2011-01-29 0654 SM3X          599 003    F6KNB         599 33    
QSO:  7000 CW 2011-01-29 0657 SM3X          599 004    F8OOI         599 82    
QSO:  7000 CW 2011-01-29 0659 SM3X          599 005    F6KJO         599 41    
QSO:  7000 CW 2011-01-29 0700 SM3X          599 006    F5KCC/P       599 89    
QSO:  7000 CW 2011-01-29 0703 SM3X          599 007    F/FM5LD       599 55    
QSO:  7000 CW 2011-01-29 0724 SM3X          599 008    F5UL          599 74    
QSO:  7000 CW 2011-01-29 0727 SM3X          599 009    TM9FL         599 86    
QSO:  7000 CW 2011-01-29 0730 SM3X          599 010    TM3T          599 38    
QSO:  7000 CW 2011-01-29 0732 SM3X          599 011    F6CXJ         599 47    
QSO:  7000 CW 2011-01-29 0734 SM3X          599 012    F5DE/P        599 19    
QSO:  7000 CW 2011-01-29 0743 SM3X          599 013    F8FSC         599 39    
QSO:  7000 CW 2011-01-29 0749 SM3X          599 014    F5SDH         599 35    
QSO:  7000 CW 2011-01-29 0837 SM3X          599 015    F8AAN         599 33    
QSO:  7000 CW 2011-01-29 0846 SM3X          599 016    F2DX          599 24    
QSO: 14000 CW 2011-01-29 0855 SM3X          599 017    F6DEV/T9      599 09    
QSO: 14000 CW 2011-01-29 0857 SM3X          599 018    F5SYC         549 00    
QSO:  7000 CW 2011-01-29 0908 SM3X          599 019    F5KED/P       599 36    
QSO:  7000 CW 2011-01-29 0912 SM3X          599 020    F5VHY         599 47    
QSO:  7000 CW 2011-01-29 0915 SM3X          599 021    F6DYX         599 49    
QSO:  7000 CW 2011-01-29 0918 SM3X          599 022    F5KEQ         599 44    
QSO:  7000 CW 2011-01-29 0919 SM3X          599 023    F5MUX         599 29    
QSO:  7000 CW 2011-01-29 0920 SM3X          599 024    F6HJO/P       599 21    
QSO:  7000 CW 2011-01-29 0922 SM3X          599 025    F6ICX         599 77    
QSO:  7000 CW 2011-01-29 0926 SM3X          599 026    F6KRK         599 78    
QSO: 14000 CW 2011-01-29 0932 SM3X          599 027    F5KDK/P       599 83    
QSO: 14000 CW 2011-01-29 0933 SM3X          599 028    F8AEE         599 10    
QSO: 14000 CW 2011-01-29 0934 SM3X          599 029    F6BUL/P       599 73    
QSO: 14000 CW 2011-01-29 0935 SM3X          599 030    F6DEV         599 09    
QSO: 14000 CW 2011-01-29 0940 SM3X          599 031    F5RRS         599 74    
QSO: 14000 CW 2011-01-29 0941 SM3X          599 032    F5DE/P        599 19    
QSO: 14000 CW 2011-01-29 0942 SM3X          599 033    F8EMH         599 54    
QSO: 14000 CW 2011-01-29 0942 SM3X          599 034    F3CW          599 54    
QSO: 14000 CW 2011-01-29 0943 SM3X          599 035    F9KP          599 56    
QSO: 14000 CW 2011-01-29 0944 SM3X          599 036    F5PE          599 28    
QSO: 14000 CW 2011-01-29 0948 SM3X          599 037    F5IN          599 45    
QSO: 14000 CW 2011-01-29 0950 SM3X          599 038    F5KLP         599 49    
QSO: 14000 CW 2011-01-29 0952 SM3X          599 039    F6HHR         599 62    
QSO: 14000 CW 2011-01-29 0954 SM3X          599 040    F5KKD         599 93    
QSO: 14000 CW 2011-01-29 1002 SM3X          599 041    F5PTI         599 16    
QSO: 21000 CW 2011-01-29 1007 SM3X          599 042    F5UKL         599 64    
QSO: 14000 CW 2011-01-29 1019 SM3X          599 043    TM3T          599 38    
QSO: 14000 CW 2011-01-29 1021 SM3X          599 044    F6EDN         599 74    
QSO: 14000 CW 2011-01-29 1025 SM3X          599 045    F5OEV         599 85    
QSO: 14000 CW 2011-01-29 1027 SM3X          599 046    F5IAE         599 18    
QSO: 14000 CW 2011-01-29 1028 SM3X          599 047    F6GPT         599 33    
QSO: 14000 CW 2011-01-29 1029 SM3X          599 048    F6CEL         599 02    
QSO: 14000 CW 2011-01-29 1029 SM3X          599 049    F/FM5LD       599 55    
QSO: 14000 CW 2011-01-29 1030 SM3X          599 050    F6GIN         599 44    
QSO: 21000 CW 2011-01-29 1225 SM3X          599 051    F5PTI         599 16    
QSO: 14000 CW 2011-01-29 1231 SM3X          599 052    F6DYX         599 49    
QSO: 14000 CW 2011-01-29 1232 SM3X          599 053    F8EEQ         599 59    
QSO: 14000 CW 2011-01-29 1233 SM3X          599 054    F6KLO         599 19    
QSO: 14000 CW 2011-01-29 1235 SM3X          599 055    TM38I         599 38    
QSO: 14000 CW 2011-01-29 1245 SM3X          599 056    F2DX          599 24    
QSO: 14000 CW 2011-01-29 1246 SM3X          599 057    F6PTT         599 94    
QSO: 14000 CW 2011-01-29 1247 SM3X          599 058    F5UTN         599 27    
QSO: 14000 CW 2011-01-29 1248 SM3X          599 059    F5KIN         599 63    
QSO: 14000 CW 2011-01-29 1249 SM3X          599 060    F5VBU         599 66    
QSO: 14000 CW 2011-01-29 1250 SM3X          599 061    F5XX          599 81    
QSO: 14000 CW 2011-01-29 1255 SM3X          599 062    F5VLY         599 47    
QSO: 14000 CW 2011-01-29 1357 SM3X          599 063    TM2B          599 03    
QSO: 14000 CW 2011-01-29 1359 SM3X          599 064    F6KMB         599 59    
QSO: 14000 CW 2011-01-29 1359 SM3X          599 065    F6CXJ         599 47    
QSO: 14000 CW 2011-01-29 1402 SM3X          599 066    F6KKH         599 11    
QSO: 14000 CW 2011-01-29 1402 SM3X          599 067    F5VHY         599 47    
QSO: 14000 CW 2011-01-29 1403 SM3X          599 068    F6KMX         599 94    
QSO: 14000 CW 2011-01-29 1404 SM3X          599 069    F6ENO         599 51    
QSO: 14000 CW 2011-01-29 1406 SM3X          599 070    F6KJX         599 41    
QSO: 14000 CW 2011-01-29 1407 SM3X          599 071    F5NKX         599 50    
QSO: 14000 CW 2011-01-29 1413 SM3X          599 072    F5SDH         599 35    
QSO: 14000 CW 2011-01-29 1415 SM3X          599 073    F6KNB         599 33    
QSO: 14000 CW 2011-01-29 1417 SM3X          599 074    F8BDQ         599 18    
QSO: 14000 CW 2011-01-29 1418 SM3X          599 075    F6HDX         599 80    
QSO: 14000 CW 2011-01-29 1420 SM3X          599 076    F6AUS         599 79    
QSO: 14000 CW 2011-01-29 1421 SM3X          599 077    F6FDR         599 84    
QSO: 14000 CW 2011-01-29 1422 SM3X          599 078    F5UKL         599 64    
QSO: 21000 CW 2011-01-29 1519 SM3X          599 079    F5KDK/P       599 83    
QSO: 21000 CW 2011-01-29 1522 SM3X          599 080    F6CXJ         599 47    
QSO: 14000 CW 2011-01-29 1525 SM3X          599 081    F8DZY         599 47    
QSO: 14000 CW 2011-01-29 1526 SM3X          599 082    F8BUO         599 68    
QSO: 14000 CW 2011-01-29 1527 SM3X          599 083    F5ICC         599 24    
QSO: 14000 CW 2011-01-29 1528 SM3X          599 084    F5ODA         599 11    
QSO: 14000 CW 2011-01-29 1529 SM3X          599 085    F8DYD         599 86    
QSO: 14000 CW 2011-01-29 1535 SM3X          599 086    F6KUQ         599 33    
QSO: 14000 CW 2011-01-29 1537 SM3X          599 087    F5KMB         599 60    
QSO: 14000 CW 2011-01-29 1538 SM3X          599 088    F5OHM         599 36    
QSO: 14000 CW 2011-01-29 1539 SM3X          599 089    F5OTZ         599 83    
QSO: 14000 CW 2011-01-29 1541 SM3X          599 090    F6KBF         599 78    
QSO: 14000 CW 2011-01-29 1542 SM3X          599 091    F6KED         599 13    
QSO: 14000 CW 2011-01-29 1547 SM3X          599 092    F5KEQ         599 44    
QSO: 14000 CW 2011-01-29 1615 SM3X          599 093    F5RD          599 03    
QSO: 14000 CW 2011-01-29 1617 SM3X          599 094    F5NWG         599 11    
QSO: 14000 CW 2011-01-29 1620 SM3X          599 095    F5GFA         599 47    
QSO: 14000 CW 2011-01-29 1623 SM3X          599 096    F6IPQ         599 47    
QSO: 14000 CW 2011-01-29 1630 SM3X          599 097    F6KEH         599 34    
