START-OF-LOG: 2.0
ARRL-SECTION: QC
CALLSIGN: VE2EZD
CLUB: Contest Group du Quebec
CONTEST: REF-CW
REF-SECTION: DX
CATEGORY: SINGLE-OP ALL HIGH CW
CLAIMED-SCORE: 1584
OPERATORS: VE2EZD
NAME: Louis Carrier
CREATED-BY: N1MM Logger V11.1.4
SOAPBOX: Merci pour l'organisation de ce concours
SOAPBOX: C'est un plaisir de communiquer avec des stations françaises.
SOAPBOX: Station: FT-950 + AL-811H + AT2K + Winkeyer USB
SOAPBOX: Antennes: boucle delta pleine onde (40m) sur 20m et 40m
QSO: 14030 CW 2011-01-29 1606 VE2EZD        599 0002   F6PTT         599 94      
QSO: 14027 CW 2011-01-29 1609 VE2EZD        599 0001   F6KJX         599 41      
QSO: 14036 CW 2011-01-29 1616 VE2EZD        599 0003   F/FM5LD       599 55      
QSO: 14013 CW 2011-01-29 1620 VE2EZD        599 0004   F2DX          599 24      
QSO: 14024 CW 2011-01-29 1622 VE2EZD        599 0005   F5KMB         599 60      
QSO: 14030 CW 2011-01-29 1627 VE2EZD        599 0006   F6KEH         599 34      
QSO: 14031 CW 2011-01-29 1628 VE2EZD        599 0007   F5IN          599 45      
QSO: 14034 CW 2011-01-29 1631 VE2EZD        599 0008   F6AUS         599 79      
QSO: 14042 CW 2011-01-29 1633 VE2EZD        599 0009   F9KP          599 56      
QSO: 14012 CW 2011-01-29 1638 VE2EZD        599 0010   F6CXJ         599 47      
QSO: 14021 CW 2011-01-29 1643 VE2EZD        599 0011   F5MPN         599 08      
QSO: 14026 CW 2011-01-29 1644 VE2EZD        599 0012   F5OTZ         599 83      
QSO: 14032 CW 2011-01-29 1647 VE2EZD        599 0013   F6IPQ         599 47      
QSO: 14032 CW 2011-01-29 1648 VE2EZD        599 0014   F6KNB         599 33      
QSO: 14036 CW 2011-01-29 1651 VE2EZD        599 0015   F5VHY         599 47      
QSO: 14010 CW 2011-01-29 1805 VE2EZD        599 0016   FM5WD         599 FM      
QSO: 14028 CW 2011-01-29 1808 VE2EZD        599 0017   TM2B          599 03      
QSO: 14020 CW 2011-01-29 1813 VE2EZD        599 0018   FG1PP         599 FG      
QSO: 14018 CW 2011-01-29 1815 VE2EZD        599 0019   TM9FL         599 86      
QSO: 14012 CW 2011-01-29 1816 VE2EZD        599 0020   F6KLO         599 19      
QSO: 14011 CW 2011-01-29 1820 VE2EZD        599 0021   FG8AR         599 FG      
QSO:  7022 CW 2011-01-29 1946 VE2EZD        599 0022   F5KKD         599 93      
QSO:  7012 CW 2011-01-29 1948 VE2EZD        599 0023   F5KCC         599 89      
QSO: 14035 CW 2011-01-30 1516 VE2EZD        599 0024   F8DZY         599 47      
QSO: 14040 CW 2011-01-30 1522 VE2EZD        599 0025   F6HEO/P       599 58      
QSO: 14022 CW 2011-01-30 1603 VE2EZD        599 0026   F5UKL         599 64      
END-OF-LOG:

