START-OF-LOG:  2.0
CREATED-BY:    SD V13.28 and SDCHECK V13.28
CONTEST:       REF-CW
REF-SECTION:   DX
CALLSIGN:      UA1AUW
CATEGORY:      SINGLE-OP ALL HIGH 
CLAIMED-SCORE: 53460
NAME:          Mikhail Shishmolin
OPERATORS:     UA1AUW
X-RADIOS:      TS-570DG+AL-811H
X-ANTENNAS:    HUSTLER 6BTV
X-SUMMARY: 
X-SUMMARY:                     160m  80m  40m  20m  15m  10m  Total
X-SUMMARY: 
X-SUMMARY:         Valid QSOs:    0    0   38   67    5    0   110
X-SUMMARY:              Mults:    0    0   28   48    5    0    81
X-SUMMARY:             Points:    0    0  228  402   30    0   660
X-SUMMARY: 
X-SUMMARY: 
X-SUMMARY:     I declare that this station was operated strictly in
X-SUMMARY:     accordance with the rules and spirit of the contest,
X-SUMMARY:     and within the conditions of my licence.  My report
X-SUMMARY:     is correct and true to the best of my knowledge.
X-SUMMARY:     I agree that the decision of the contest organisers
X-SUMMARY:     shall be final in all cases of dispute.  I agree to
X-SUMMARY:     this data being stored, analysed and cross-checked
X-SUMMARY:     by computer.
X-SUMMARY: 
X-SUMMARY: 
QSO: 14000 CW 2011-01-29 0728 UA1AUW        599  001   F5IN          599     45                
QSO: 14000 CW 2011-01-29 0815 UA1AUW        599  000   F5KED/P       599     36                
QSO: 14000 CW 2011-01-29 0816 UA1AUW        599  003   F3CW          599     54                
QSO: 14000 CW 2011-01-29 0914 UA1AUW        599  004   F2GL          599     83                
QSO: 14000 CW 2011-01-29 0919 UA1AUW        599  005   F6DEV         599     09                
QSO:  7000 CW 2011-01-29 1724 UA1AUW        599  006   F6AUS         599     79                
QSO:  7000 CW 2011-01-29 1725 UA1AUW        599  007   F6BUL/P       599     73                
QSO:  7000 CW 2011-01-29 1727 UA1AUW        599  008   F5XX          599     81                
QSO:  7000 CW 2011-01-29 1730 UA1AUW        599  009   F5KKD         599     93                
QSO:  7000 CW 2011-01-29 1731 UA1AUW        599  010   TM3T          599     38                
QSO:  7000 CW 2011-01-29 1732 UA1AUW        599  011   F5VHY         599     47                
QSO:  7000 CW 2011-01-29 1733 UA1AUW        599  012   F/FM5LD       599     55                
QSO:  7000 CW 2011-01-29 1737 UA1AUW        599  013   F8KHO         599     51                
QSO:  7000 CW 2011-01-29 1739 UA1AUW        599  014   F5UB          599     62                
QSO:  7000 CW 2011-01-29 1823 UA1AUW        599  015   F5OZC/P       599     49                
QSO:  7000 CW 2011-01-29 1828 UA1AUW        599  016   F6KNB         599     33                
QSO:  7000 CW 2011-01-29 1829 UA1AUW        599  017   F5VJC         599     50                
QSO:  7000 CW 2011-01-29 1832 UA1AUW        599  018   F6KLO         599     19                
QSO:  7000 CW 2011-01-29 1947 UA1AUW        599  019   F6CXJ         599     47                
QSO:  7000 CW 2011-01-29 2227 UA1AUW        599  020   F6HJO/P       599     21                
QSO:  7000 CW 2011-01-29 2228 UA1AUW        599  021   F6KUP         599     55                
QSO:  7000 CW 2011-01-29 2229 UA1AUW        599  022   F5HVY         599     47                
QSO:  7000 CW 2011-01-29 2259 UA1AUW        599  023   F5MFI         599     45                
QSO:  7000 CW 2011-01-30 0723 UA1AUW        599  024   F6KPQ/P       599     56                
QSO:  7000 CW 2011-01-30 0724 UA1AUW        599  025   F8AAN         599     33                
QSO:  7000 CW 2011-01-30 0724 UA1AUW        599  026   F2DX          599     24                
QSO:  7000 CW 2011-01-30 0728 UA1AUW        599  027   F5KMB         599     60                
QSO:  7000 CW 2011-01-30 0729 UA1AUW        599  028   F5UTN         599     27                
QSO:  7000 CW 2011-01-30 0731 UA1AUW        599  029   F5KIN         599     63                
QSO:  7000 CW 2011-01-30 0733 UA1AUW        599  030   F5JLQ         599     62                
QSO:  7000 CW 2011-01-30 0736 UA1AUW        599  031   F6ACV         599     78                
QSO:  7000 CW 2011-01-30 0736 UA1AUW        599  032   F3CW          599     54                
QSO:  7000 CW 2011-01-30 0740 UA1AUW        599  033   F8BUO         599     68                
QSO:  7000 CW 2011-01-30 0743 UA1AUW        599  034   F5OTZ         599     83                
QSO:  7000 CW 2011-01-30 0747 UA1AUW        599  035   F5KLP         599     49                
QSO:  7000 CW 2011-01-30 0751 UA1AUW        599  036   F8EMH         599     54                
QSO:  7000 CW 2011-01-30 0825 UA1AUW        599  037   F6HDI         599     57                
QSO:  7000 CW 2011-01-30 0827 UA1AUW        599  038   F6ICX         599     77                
QSO:  7000 CW 2011-01-30 0828 UA1AUW        599  039   F6FTB         599     21                
QSO: 21000 CW 2011-01-30 0836 UA1AUW        599  040   F5KDK/P       599     83                
QSO: 14000 CW 2011-01-30 0838 UA1AUW        599  041   F5KMB         599     60                
QSO: 14000 CW 2011-01-30 0840 UA1AUW        599  042   F6CEL         599     02                
QSO: 14000 CW 2011-01-30 0840 UA1AUW        599  043   F5PTI         599     16                
QSO: 14000 CW 2011-01-30 0842 UA1AUW        599  044   F6KMX         599     94                
QSO: 14000 CW 2011-01-30 0923 UA1AUW        599  045   F2DX          599     24                
QSO: 14000 CW 2011-01-30 0925 UA1AUW        599  046   F8EMH         599     54                
QSO: 14000 CW 2011-01-30 0928 UA1AUW        599  047   F5OHM         599     36                
QSO: 14000 CW 2011-01-30 0937 UA1AUW        599  048   F6KPQ/P       599     56                
QSO: 14000 CW 2011-01-30 0943 UA1AUW        599  049   F5ODA         599     11                
QSO: 14000 CW 2011-01-30 0946 UA1AUW        599  050   TM38I         599     38                
QSO: 21000 CW 2011-01-30 0947 UA1AUW        599  051   F6KNB         599     33                
QSO: 21000 CW 2011-01-30 0948 UA1AUW        599  052   F6KLO         599     19                
QSO: 21000 CW 2011-01-30 0955 UA1AUW        599  053   F5ODA         599     11                
QSO: 14000 CW 2011-01-30 1001 UA1AUW        599  054   F6KSV         599     29                
QSO: 14000 CW 2011-01-30 1004 UA1AUW        599  055   F5NTZ         599     77                
QSO: 14000 CW 2011-01-30 1004 UA1AUW        599  056   F5KLP         599     49                
QSO: 14000 CW 2011-01-30 1006 UA1AUW        599  057   F5AIB         599     54                
QSO: 14000 CW 2011-01-30 1008 UA1AUW        599  058   F5IQJ         599     05                
QSO: 14000 CW 2011-01-30 1010 UA1AUW        599  059   F5KLE         599     30                
QSO: 14000 CW 2011-01-30 1012 UA1AUW        599  060   F6KRS         599     02                
QSO: 14000 CW 2011-01-30 1014 UA1AUW        599  061   F5LKK         599     59                
QSO: 14000 CW 2011-01-30 1015 UA1AUW        599  062   F6DEO         599     95                
QSO: 14000 CW 2011-01-30 1016 UA1AUW        599  063   F6CZQ         599     73                
QSO: 14000 CW 2011-01-30 1018 UA1AUW        599  064   F6EDN         599     74                
QSO: 14000 CW 2011-01-30 1021 UA1AUW        599  065   F6DYX         599     49                
QSO: 14000 CW 2011-01-30 1022 UA1AUW        599  066   F5NKX         599     50                
QSO: 14000 CW 2011-01-30 1027 UA1AUW        599  067   F5KDC         599     63                
QSO: 14000 CW 2011-01-30 1030 UA1AUW        599  068   F/FM5LD       599     55                
QSO: 14000 CW 2011-01-30 1031 UA1AUW        599  069   F5DE/P        599     19                
QSO: 14000 CW 2011-01-30 1037 UA1AUW        599  070   F6CXV         599     69                
QSO: 14000 CW 2011-01-30 1039 UA1AUW        599  071   F6EVG         599     08                
QSO: 14000 CW 2011-01-30 1042 UA1AUW        599  072   F6ABI         599     50                
QSO: 21000 CW 2011-01-30 1044 UA1AUW        599  073   F5VBU         599     66                
