START-OF-LOG: 2.0
CONTEST: REF-CW
REF-SECTION: DX
CALLSIGN: M0CEF
CATEGORY: SINGLE-OP ALL QRP
OPERATORS: M0CEF
NAME: J-M Hertzsch
SOAPBOX: Enfin quelques QSO sur 20 m - j'esp̬re qu'il y aura des meilleures
SOAPBOX: conditions l'ann̩e prochaine. Rig 5 W, Ant 22 m wire.
QSO: 14043 CW 2011-01-29 1324 M0CEF         599  001     F8KCF         599 74  
QSO: 14029 CW 2011-01-29 1335 M0CEF         599  002     F5XX          599 81  
QSO: 14035 CW 2011-01-29 1351 M0CEF         559  003     F5VBU         599 66  
QSO: 14029 CW 2011-01-29 1428 M0CEF         599  004     F5KDK/p       599 83  
QSO:  7032 CW 2011-01-29 1541 M0CEF         599  005     F8EBA         599 48  
QSO:  7014 CW 2011-01-29 1553 M0CEF         599  006     F5XX          599 81
QSO:  7014 CW 2011-01-29 1626 M0CEF         599  007     F6CRP         599 17
QSO:  7015 CW 2011-01-29 1628 M0CEF         599  008     F5SDH         599 35
QSO:  7029 CW 2011-01-29 1636 M0CEF         599  009     F6BGH         599 57
QSO:  7025 CW 2011-01-29 1640 M0CEF         599  010     F5OHM         599 36
QSO:  7023 CW 2011-01-29 1642 M0CEF         599  011     F5RRS         599 74
QSO:  7016 CW 2011-01-29 1656 M0CEF         599  012     F5OWL         599 83
QSO:  3530 CW 2011-01-29 1939 M0CEF         599  013     F/FM5LD       599 55
QSO:  3531 CW 2011-01-29 2046 M0CEF         599  014     F5KIN         599 63
QSO:  3542 CW 2011-01-29 2051 M0CEF         599  015     F5VLY         599 47
QSO:  3540 CW 2011-01-29 2325 M0CEF         599  016     TM9FL         599 86
QSO:  3514 CW 2011-01-29 2347 M0CEF         599  017     F5PTI         599 16
QSO:  3516 CW 2011-01-29 2350 M0CEF         599  018     F5KKD         599 93
QSO:  3513 CW 2011-01-30 0723 M0CEF         599  019     F6DEO         599 95
QSO:  3513 CW 2011-01-30 0727 M0CEF         599  020     F6IGS         599 33
QSO:  3513 CW 2011-01-30 0729 M0CEF         599  021     F5NQL         599 89
QSO:  3513 CW 2011-01-30 0734 M0CEF         599  022     F5VJC         599 50
QSO:  7032 CW 2011-01-30 1559 M0CEF         599  023     F6CXJ         599 47
QSO:  7033 CW 2011-01-30 1601 M0CEF         599  024     F6KLO         599 19
QSO:  7031 CW 2011-01-30 1603 M0CEF         599  025     F5KKD         599 93
QSO:  7026 CW 2011-01-30 1609 M0CEF         599  026     F6KGI         599 11
QSO:  7013 CW 2011-01-30 1618 M0CEF         599  027     F5UTN         599 27
QSO:  7021 CW 2011-01-30 1625 M0CEF         599  028     F6BUL/p       599 73
QSO:  7014 CW 2011-01-30 1729 M0CEF         599  029     F5NHJ         599 32
QSO:  7016 CW 2011-01-30 1749 M0CEF         599  030     F6KPQ/p       599 56
END-OF-LOG:
