START-OF-LOG: 2.0
REF-SECTION: FM
CALLSIGN: FM5WD
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE:  806820
CONTEST: REF-CW
CREATED-BY: WINREF-HF V7.2.0
NAME: PRUDENT LUCIEN
OFFTIME: 2011-01-30 1201 2011-01-30 1800
OFFTIME: 2011-01-29 0802 2011-01-29 1323
OFFTIME: 2011-01-30 0621 2011-01-30 1105
RIG: KENWOOD TS 940S
RIG: KENWOOD TS 940S
RIG: KLM KT36 XA - 3 ÉLÉMENTS 40M - LÉVY POUR LE 80M
RIG: 1000
SOAPBOX: PROPAG SUR LES BANDES BASSES MAIS BEAUCOUP DE STATIQUES!
QSO: 3500  CW 2011-01-29 0716 FM5WD         599 FM     F5KMB         599 60   
QSO: 3500  CW 2011-01-29 0720 FM5WD         599 FM     F6HJO/P       599 21   
QSO: 3500  CW 2011-01-29 0723 FM5WD         599 FM     F5RPB         599 26   
QSO: 3500  CW 2011-01-29 0727 FM5WD         599 FM     F2DX          599 24   
QSO: 3500  CW 2011-01-29 0732 FM5WD         599 FM     F5KKD         599 93   
QSO: 3500  CW 2011-01-29 0735 FM5WD         599 FM     F5RRS         599 74   
QSO: 7000  CW 2011-01-29 0742 FM5WD         599 FM     YL5M          599 042  
QSO: 7000  CW 2011-01-29 0743 FM5WD         599 FM     YU5R          599 006  
QSO: 7000  CW 2011-01-29 0743 FM5WD         599 FM     AA2TH         599 001  
QSO: 7000  CW 2011-01-29 0744 FM5WD         599 FM     WH6R          599 001  
QSO: 7000  CW 2011-01-29 0745 FM5WD         599 FM     UR7GO         599 030  
QSO: 7000  CW 2011-01-29 0745 FM5WD         599 FM     W6SJ          599 001  
QSO: 7000  CW 2011-01-29 0747 FM5WD         599 FM     K7NA          599 001  
QSO: 7000  CW 2011-01-29 0748 FM5WD         599 FM     F5PAL         599 63   
QSO: 7000  CW 2011-01-29 0748 FM5WD         599 FM     F9OH          599 95   
QSO: 7000  CW 2011-01-29 0750 FM5WD         599 FM     LA2HFA        599 013  
QSO: 7000  CW 2011-01-29 0751 FM5WD         599 FM     W7MBR         599 020  
QSO: 7000  CW 2011-01-29 0751 FM5WD         599 FM     9A4J          599 012  
QSO: 7000  CW 2011-01-29 0753 FM5WD         599 FM     S58MU         599 019  
QSO: 7000  CW 2011-01-29 0753 FM5WD         599 FM     F5UL          599 74   
QSO: 7000  CW 2011-01-29 0756 FM5WD         599 FM     OM3JA         599 019  
QSO: 7000  CW 2011-01-29 0758 FM5WD         599 FM     F5ABV         599 02   
QSO: 7000  CW 2011-01-29 0759 FM5WD         599 FM     G4KFT         599 004  
QSO: 7000  CW 2011-01-29 0802 FM5WD         599 FM     OL1B          599 001  
QSO: 21000 CW 2011-01-29 1323 FM5WD         599 FM     F5KLE         599 30   
QSO: 21000 CW 2011-01-29 1324 FM5WD         599 FM     LZ4RR         599 185  
QSO: 21000 CW 2011-01-29 1324 FM5WD         599 FM     F6KNB         599 33   
QSO: 21000 CW 2011-01-29 1325 FM5WD         599 FM     F8DRE         599 28   
QSO: 21000 CW 2011-01-29 1326 FM5WD         599 FM     OK2QX         599 057  
QSO: 21000 CW 2011-01-29 1327 FM5WD         599 FM     F6ICX         599 77   
QSO: 21000 CW 2011-01-29 1544 FM5WD         599 FM     ON4AMC        599 001  
QSO: 21000 CW 2011-01-29 1545 FM5WD         599 FM     F6GVC         599 47   
QSO: 21000 CW 2011-01-29 1546 FM5WD         599 FM     F5OEV         599 85   
QSO: 21000 CW 2011-01-29 1546 FM5WD         599 FM     N8II          599 008  
QSO: 21000 CW 2011-01-29 1547 FM5WD         599 FM     F8KHO         599 51   
QSO: 21000 CW 2011-01-29 1548 FM5WD         599 FM     VE9HF         599 047  
QSO: 21000 CW 2011-01-29 1549 FM5WD         599 FM     F5RRS         599 74   
QSO: 21000 CW 2011-01-29 1549 FM5WD         599 FM     TM2B          599 03   
QSO: 21000 CW 2011-01-29 1550 FM5WD         599 FM     K4BAI         599 048  
QSO: 21000 CW 2011-01-29 1550 FM5WD         599 FM     F6KRK         599 78   
QSO: 21000 CW 2011-01-29 1551 FM5WD         599 FM     F5KDK/P       599 83   
QSO: 21000 CW 2011-01-29 1551 FM5WD         599 FM     F8DZY         599 47   
QSO: 21000 CW 2011-01-29 1552 FM5WD         599 FM     F8AAB         599 84   
QSO: 21000 CW 2011-01-29 1552 FM5WD         599 FM     F6AUS         599 79   
QSO: 21000 CW 2011-01-29 1553 FM5WD         599 FM     F5PJQ         599 79   
QSO: 21000 CW 2011-01-29 1553 FM5WD         599 FM     F8DYD         599 86   
QSO: 21000 CW 2011-01-29 1554 FM5WD         599 FM     F2FZ          599 47   
QSO: 21000 CW 2011-01-29 1555 FM5WD         599 FM     F5CQ          599 35   
QSO: 21000 CW 2011-01-29 1555 FM5WD         599 FM     EI4II         599 063  
QSO: 21000 CW 2011-01-29 1555 FM5WD         599 FM     K4WY          599 009  
QSO: 21000 CW 2011-01-29 1557 FM5WD         599 FM     F6FNA         599 77   
QSO: 21000 CW 2011-01-29 1558 FM5WD         599 FM     F6DRA         599 81   
QSO: 21000 CW 2011-01-29 1559 FM5WD         599 FM     F6GPT         599 33   
QSO: 21000 CW 2011-01-29 1559 FM5WD         599 FM     UR7GO         599 186  
QSO: 21000 CW 2011-01-29 1600 FM5WD         599 FM     F/FM5LD       599 55   
QSO: 21000 CW 2011-01-29 1601 FM5WD         599 FM     F1MCO         599 19   
QSO: 21000 CW 2011-01-29 1601 FM5WD         599 FM     K3TN          599 001  
QSO: 21000 CW 2011-01-29 1602 FM5WD         599 FM     G5LP          599 141  
QSO: 21000 CW 2011-01-29 1602 FM5WD         599 FM     W6XR          599 001  
QSO: 21000 CW 2011-01-29 1603 FM5WD         599 FM     F5RAB/P       599 11   
QSO: 21000 CW 2011-01-29 1603 FM5WD         599 FM     DL1HUH        599 001  
QSO: 21000 CW 2011-01-29 1604 FM5WD         599 FM     F5VHY         599 47   
QSO: 21000 CW 2011-01-29 1604 FM5WD         599 FM     F6KBF         599 78   
