START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: R3FC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R3FC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2018.
QSO: 14021 CW 2018-08-04 1425 R3FC          599 80 M7K           599 14
QSO: 14014 CW 2018-08-04 1432 R3FC          599 80 M3I           599 90
QSO: 14014 CW 2018-08-04 1435 R3FC          599 80 IT9CHU        599 85
QSO: 14018 CW 2018-08-04 1437 R3FC          599 80 IK2AOO        599 82
QSO: 14018 CW 2018-08-04 1439 R3FC          599 80 R7AW          599 80
QSO: 14020 CW 2018-08-04 1442 R3FC          599 80 UW1M          599 72
QSO: 14021 CW 2018-08-04 1445 R3FC          599 80 SM9A          599 90
QSO: 14022 CW 2018-08-04 1449 R3FC          599 80 9A3VM         599 69
QSO: 14022 CW 2018-08-04 1450 R3FC          599 80 YO8TTT        599 06
QSO: 14026 CW 2018-08-04 1452 R3FC          599 80 HA3LN         599 92
QSO: 14026 CW 2018-08-04 1455 R3FC          599 80 HB9ARF        599 71
QSO: 14000 CW 2018-08-04 1456 R3FC          599 80 PA3AAV        599 77
QSO: 14028 CW 2018-08-04 1456 R3FC          599 80 OK2SG         599 76
QSO: 14029 CW 2018-08-04 1459 R3FC          599 80 SN7Q          599 72
QSO: 14029 CW 2018-08-04 1500 R3FC          599 80 DR7T          599 76
QSO: 14029 CW 2018-08-04 1502 R3FC          599 80 LZ9W          599 89
QSO: 14031 CW 2018-08-04 1504 R3FC          599 80 HG8C          599 76
QSO: 14000 CW 2018-08-04 1505 R3FC          599 80 Z35Y          599 75
QSO: 14033 CW 2018-08-04 1505 R3FC          599 80 M0IHT         599 81
QSO: 14033 CW 2018-08-04 1506 R3FC          599 80 HA3OU         599 83
QSO: 14035 CW 2018-08-04 1510 R3FC          599 80 9A1AA         599 77
QSO: 14035 CW 2018-08-04 1513 R3FC          599 80 S53MM         599 92
QSO: 14036 CW 2018-08-04 1513 R3FC          599 80 IW3FVZ        599 89
QSO: 14037 CW 2018-08-04 1513 R3FC          599 80 S53A          599 69
QSO: 14038 CW 2018-08-04 1515 R3FC          599 80 YU1ANO        599 74
QSO: 14040 CW 2018-08-04 1516 R3FC          599 80 IZ3SQW        599 10
QSO: 14000 CW 2018-08-04 1517 R3FC          599 80 IZ5ICH        599 06
QSO: 14043 CW 2018-08-04 1518 R3FC          599 80 IT9LKX        599 07
QSO: 14043 CW 2018-08-04 1519 R3FC          599 80 IT9LKX        599 07
QSO: 14043 CW 2018-08-04 1521 R3FC          599 80 IQ3MF         599 78
QSO: 14000 CW 2018-08-04 1522 R3FC          599 XX IB2RT         599 82
QSO: 14000 CW 2018-08-04 1525 R3FC          599 80 LY2KA         599 74
QSO: 14046 CW 2018-08-04 1527 R3FC          599 80 LY5O          599 73
QSO: 14047 CW 2018-08-04 1527 R3FC          599 80 LY2TS         599 75
QSO: 14000 CW 2018-08-04 1529 R3FC          599 80 SF6W          599 68
QSO: 14047 CW 2018-08-04 1530 R3FC          599 80 HG6N          599 72
QSO: 14049 CW 2018-08-04 1533 R3FC          599 80 DL4ME         599 58
QSO: 14051 CW 2018-08-04 1535 R3FC          599 80 I2AZ          599 57
QSO: 14051 CW 2018-08-04 1536 R3FC          599 80 LY2XW         599 02
QSO: 14054 CW 2018-08-04 1537 R3FC          599 80 F6HJO         599 61
QSO: 14056 CW 2018-08-04 1537 R3FC          599 80 LA8OM         599 69
QSO: 14057 CW 2018-08-04 1538 R3FC          599 80 RN4HAB        599 05
QSO: 14058 CW 2018-08-04 1539 R3FC          599 80 F6BEE         599 70
QSO: 14000 CW 2018-08-04 1550 R3FC          599 80 LY1FK         599 02
QSO: 14005 CW 2018-08-04 1551 R3FC          599 70 LY2J          599 84
QSO: 14006 CW 2018-08-04 1553 R3FC          599 80 IQ2CJ         599 87
QSO: 14008 CW 2018-08-04 1556 R3FC          599 80 LZ1GU         599 59
QSO: 14011 CW 2018-08-04 1600 R3FC          599 80 IQ1RY         599 07
QSO: 14012 CW 2018-08-04 1608 R3FC          599 80 OH2PM         599 59
QSO: 14012 CW 2018-08-04 1609 R3FC          599 80 DL5YM         599 71
QSO: 14000 CW 2018-08-04 1610 R3FC          599 80 UY5VA         599 68
QSO: 14015 CW 2018-08-04 1611 R3FC          599 80 RU4LM         599 88
QSO: 14016 CW 2018-08-04 1612 R3FC          599 80 YU5R          599 07
QSO: 14019 CW 2018-08-04 1617 R3FC          599 80 HB9DHG        599 85
QSO: 14000 CW 2018-08-04 1618 R3FC          599 80 LY2RJ         599 84
QSO: 14021 CW 2018-08-04 1618 R3FC          599 80 OP4K          599 82
QSO: 14023 CW 2018-08-04 1619 R3FC          599 80 LY5T          599 89
QSO: 14025 CW 2018-08-04 1621 R3FC          599 80 EA5FID        599 92
QSO: 14026 CW 2018-08-04 1622 R3FC          599 80 LY6A          599 77
QSO: 14027 CW 2018-08-04 1624 R3FC          599 80 LY3BN         599 84
QSO: 14028 CW 2018-08-04 1625 R3FC          599 80 OG60F         599 88
QSO: 14000 CW 2018-08-04 1628 R3FC          599 80 LY2NK         599 59
QSO: 14029 CW 2018-08-04 1628 R3FC          599 80 YL7X          599 82
QSO: 14031 CW 2018-08-04 1630 R3FC          599 80 DA0T          599 97
QSO: 14032 CW 2018-08-04 1631 R3FC          599 80 SQ9S          599 03
QSO: 14035 CW 2018-08-04 1633 R3FC          599 80 S50A          599 63
QSO: 14039 CW 2018-08-04 1634 R3FC          599 80 EW8OM         599 69
QSO: 14041 CW 2018-08-04 1638 R3FC          599 80 LY2AJ         599 12
QSO: 14042 CW 2018-08-04 1638 R3FC          599 80 RG4A          599 67
QSO: 14047 CW 2018-08-04 1639 R3FC          599 80 MW5R          599 88
QSO: 14058 CW 2018-08-04 1641 R3FC          599 80 UT8IM         599 68
QSO: 14000 CW 2018-08-04 1646 R3FC          599 80 EA5ITT        599 58
QSO: 14008 CW 2018-08-04 1648 R3FC          599 80 OR3A          599 93
QSO: 14010 CW 2018-08-04 1654 R3FC          599 80 LB4UH         599 76
QSO: 14011 CW 2018-08-04 1655 R3FC          599 80 3Z0X          599 83
QSO: 14012 CW 2018-08-04 1656 R3FC          599 80 RT4P          599 98
QSO: 14016 CW 2018-08-04 1657 R3FC          599 80 IZ4OSH        599 10
QSO: 14016 CW 2018-08-04 1702 R3FC          599 80 ES1BH         599 83
QSO: 14018 CW 2018-08-04 1705 R3FC          599 80 DK3QZ         599 99
QSO: 14135 CW 2018-08-04 1707 R3FC          599 80 YL3CW         599 66
