START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: FD CW
CALLSIGN: RA9AP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RA9AP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for FD CW DARC/Fieldday/CW/2023.
QSO: 21000 CW 2023-06-03 1500 RA9AP         599 DL7A/P        599 001
QSO: 21018 CW 2023-06-03 1503 RA9AP         599 0003 DL0EU/P       599 0001
QSO: 21024 CW 2023-06-03 1504 RA9AP         599 0006 G6MC/P        599 0003
QSO: 21025 CW 2023-06-03 1505 RA9AP         599 0007 G4FNL/P       599 0005
QSO: 21000 CW 2023-06-03 1507 RA9AP         599 010 DL0XM/P       599 0007
QSO: 21000 CW 2023-06-03 1508 RA9AP         599 011 DQ1V/P        599 005
QSO: 21039 CW 2023-06-03 1508 RA9AP         599 012 HA5N/P        599 004
QSO: 21011 CW 2023-06-03 1510 RA9AP         599 014 K1LZ          599 017
QSO: 21000 CW 2023-06-03 1511 RA9AP         599 015 DK1A/P        599 014
QSO: 21013 CW 2023-06-03 1513 RA9AP         599 0017 LZ2KSB/P      599 0019
QSO: 21011 CW 2023-06-03 1514 RA9AP         599 0018 RK9A          599 0022
QSO: 21013 CW 2023-06-03 1514 RA9AP         599 0019 YQ6A          599 0001
QSO: 21025 CW 2023-06-03 1515 RA9AP         599 21 DM8T/P        599 006
QSO: 21036 CW 2023-06-03 1516 RA9AP         599 022 DR5W/P        599 006
QSO: 21035 CW 2023-06-03 1517 RA9AP         599 0023 DF0SX/P       599 0007
QSO: 21037 CW 2023-06-03 1518 RA9AP         599 024 DF0VK/P       599 0011
QSO: 21000 CW 2023-06-03 1521 RA9AP         599 028 DL1ASA/P      599 012
QSO: 21034 CW 2023-06-03 1522 RA9AP         599 0029 YO3GCL        599 0008
QSO: 21034 CW 2023-06-03 1523 RA9AP         599 0030 DM3XB/P       599 0003
QSO: 21033 CW 2023-06-03 1528 RA9AP         599 035 DP5X/P        599 008
QSO: 21012 CW 2023-06-03 1530 RA9AP         599 037 5B4AOF        599 021
QSO: 21019 CW 2023-06-03 1532 RA9AP         599 039 EA3X          599 031
QSO: 21000 CW 2023-06-03 1533 RA9AP         599 040 DM5R/P        599 012
QSO: 21030 CW 2023-06-03 1534 RA9AP         599 0041 OY1CT         599 0003
QSO: 21000 CW 2023-06-03 1539 RA9AP         599 044 DL0FA/P       599 030
QSO: 21018 CW 2023-06-03 1542 RA9AP         599 0046 S50X/P        599 0014
QSO: 21028 CW 2023-06-03 1543 RA9AP         599 047 DR3W/P        599 005
QSO: 21029 CW 2023-06-03 1544 RA9AP         599 0048 DM4L/P        599 0058
QSO: 21037 CW 2023-06-03 1546 RA9AP         599 051 DH3IKO        599 0001
QSO: 21030 CW 2023-06-03 1548 RA9AP         599 053 DK0MM/P       599 0080
QSO: 21000 CW 2023-06-03 1549 RA9AP         599 054 IZ5BBS        599 003
QSO: 21023 CW 2023-06-03 1552 RA9AP         599 0057 UA3QLC/P      599 0031
QSO: 21009 CW 2023-06-03 1556 RA9AP         599 0060 IT9RZU        599 0064
QSO: 21018 CW 2023-06-03 1557 RA9AP         599 061 CT1DRB        599 015
QSO: 21026 CW 2023-06-03 1557 RA9AP         599 062 DP6M/P        599 0075
QSO: 21028 CW 2023-06-03 1559 RA9AP         599 0064 DL0ABT/P      599 0012
QSO: 14007 CW 2023-06-03 1602 RA9AP         599 0067 YO3GCL        599 0052
QSO: 14030 CW 2023-06-03 1605 RA9AP         599 073 CT9ABV        599 119
QSO: 14028 CW 2023-06-03 1607 RA9AP         599 076 OH1NA         599 078
QSO: 14037 CW 2023-06-03 1607 RA9AP         599 074 5B4AOF        599 090
QSO: 14032 CW 2023-06-03 1608 RA9AP         599 0077 LZ2KSB/P      599 0112
QSO: 14033 CW 2023-06-03 1609 RA9AP         599 0078 OY1CT         599 0057
QSO: 14034 CW 2023-06-03 1610 RA9AP         599 079 DF0VK/P       599 0054
QSO: 14045 CW 2023-06-03 1611 RA9AP         599 0082 ER3R/P        599 0105
QSO: 14048 CW 2023-06-03 1612 RA9AP         599 083 DM3Y/P        599 067
QSO: 14025 CW 2023-06-03 1614 RA9AP         599 084 EA3X          599 099
QSO: 14026 CW 2023-06-03 1616 RA9AP         599 087 OK1OA         599 010
QSO: 14016 CW 2023-06-03 1620 RA9AP         599 0093 S52C/P        599 0063
QSO: 14013 CW 2023-06-03 1624 RA9AP         599 0095 R5DC/P        599 0140
QSO: 14046 CW 2023-06-03 1632 RA9AP         599 102 DR8C/P        599 0082
QSO: 14000 CW 2023-06-03 1636 RA9AP         599 105 OM/DL7AU/P    599 062
QSO: 14008 CW 2023-06-03 1636 RA9AP         599 0106 IT9RZU        599 0097
QSO: 14000 CW 2023-06-03 1637 RA9AP         599 107 A65CW/P       599 028
QSO: 14012 CW 2023-06-03 1640 RA9AP         599 0111 DP4B/P        599 0060
QSO: 14020 CW 2023-06-03 1641 RA9AP         599 112 E77EA         599 071
QSO: 14000 CW 2023-06-03 1645 RA9AP         599 116 DM5R/P        599 051
QSO: 14026 CW 2023-06-03 1645 RA9AP         599 0115 DM2I/P        599 0095
QSO: 14000 CW 2023-06-03 1646 RA9AP         599 118 DK0RA/P       599 062
QSO: 14036 CW 2023-06-03 1646 RA9AP         599 117 DM3F/P        599 0106
QSO: 14000 CW 2023-06-03 1647 RA9AP         599 120 DK1A/P        599 127
QSO: 14000 CW 2023-06-03 1647 RA9AP         599 0121 DK5KK/P       599 0070
