START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-CW
CALLSIGN: 2E0YEM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 2E0YEM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-CW SAC/CW/2025.
QSO: 28035 CW 2025-09-20 1201 2E0YEM        599 SM6M          599 2
QSO: 28000 CW 2025-09-20 1202 2E0YEM        599 2 SM6NT         599 2
QSO: 21004 CW 2025-09-20 1210 2E0YEM        599 3 SM6F          599 16
QSO: 21006 CW 2025-09-20 1211 2E0YEM        599 4 SM5ACQ        599 18
QSO: 21008 CW 2025-09-20 1212 2E0YEM        599 5 OH8Z          599 27
QSO: 21011 CW 2025-09-20 1213 2E0YEM        599 6 LA8OM         599 35
QSO: 21011 CW 2025-09-20 1215 2E0YEM        599 7 SE0X          599 33
QSO: 21019 CW 2025-09-20 1220 2E0YEM        599 8 OH5Z          599 67
QSO: 21023 CW 2025-09-20 1221 2E0YEM        599 9 SK3W          599 47
QSO: 21024 CW 2025-09-20 1222 2E0YEM        599 10 SF5O          599 27
QSO: 21025 CW 2025-09-20 1224 2E0YEM        599 11 SE4A          599 38
QSO: 21027 CW 2025-09-20 1225 2E0YEM        599 12 SM2EKM        599 22
QSO: 21028 CW 2025-09-20 1226 2E0YEM        599 13 SM6M          599 56
QSO: 21000 CW 2025-09-20 1227 2E0YEM        599 15 SM3CZS        599 4
QSO: 21029 CW 2025-09-20 1227 2E0YEM        599 14 OG6N          599 56
QSO: 21033 CW 2025-09-20 1230 2E0YEM        599 16 OG1R          599 52
QSO: 21034 CW 2025-09-20 1231 2E0YEM        599 17 OH1RX         599 37
QSO: 21034 CW 2025-09-20 1233 2E0YEM        599 18 OH3Z          599 47
QSO: 21038 CW 2025-09-20 1236 2E0YEM        599 19 OG1F          599 92
