START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-CW
CALLSIGN: G4RWD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G4RWD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-CW SAC/CW/2025.
QSO:  7020 CW 2025-09-21 0629 G4RWD         599 OY1CT         599 1054
QSO:  7020 CW 2025-09-21 0630 G4RWD         599 2 LC5T          599 922
QSO:  7021 CW 2025-09-21 0633 G4RWD         599 3 OZ5W          599 720
QSO:  7027 CW 2025-09-21 0634 G4RWD         599 4 LA6VM         599 395
QSO:  7001 CW 2025-09-21 0639 G4RWD         599 6 SM6NT         599 534
QSO:  7030 CW 2025-09-21 0639 G4RWD         599 5 LB1UK         599 667
QSO:  7019 CW 2025-09-21 0641 G4RWD         599 7 SE4E          599 691
QSO:  7023 CW 2025-09-21 0642 G4RWD         599 8 OH7K          599 664
QSO:  7032 CW 2025-09-21 0643 G4RWD         599 9 OZ7BQ         599 510
QSO:  7028 CW 2025-09-21 0644 G4RWD         599 10 LA3BO         599 992
QSO:  7016 CW 2025-09-21 0646 G4RWD         599 11 SE6K          599 328
QSO:  7022 CW 2025-09-21 0647 G4RWD         599 12 SM6EAT        599 381
QSO:  7011 CW 2025-09-21 0650 G4RWD         599 13 LC2F          599 409
QSO:  7013 CW 2025-09-21 0650 G4RWD         599 14 SE5E          599 1611
QSO:  7000 CW 2025-09-21 0652 G4RWD         599 15 OF60AP        599 824
QSO:  7000 CW 2025-09-21 0654 G4RWD         599 16 SK1BL         599 966
QSO:  7025 CW 2025-09-21 0655 G4RWD         599 17 OZ6TL         599 213
QSO: 14005 CW 2025-09-21 0656 G4RWD         599 19 OH2BA         599 685
QSO: 14004 CW 2025-09-21 0657 G4RWD         599 18 TF3W          599 1288
QSO: 14008 CW 2025-09-21 0658 G4RWD         599 20 OG5O          599 591
QSO: 14009 CW 2025-09-21 0658 G4RWD         599 21 SM6F          599 623
QSO: 14011 CW 2025-09-21 0713 G4RWD         599 22 SE0X          599 716
QSO: 14016 CW 2025-09-21 0714 G4RWD         599 23 SM5IMO        599 922
QSO: 14018 CW 2025-09-21 0715 G4RWD         599 24 SD6O          599 1166
QSO: 14018 CW 2025-09-21 0716 G4RWD         599 25 LA8HGA        599 770
QSO: 14019 CW 2025-09-21 0717 G4RWD         599 26 SM5CSS        599 1009
QSO: 14020 CW 2025-09-21 0718 G4RWD         599 27 SE4A          599 1115
QSO: 14022 CW 2025-09-21 0719 G4RWD         599 28 TF3EO         599 537
QSO: 14023 CW 2025-09-21 0719 G4RWD         599 30 SE5T          599 998
QSO: 14023 CW 2025-09-21 0719 G4RWD         599 29 SM5ACQ        599 498
QSO: 14024 CW 2025-09-21 0721 G4RWD         599 31 OH3MZ         599 511
QSO: 14025 CW 2025-09-21 0721 G4RWD         599 32 SM6TOL        599 628
QSO: 14000 CW 2025-09-21 0722 G4RWD         599 33 LB2WD         599 96
QSO: 14030 CW 2025-09-21 0723 G4RWD         599 34 OG6N          599 1072
QSO: 14031 CW 2025-09-21 0724 G4RWD         599 35 OZ1AAR        599 571
QSO: 14033 CW 2025-09-21 0726 G4RWD         599 36 SK3GM         599 392
QSO: 14033 CW 2025-09-21 0727 G4RWD         599 37 SC7DX         599 649
QSO: 14036 CW 2025-09-21 0729 G4RWD         599 38 OH8L          599 886
QSO: 14039 CW 2025-09-21 0729 G4RWD         599 39 SE4E          599 733
QSO: 14040 CW 2025-09-21 0731 G4RWD         599 40 OH6OS         599 984
QSO: 21001 CW 2025-09-21 0734 G4RWD         599 42 OG5B          599 848
QSO: 21003 CW 2025-09-21 0734 G4RWD         599 43 OH2BA         599 754
QSO: 14045 CW 2025-09-21 0735 G4RWD         599 41 OH0V          599 1587
QSO: 21008 CW 2025-09-21 0737 G4RWD         599 4 OG1R          599 511
QSO: 21009 CW 2025-09-21 0806 G4RWD         599 45 OH8Z          599 823
QSO: 21014 CW 2025-09-21 0809 G4RWD         599 46 OH2CV         599 761
