START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-CW
CALLSIGN: 9A5O
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A5O
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-CW SAC/CW/2025.
QSO: 28013 CW 2025-09-20 1216 9A5O          599 OI5AY         599 21
QSO: 28000 CW 2025-09-20 1221 9A5O          599 2 TF3W          599 58
QSO: 14010 CW 2025-09-20 1225 9A5O          599 3 SD6O          599 45
QSO: 14019 CW 2025-09-20 1227 9A5O          599 4 OZ1IVA        599 22
QSO: 14023 CW 2025-09-20 1228 9A5O          599 5 OH6BA         599 48
QSO: 14027 CW 2025-09-20 1230 9A5O          599 6 OH3FM         599 65
QSO: 14029 CW 2025-09-20 1231 9A5O          599 7 OH7K          599 63
QSO: 14031 CW 2025-09-20 1232 9A5O          599 8 LB1UK         599 46
QSO: 14033 CW 2025-09-20 1233 9A5O          599 9 OG1F          599 84
QSO: 14037 CW 2025-09-20 1235 9A5O          599 10 OH0V          599 96
QSO: 14040 CW 2025-09-20 1239 9A5O          599 11 SK0QO         599 33
QSO: 14015 CW 2025-09-20 1241 9A5O          599 12 LC5T          599 93
QSO: 14019 CW 2025-09-20 1244 9A5O          599 14 SC7DX         599 98
QSO: 14001 CW 2025-09-20 1251 9A5O          599 15 SM5ACQ        599 62
QSO: 14008 CW 2025-09-20 1253 9A5O          599 16 OG5O          599 117
QSO: 14022 CW 2025-09-20 1255 9A5O          599 17 SE8X          599 35
QSO: 14025 CW 2025-09-20 1256 9A5O          599 19 SM6TOL        599 94
QSO: 14026 CW 2025-09-20 1257 9A5O          599 20 OH1VR         599 109
QSO: 14034 CW 2025-09-20 1258 9A5O          599 21 OH8L          599 117
QSO: 14000 CW 2025-09-20 1300 9A5O          599 22 SF6W          599 73
QSO: 21008 CW 2025-09-20 1302 9A5O          599 23 OH8Z          599 138
QSO: 21000 CW 2025-09-20 1303 9A5O          599 25 OF60AP        599 56
QSO: 21012 CW 2025-09-20 1303 9A5O          599 24 SE4E          599 102
QSO: 21015 CW 2025-09-20 1304 9A5O          599 26 SJ2W          599 190
QSO: 21016 CW 2025-09-20 1305 9A5O          599 27 OI5AY         599 98
QSO: 21000 CW 2025-09-20 1306 9A5O          599 28 LA9OI         599 104
QSO: 21021 CW 2025-09-20 1307 9A5O          599 29 SD6O          599 117
QSO: 21024 CW 2025-09-20 1308 9A5O          599 30 OH8WW         599 135
QSO: 21029 CW 2025-09-20 1309 9A5O          599 31 OG6N          599 133
QSO: 21033 CW 2025-09-20 1310 9A5O          599 32 OG1R          599 118
QSO: 21034 CW 2025-09-20 1311 9A5O          599 33 OZ1IKY        599 96
QSO: 21037 CW 2025-09-20 1312 9A5O          599 34 OH3KAV        599 30
QSO: 21041 CW 2025-09-20 1313 9A5O          599 35 OG8M          599 74
QSO: 21043 CW 2025-09-20 1315 9A5O          599 36 SA0IAT        599 61
QSO: 21029 CW 2025-09-20 1316 9A5O          599 37 OG7Z          599 104
QSO: 21015 CW 2025-09-20 1317 9A5O          599 38 OH6CT         599 148
QSO: 21001 CW 2025-09-20 1318 9A5O          599 39 OG5B          599 130
QSO: 21024 CW 2025-09-20 1400 9A5O          599 40 TF3W          599 291
QSO: 21009 CW 2025-09-20 1403 9A5O          599 41 OH8Z          599 239
QSO: 21013 CW 2025-09-20 1404 9A5O          599 42 LA8OM         599 242
QSO: 21014 CW 2025-09-20 1405 9A5O          599 43 LB4UH         599 146
QSO: 21021 CW 2025-09-20 1407 9A5O          599 44 OH2HEX        599 59
QSO: 21027 CW 2025-09-20 1409 9A5O          599 45 OV2T          599 174
QSO: 21029 CW 2025-09-20 1409 9A5O          599 46 OG6N          599 217
QSO: 21033 CW 2025-09-20 1410 9A5O          599 47 OG1R          599 194
QSO: 21038 CW 2025-09-20 1412 9A5O          599 48 OH7K          599 205
QSO: 21043 CW 2025-09-20 1414 9A5O          599 49 LC5T          599 231
QSO: 21022 CW 2025-09-20 1512 9A5O          599 51 OH5Z          599 503
QSO: 21012 CW 2025-09-20 1514 9A5O          599 52 OH6RX         599 393
QSO: 14016 CW 2025-09-20 1522 9A5O          599 53 OZ/DL3KWF     599 116
QSO: 14008 CW 2025-09-20 1525 9A5O          599 54 OG5O          599 322
QSO: 14043 CW 2025-09-20 1526 9A5O          599 44 SM5MX         599 169
QSO: 14042 CW 2025-09-20 1527 9A5O          599 56 SM6Q          599 111
QSO: 14035 CW 2025-09-20 1529 9A5O          599 58 SK3W          599 323
QSO: 14035 CW 2025-09-20 1529 9A5O          599 57 SM6X          599 183
QSO: 14012 CW 2025-09-20 1532 9A5O          599 59 OY1CT         599 384
QSO: 14000 CW 2025-09-20 1533 9A5O          599 60 SK1BL         599 301
QSO: 14014 CW 2025-09-20 1537 9A5O          599 61 SB7S          599 191
QSO: 14018 CW 2025-09-20 1539 9A5O          599 62 SE8X          599 244
QSO: 14020 CW 2025-09-20 1541 9A5O          599 63 LA8HGA        599 260
QSO: 14023 CW 2025-09-20 1543 9A5O          599 64 OZ5W          599 165
QSO: 14025 CW 2025-09-20 1544 9A5O          599 65 LA3BO         599 310
QSO: 14027 CW 2025-09-20 1545 9A5O          599 66 SM6M          599 451
QSO: 14029 CW 2025-09-20 1546 9A5O          599 67 OH7K          599 351
