START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: AH6FC
LOCATION: PAC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: bl20da
CLAIMED-SCORE: 71198
NAME: Bill Carnett
OPERATORS: AH6FC
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.7
SOAPBOX: Really need to get the antenna higher than 10 feet....
QSO: 21000 PH 2022-10-29 0434 AH6FC  59   31 P29RO  59   28 
QSO: 28000 PH 2022-10-29 1834 AH6FC  59   31 PU2SDX 59   11 
QSO: 28000 PH 2022-10-29 1912 AH6FC  59   31 PV2G   59   11 
QSO: 28000 PH 2022-10-29 1913 AH6FC  59   31 LU3DK  59   13 
QSO: 28000 PH 2022-10-29 1915 AH6FC  59   31 LU2HHH 59   13 
QSO: 14000 PH 2022-10-29 1928 AH6FC  59   31 JA6ZPR 59   25 
QSO: 14000 PH 2022-10-29 1929 AH6FC  59   31 VE5PV  59   04 
QSO: 14000 PH 2022-10-29 1931 AH6FC  59   31 W7WA   59   03 
QSO: 28000 PH 2022-10-29 1948 AH6FC  59   31 XE1CKJ 59   06 
QSO: 28000 PH 2022-10-29 1952 AH6FC  59   31 LQ5D   59   13 
QSO: 28000 PH 2022-10-29 1957 AH6FC  59   31 KP2B   59   08 
QSO: 28000 PH 2022-10-29 1958 AH6FC  59   31 PJ2T   59   09 
QSO: 28000 PH 2022-10-29 2001 AH6FC  59   31 KH7X/W7 59   03 
QSO: 28000 PH 2022-10-29 2003 AH6FC  59   31 PY4YY  59   11 
QSO: 28000 PH 2022-10-29 2006 AH6FC  59   31 ZP6RAI 59   11 
QSO: 28000 PH 2022-10-29 2007 AH6FC  59   31 FM5KC  59   08 
QSO: 28000 PH 2022-10-29 2011 AH6FC  59   31 XE1CIC 59   06 
QSO: 28000 PH 2022-10-29 2012 AH6FC  59   31 PY2FRQ 59   11 
QSO: 28000 PH 2022-10-29 2015 AH6FC  59   31 TI2JS  59   07 
QSO: 28000 PH 2022-10-29 2240 AH6FC  59   31 TO5M   59   08 
QSO: 28000 PH 2022-10-29 2241 AH6FC  59   31 JF2QNM 59   25 
QSO: 28000 PH 2022-10-29 2243 AH6FC  59   31 LS7H   59   13 
QSO: 28000 PH 2022-10-29 2251 AH6FC  59   31 5W1SA  59   32 
QSO: 28000 PH 2022-10-29 2252 AH6FC  59   31 CE2BAH 59   12 
QSO: 28000 PH 2022-10-29 2254 AH6FC  59   31 7A2A   59   28 
QSO: 28000 PH 2022-10-29 2256 AH6FC  59   31 VK4A   59   30 
QSO: 28000 PH 2022-10-29 2303 AH6FC  59   31 DU1EV  59   27 
QSO: 28000 PH 2022-10-29 2303 AH6FC  59   31 VJ4T   59   30 
QSO: 28000 PH 2022-10-29 2305 AH6FC  59   31 JA3YBK 59   25 
QSO: 28000 PH 2022-10-29 2306 AH6FC  59   31 VL4A   59   30 
QSO: 28000 PH 2022-10-29 2308 AH6FC  59   31 7A1A   59   28 
QSO: 28000 PH 2022-10-29 2310 AH6FC  59   31 FK4QX  59   32 
QSO: 28000 PH 2022-10-29 2312 AH6FC  59   31 NX6T   59   03 
QSO: 28000 PH 2022-10-29 2313 AH6FC  59   31 ND7K   59   03 
QSO: 28000 PH 2022-10-29 2314 AH6FC  59   31 N9NUQ  59   04 
QSO: 21000 PH 2022-10-29 2317 AH6FC  59   31 K9CT   59   04 
QSO: 21000 PH 2022-10-29 2318 AH6FC  59   31 JJ0JML 59   25 
QSO: 21000 PH 2022-10-29 2319 AH6FC  59   31 JR2GRX 59   25 
QSO: 21000 PH 2022-10-29 2320 AH6FC  59   31 JF3BFS 59   25 
QSO: 21000 PH 2022-10-29 2320 AH6FC  59   31 JG7AMD 59   25 
QSO: 21000 PH 2022-10-29 2322 AH6FC  59   31 K0EU   59   04 
QSO: 21000 PH 2022-10-29 2323 AH6FC  59   31 N9RV   59   04 
QSO: 21000 PH 2022-10-29 2325 AH6FC  59   31 CX7SS  59   13 
QSO: 21000 PH 2022-10-29 2326 AH6FC  59   31 TI2JS  59   07 
QSO: 21000 PH 2022-10-29 2327 AH6FC  59   31 W6AFA  59   03 
QSO: 21000 PH 2022-10-29 2330 AH6FC  59   31 FM5KC  59   08 
QSO: 21000 PH 2022-10-29 2330 AH6FC  59   31 CE1TT  59   12 
QSO: 21000 PH 2022-10-29 2331 AH6FC  59   31 PX2A   59   11 
QSO: 21000 PH 2022-10-29 2331 AH6FC  59   31 VK1A   59   30 
QSO: 21000 PH 2022-10-29 2334 AH6FC  59   31 P40L   59   09 
QSO: 21000 PH 2022-10-29 2335 AH6FC  59   31 KQ0C   59   04 
QSO: 14000 PH 2022-10-29 2344 AH6FC  59   31 K3EST  59   05 
QSO: 28000 PH 2022-10-29 2349 AH6FC  59   31 PY2DN  59   11 
QSO: 28000 PH 2022-10-29 2350 AH6FC  59   31 JE1RXJ 59   25 
QSO: 28000 PH 2022-10-29 2350 AH6FC  59   31 FK8IK  59   32 
QSO: 28000 PH 2022-10-29 2352 AH6FC  59   31 JH6AUS 59   25 
