START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: SP9TS
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR: KO00ac
CLAIMED-SCORE: 34368
NAME: Norbert Moskala
OPERATORS: SP9TS
CREATED-BY: N3FJP's CQ WW DX Contest Log 6.0.3
SOAPBOX: First license 10-2021
SOAPBOX: first license date 27/10/2021
QSO:   28501 PH 2022-10-29 1036 SP9TS            59  15    4X1MM            59   20       
QSO:   28521 PH 2022-10-29 1038 SP9TS            59  15    EA7DHT           59   14       
QSO:   28533 PH 2022-10-29 1043 SP9TS            59  15    9K2HN            59   21       
QSO:   28547 PH 2022-10-29 1046 SP9TS            59  15    CT1BOL           59   14       
QSO:   28000 PH 2022-10-29 1054 SP9TS            59  15    4X0A             59   20      0
QSO:   28000 PH 2022-10-29 1059 SP9TS            59  15    UN9L             59   17      0
QSO:   28000 PH 2022-10-29 1102 SP9TS            59  15    ED7R             59   14      0
QSO:   28000 PH 2022-10-29 1105 SP9TS            59  15    EB5A             59   14      0
QSO:   28000 PH 2022-10-29 1123 SP9TS            59  15    CR6K             59   14      0
QSO:   28000 PH 2022-10-29 1126 SP9TS            59  15    EA8AM            59   33      0
QSO:   28000 PH 2022-10-29 1131 SP9TS            59  15    7Q6M             59   37      0
QSO:   28000 PH 2022-10-29 1149 SP9TS            59  15    4X1IM            59   20      0
QSO:   28000 PH 2022-10-29 1150 SP9TS            59  15    C4W              59   20      0
QSO:   28000 PH 2022-10-29 1151 SP9TS            59  15    EC7R             59   14      0
QSO:   28000 PH 2022-10-29 1155 SP9TS            59  15    A71BX            59   21      0
QSO:   28000 PH 2022-10-29 1200 SP9TS            59  15    PY2WH            59   11      0
QSO:   28000 PH 2022-10-29 1206 SP9TS            59  15    4L5EE            59   21      0
QSO:   28000 PH 2022-10-29 1207 SP9TS            59  15    HZ1BW            59   21      0
QSO:   28000 PH 2022-10-29 1208 SP9TS            59  15    EA7Z             59   14      0
QSO:   28000 PH 2022-10-29 1209 SP9TS            59  15    EA7I             59   14      0
QSO:   14000 PH 2022-10-29 1214 SP9TS            59  15    EE4Y             59   14      0
QSO:   14000 PH 2022-10-29 1216 SP9TS            59  15    LN1K             59   14      0
QSO:   14000 PH 2022-10-29 1221 SP9TS            59  15    XL3E             59   04      0
QSO:   14000 PH 2022-10-29 1222 SP9TS            59  15    SZ1A             59   20      0
QSO:   14000 PH 2022-10-29 1226 SP9TS            59  15    IS0IYM           59   15      0
QSO:   14000 PH 2022-10-29 1227 SP9TS            59  15    OH5BM            59   15      0
QSO:   14000 PH 2022-10-29 1228 SP9TS            59  15    OH5Z             59   15      0
QSO:   14000 PH 2022-10-29 1231 SP9TS            59  15    LZ9W             59   20      0
QSO:   14000 PH 2022-10-29 1233 SP9TS            59  15    LA8HGA           59   14      0
QSO:   14000 PH 2022-10-29 1235 SP9TS            59  15    IZ8QPA           59   15      0
QSO:   14000 PH 2022-10-29 1237 SP9TS            59  15    LA1K             59   14      0
QSO:   14000 PH 2022-10-29 1239 SP9TS            59  15    YM3VBR           59   20      0
QSO:   28000 PH 2022-10-29 1240 SP9TS            59  15    4X7R             59   20      0
QSO:   28000 PH 2022-10-29 1242 SP9TS            59  15    OD5UI            59   20      0
QSO:   28000 PH 2022-10-29 1248 SP9TS            59  15    7D1C             59   28      0
QSO:   28000 PH 2022-10-29 1257 SP9TS            59  15    7A2A             59   28      0
QSO:   28000 PH 2022-10-29 1259 SP9TS            59  15    5B4AQT           59   20      0
QSO:   28000 PH 2022-10-29 1303 SP9TS            59  15    A65BB            59   21      0
QSO:   28000 PH 2022-10-29 1309 SP9TS            59  15    A44A             59   21      0
QSO:   28000 PH 2022-10-29 1310 SP9TS            59  15    HZ1SK            59   21      0
QSO:   28000 PH 2022-10-29 1312 SP9TS            59  15    P33W             59   20      0
QSO:   28000 PH 2022-10-29 1318 SP9TS            59  15    J42I             59   20      0
QSO:   28000 PH 2022-10-29 1324 SP9TS            59  15    CX2CC            59   13      0
QSO:   28000 PH 2022-10-29 1331 SP9TS            59  15    OD5TX            59   20      0
QSO:   28000 PH 2022-10-29 1335 SP9TS            59  15    CR5T             59   14      0
QSO:   28000 PH 2022-10-29 1338 SP9TS            59  15    EE7E             59   14      0
QSO:   14000 PH 2022-10-29 1342 SP9TS            59  15    UT3EV            59   16      0
QSO:   14000 PH 2022-10-29 1344 SP9TS            59  15    IZ6ERS           59   15      0
QSO:   14000 PH 2022-10-29 1347 SP9TS            59  15    M6T              59   14      0
QSO:   14000 PH 2022-10-29 1348 SP9TS            59  15    LN2T             59   14      0
QSO:   14000 PH 2022-10-29 1348 SP9TS            59  15    9K9A             59   21      0
QSO:   14000 PH 2022-10-29 1353 SP9TS            59  15    OZ7X             59   14      0
QSO:   14000 PH 2022-10-29 1353 SP9TS            59  15    M4A              59   14      0
QSO:   14000 PH 2022-10-29 1356 SP9TS            59  15    IB9T             59   15      0
QSO:   14000 PH 2022-10-29 1401 SP9TS            59  15    IK5RLP           59   15      0
QSO:   14000 PH 2022-10-29 1401 SP9TS            59  15    IO9R             59   15      0
QSO:   14000 PH 2022-10-29 1407 SP9TS            59  15    HZ7C             59   21      0
QSO:   14000 PH 2022-10-29 1409 SP9TS            59  15    F6KJS            59   14      0
QSO:   28000 PH 2022-10-29 1413 SP9TS            59  15    CX5UA            59   13      0
QSO:   28000 PH 2022-10-29 1418 SP9TS            59  15    SZ3P             59   20      0
QSO:   28000 PH 2022-10-29 1420 SP9TS            59  15    EE7P             59   14      0
QSO:   28000 PH 2022-10-29 1422 SP9TS            59  15    EA5EL            59   14      0
QSO:   28000 PH 2022-10-29 1425 SP9TS            59  15    PT5J             59   11      0
QSO:   14000 PH 2022-10-29 1429 SP9TS            59  15    F8DVD            59   14      0
QSO:   14000 PH 2022-10-29 1433 SP9TS            59  15    UI5R             59   16      0
QSO:   14000 PH 2022-10-29 1438 SP9TS            59  15    IW0HLZ           59   15      0
QSO:   14000 PH 2022-10-29 1443 SP9TS            59  15    IQ0ID            59   15      0
QSO:   14000 PH 2022-10-29 1451 SP9TS            59  15    IQ4JO            59   15      0
QSO:   14000 PH 2022-10-29 1452 SP9TS            59  15    EA4URE           59   14      0
QSO:   28000 PH 2022-10-29 1501 SP9TS            59  15    ED7O             59   14      0
QSO:   28000 PH 2022-10-29 1505 SP9TS            59  15    PV2G             59   11      0
QSO:   14000 PH 2022-10-29 2004 SP9TS            59  15    ES3V             59   15      0
QSO:   14000 PH 2022-10-30 0715 SP9TS            59  15    8S8S             59   14      0
QSO:   14000 PH 2022-10-30 0716 SP9TS            59  15    EA3CI            59   14      0
QSO:   14000 PH 2022-10-30 0719 SP9TS            59  15    IZ0OWV           59   15      0
