START-OF-LOG: 3.0
LOCATION: EMA
CALLSIGN: W1ZZ
CLUB: Yankee Clipper Contest Club
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 89280
OPERATORS: W1ZZ
SOAPBOX: Inverted Vees for all bands. 80/160, 40/15, 20, 10 Yankee
SOAPBOX: Clipper Contest Club
NAME: Ed Stratton
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
QSO:  3523 CW 2016-11-26 0040 W1ZZ          599 5      YT5A          599 15
QSO:  3527 CW 2016-11-26 0042 W1ZZ          599 5      OK6W          599 15
QSO:  3528 CW 2016-11-26 0043 W1ZZ          599 5      9A7A          599 15
QSO:  3517 CW 2016-11-26 0049 W1ZZ          599 5      GW5R          599 14
QSO:  3543 CW 2016-11-26 0055 W1ZZ          599 5      VC2T          599 05
QSO: 21038 CW 2016-11-26 1601 W1ZZ          599 5      CR6K          599 14
QSO: 21041 CW 2016-11-26 1602 W1ZZ          599 5      IB9T          599 15
QSO: 21046 CW 2016-11-26 1603 W1ZZ          599 5      ED8X          599 33
QSO: 21073 CW 2016-11-26 1623 W1ZZ          599 5      FG/WJ2O       599 08
QSO: 21005 CW 2016-11-26 1625 W1ZZ          599 5      CN2AA         599 33
QSO: 21014 CW 2016-11-26 1626 W1ZZ          599 5      KP2M          599 08
QSO: 21017 CW 2016-11-26 1627 W1ZZ          599 5      EF8R          599 33
QSO: 21016 CW 2016-11-26 1658 W1ZZ          599 5      CB1H          599 12
QSO: 21028 CW 2016-11-26 1659 W1ZZ          599 5      LP1H          599 13
QSO: 21032 CW 2016-11-26 1700 W1ZZ          599 5      TI5W          599 07
QSO: 21052 CW 2016-11-26 1702 W1ZZ          599 5      ZF2MJ         599 08
QSO: 21064 CW 2016-11-26 1704 W1ZZ          599 5      PJ4A          599 09
QSO: 21069 CW 2016-11-26 1706 W1ZZ          599 5      P40W          599 09
QSO: 21015 CW 2016-11-26 1711 W1ZZ          599 5      EF2A          599 14
QSO: 21037 CW 2016-11-26 1713 W1ZZ          599 5      D4C           599 35
QSO: 21040 CW 2016-11-26 1713 W1ZZ          599 5      6Y9X          599 08
QSO: 21036 CW 2016-11-26 1715 W1ZZ          599 5      TI2OY         599 07
QSO: 21040 CW 2016-11-26 1717 W1ZZ          599 5      VP5M          599 08
QSO: 21042 CW 2016-11-26 1718 W1ZZ          599 5      ZF9CW         599 08
QSO: 21043 CW 2016-11-26 1719 W1ZZ          599 5      V26K          599 08
QSO: 21061 CW 2016-11-26 1720 W1ZZ          599 5      9Y4/VE3EY     599 09
QSO: 21058 CW 2016-11-26 1721 W1ZZ          599 5      LT1F          599 13
QSO: 21069 CW 2016-11-26 1721 W1ZZ          599 5      HC2AO         599 10
QSO: 21011 CW 2016-11-26 1723 W1ZZ          599 5      CX1AA         599 13
QSO: 21035 CW 2016-11-26 1853 W1ZZ          599 5      VE6BBP        599 04
QSO: 21036 CW 2016-11-26 1855 W1ZZ          599 5      KH6LC         599 31
QSO: 21011 CW 2016-11-26 1935 W1ZZ          599 5      VP2VI         599 08
QSO: 21016 CW 2016-11-26 1936 W1ZZ          599 5      HK1NA         599 09
QSO: 21022 CW 2016-11-26 1937 W1ZZ          599 5      PJ4Q          599 09
QSO: 21073 CW 2016-11-26 1943 W1ZZ          599 5      CO8LY         599 08
QSO: 21012 CW 2016-11-26 1944 W1ZZ          599 5      VP5CW         599 08
QSO: 14046 CW 2016-11-26 2035 W1ZZ          599 5      PS2T          599 11
QSO: 14035 CW 2016-11-26 2045 W1ZZ          599 5      V47T          599 08
QSO: 14020 CW 2016-11-26 2047 W1ZZ          599 5      D4C           599 35
QSO: 14017 CW 2016-11-26 2048 W1ZZ          599 5      TI2OY         599 07
QSO: 14025 CW 2016-11-26 2050 W1ZZ          599 5      VE5ZX         599 04
QSO: 14048 CW 2016-11-26 2051 W1ZZ          599 5      FY5KE         599 09
QSO: 14054 CW 2016-11-26 2052 W1ZZ          599 5      8R1/AG6UT     599 09
QSO: 14063 CW 2016-11-26 2053 W1ZZ          599 5      PJ4A          599 09
QSO: 14060 CW 2016-11-26 2054 W1ZZ          599 5      NP4DX         599 08
QSO: 14006 CW 2016-11-26 2055 W1ZZ          599 5      KP2M          599 08
QSO: 14009 CW 2016-11-26 2056 W1ZZ          599 5      HK1NA         599 09
QSO: 14021 CW 2016-11-26 2056 W1ZZ          599 5      PJ4Q          599 09
QSO: 14033 CW 2016-11-26 2057 W1ZZ          599 5      PJ2T          599 09
QSO: 14035 CW 2016-11-26 2057 W1ZZ          599 5      ZF2MJ         599 08
QSO: 14046 CW 2016-11-26 2059 W1ZZ          599 5      VY2TT         599 05
QSO:  7041 CW 2016-11-26 2245 W1ZZ          599 5      PJ4Q          599 09
QSO:  7004 CW 2016-11-26 2254 W1ZZ          599 5      TK0C          599 15
QSO:  7016 CW 2016-11-26 2255 W1ZZ          599 5      P33W          599 20
QSO:  7019 CW 2016-11-26 2256 W1ZZ          599 5      OM7M          599 15
QSO:  7022 CW 2016-11-26 2257 W1ZZ          599 5      9A7A          599 15
QSO:  7022 CW 2016-11-26 2257 W1ZZ          599 5      SN8B          599 15
QSO:  7023 CW 2016-11-26 2258 W1ZZ          599 5      YT8T          599 15
QSO:  7064 CW 2016-11-26 2259 W1ZZ          599 5      ED8X          599 33
QSO:  7049 CW 2016-11-26 2300 W1ZZ          599 5      VY2TT         599 05
QSO:  7019 CW 2016-11-26 2302 W1ZZ          599 5      CN2AA         599 33
QSO:  7018 CW 2016-11-26 2303 W1ZZ          599 5      IO5O          599 15
QSO:  7014 CW 2016-11-26 2303 W1ZZ          599 5      CR3W          599 33
QSO:  7010 CW 2016-11-26 2306 W1ZZ          599 5      DL0XM         599 14
QSO:  7029 CW 2016-11-26 2307 W1ZZ          599 5      TM6M          599 14
QSO:  7029 CW 2016-11-26 2308 W1ZZ          599 5      UB7K          599 16
QSO:  7030 CW 2016-11-26 2309 W1ZZ          599 5      II9P          599 15
QSO:  7030 CW 2016-11-26 2310 W1ZZ          599 5      9A8M          599 15
QSO:  7032 CW 2016-11-26 2310 W1ZZ          599 5      HB9ON         599 14
QSO:  7031 CW 2016-11-26 2311 W1ZZ          599 5      S58M          599 15
QSO:  7024 CW 2016-11-26 2311 W1ZZ          599 5      GW5R          599 14
QSO:  7043 CW 2016-11-26 2315 W1ZZ          599 5      M4A           599 14
QSO:  7044 CW 2016-11-26 2316 W1ZZ          599 5      LZ9W          599 20
QSO:  7043 CW 2016-11-26 2317 W1ZZ          599 5      EA2EA         599 14
QSO:  7028 CW 2016-11-26 2322 W1ZZ          599 5      UW2M          599 16
QSO:  7015 CW 2016-11-27 0041 W1ZZ          599 5      VP2VI         599 08
QSO:  7014 CW 2016-11-27 0044 W1ZZ          599 5      PZ5V          599 09
QSO:  7016 CW 2016-11-27 0046 W1ZZ          599 5      KP2M          599 08
QSO:  7022 CW 2016-11-27 0046 W1ZZ          599 5      S57Z          599 15
QSO:  7017 CW 2016-11-27 0047 W1ZZ          599 5      HK1NA         599 09
QSO:  7037 CW 2016-11-27 0048 W1ZZ          599 5      M6T           599 14
QSO:  7037 CW 2016-11-27 0049 W1ZZ          599 5      SN3A          599 15
QSO:  7042 CW 2016-11-27 0050 W1ZZ          599 5      6Y3T          599 08
QSO:  7053 CW 2016-11-27 0051 W1ZZ          599 5      YN2SX         599 07
QSO:  7053 CW 2016-11-27 0052 W1ZZ          599 5      PX2V          599 11
QSO:  7059 CW 2016-11-27 0053 W1ZZ          599 5      HR2J          599 07
QSO:  7072 CW 2016-11-27 0053 W1ZZ          599 5      P43R          599 09
QSO:  7013 CW 2016-11-27 0054 W1ZZ          599 5      VP5CW         599 08
QSO:  7021 CW 2016-11-27 0055 W1ZZ          599 5      CN2R          599 33
QSO:  7042 CW 2016-11-27 0055 W1ZZ          599 5      J70BH         599 08
QSO:  7050 CW 2016-11-27 0057 W1ZZ          599 5      HC2AO         599 10
QSO:  7061 CW 2016-11-27 0058 W1ZZ          599 5      N4ZZ          599 04
QSO:  7068 CW 2016-11-27 0059 W1ZZ          599 5      9Y4/VE3EY     599 09
QSO:  7056 CW 2016-11-27 0101 W1ZZ          599 5      PJ2T          599 09
QSO:  7047 CW 2016-11-27 0102 W1ZZ          599 5      HG6N          599 15
QSO:  7037 CW 2016-11-27 0104 W1ZZ          599 5      IR2R          599 15
QSO:  7029 CW 2016-11-27 0104 W1ZZ          599 5      CR5K          599 14
QSO:  7024 CW 2016-11-27 0106 W1ZZ          599 5      OK5W          599 15
QSO:  7049 CW 2016-11-27 0109 W1ZZ          599 5      RT5Z          599 16
QSO:  7044 CW 2016-11-27 0110 W1ZZ          599 5      E7DX          599 15
QSO:  7028 CW 2016-11-27 0111 W1ZZ          599 5      EI6DX         599 14
QSO:  7034 CW 2016-11-27 0114 W1ZZ          599 5      OK2D          599 15
QSO:  7034 CW 2016-11-27 0115 W1ZZ          599 5      ZF9CW         599 08
QSO:  7031 CW 2016-11-27 0117 W1ZZ          599 5      G9V           599 14
QSO:  7040 CW 2016-11-27 0117 W1ZZ          599 5      XL3A          599 04
QSO:  7063 CW 2016-11-27 0120 W1ZZ          599 5      EF8U          599 33
QSO:  7054 CW 2016-11-27 0121 W1ZZ          599 5      VP5M          599 08
QSO:  7002 CW 2016-11-27 0126 W1ZZ          599 5      6Y9X          599 08
QSO:  7007 CW 2016-11-27 0129 W1ZZ          599 5      TC3A          599 20
QSO:  7008 CW 2016-11-27 0130 W1ZZ          599 5      OM8A          599 15
QSO:  7041 CW 2016-11-27 0132 W1ZZ          599 5      HI3CC         599 08
QSO:  3507 CW 2016-11-27 0146 W1ZZ          599 5      DL7ON         599 14
QSO:  3524 CW 2016-11-27 0147 W1ZZ          599 5      YT3X          599 15
QSO:  3525 CW 2016-11-27 0148 W1ZZ          599 5      EF8R          599 33
QSO:  1823 CW 2016-11-27 0153 W1ZZ          599 5      VC2T          599 05
QSO:  1826 CW 2016-11-27 0153 W1ZZ          599 5      CN2AA         599 33
QSO:  1829 CW 2016-11-27 0207 W1ZZ          599 5      J70BH         599 08
