START-OF-LOG: 3.0
CALLSIGN: W9YK
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 65044
NAME: E F Benson
LOCATION: IL
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6014.0
SOAPBOX: Good to work the world even if propagation doesn't cooperate
QSO:  7030 CW 2016-11-26 0000 W9YK          599 4      II9P          599 15
QSO:  7011 CW 2016-11-26 0016 W9YK          599 4      S57AL         599 15
QSO:  7004 CW 2016-11-26 0017 W9YK          599 4      S53A          599 15
QSO:  7065 CW 2016-11-26 0021 W9YK          599 4      W4AAW         599 05
QSO:  7065 CW 2016-11-26 0023 W9YK          599 4      6Y3T          599 08
QSO:  7065 CW 2016-11-26 0040 W9YK          599 4      ZF2MJ         599 08
QSO:  7062 CW 2016-11-26 0050 W9YK          599 4      XE2ST         599 06
QSO:  7057 CW 2016-11-26 0054 W9YK          599 4      EF8U          599 33
QSO:  7055 CW 2016-11-26 0105 W9YK          599 4      CO8ZZ         599 08
QSO:  7010 CW 2016-11-26 0117 W9YK          599 4      VE3RIA        599 04
QSO:  7013 CW 2016-11-26 0118 W9YK          599 4      N1LN          599 05
QSO:  7015 CW 2016-11-26 0119 W9YK          599 4      HA8KW         599 15
QSO:  7018 CW 2016-11-26 0122 W9YK          599 4      OM8A          599 15
QSO:  7031 CW 2016-11-26 0249 W9YK          599 4      KH6J          599 31
QSO:  7031 CW 2016-11-26 0251 W9YK          599 4      ED8X          599 33
QSO:  7023 CW 2016-11-26 0550 W9YK          599 4      VE7SV         599 03
QSO:  7025 CW 2016-11-26 0606 W9YK          599 4      HC2AO         599 10
QSO:  7003 CW 2016-11-26 0608 W9YK          599 4      KH6TU         599 31
QSO:  7038 CW 2016-11-26 1207 W9YK          599 4      KH6LC         599 31
QSO:  7034 CW 2016-11-26 1211 W9YK          599 4      HR2J          599 07
QSO:  7026 CW 2016-11-26 1214 W9YK          599 4      KH7M          599 31
QSO:  7010 CW 2016-11-26 1244 W9YK          599 4      NR4M          599 05
QSO:  7026 CW 2016-11-26 1316 W9YK          599 4      VK3MI         599 30
QSO: 14022 CW 2016-11-26 1319 W9YK          599 4      M6T           599 14
