START-OF-LOG: 3.0
CALLSIGN: DL3NGN
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 8284
NAME: Thomas Arnol
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UcxLog 7.58
SOAPBOX: Hard job with only 5W on a 2x8.5m vertical Dipol
QSO: 14000 CW 2016-11-26 0844 DL3NGN        599 14     UA9LDD        599 17     0
QSO: 14000 CW 2016-11-26 0848 DL3NGN        599 14     UW3U          599 16     0
QSO: 21000 CW 2016-11-26 1141 DL3NGN        599 14     CN2AA         599 33     0
QSO: 21000 CW 2016-11-26 1150 DL3NGN        599 14     CR3W          599 33     0
QSO: 21000 CW 2016-11-26 1202 DL3NGN        599 14     CR6K          599 14     0
QSO: 21000 CW 2016-11-26 1204 DL3NGN        599 14     CR3OO         599 33     0
QSO: 21000 CW 2016-11-26 1206 DL3NGN        599 14     ED7X          599 14     0
QSO: 21000 CW 2016-11-26 1222 DL3NGN        599 14     8P5A          599 08     0
QSO: 21000 CW 2016-11-26 1234 DL3NGN        599 14     ED8X          599 33     0
QSO: 21000 CW 2016-11-26 1511 DL3NGN        599 14     DC4A          599 14     0
QSO: 21000 CW 2016-11-26 1515 DL3NGN        599 14     CR5K          599 14     0
QSO: 21000 CW 2016-11-26 1519 DL3NGN        599 14     CR6A          599 14     0
QSO: 14000 CW 2016-11-26 1522 DL3NGN        599 14     SP9AA         599 15     0
QSO: 14000 CW 2016-11-26 1534 DL3NGN        599 14     DG500BIER     599 14     0
QSO:  7000 CW 2016-11-26 1637 DL3NGN        599 14     LA2AB         599 14     0
QSO:  7000 CW 2016-11-26 1642 DL3NGN        599 14     LZ7U          599 20     0
QSO:  7000 CW 2016-11-26 1646 DL3NGN        599 14     EU8F          599 16     0
QSO:  7000 CW 2016-11-26 1812 DL3NGN        599 14     SV1BJW        599 20     0
QSO:  7000 CW 2016-11-26 1816 DL3NGN        599 14     EA2EA         599 14     0
QSO:  7000 CW 2016-11-26 1824 DL3NGN        599 14     RL5A          599 16     0
QSO:  3500 CW 2016-11-26 1837 DL3NGN        599 14     9A7A          599 15     0
QSO:  3500 CW 2016-11-26 1839 DL3NGN        599 14     S52ZW         599 15     0
QSO:  3500 CW 2016-11-26 1840 DL3NGN        599 14     HG5C          599 15     0
QSO:  3500 CW 2016-11-26 1843 DL3NGN        599 14     LZ9W          599 20     0
QSO:  3500 CW 2016-11-26 1843 DL3NGN        599 14     G5U           599 14     0
QSO:  3500 CW 2016-11-26 1847 DL3NGN        599 14     ON3DI         599 14     0
QSO:  3500 CW 2016-11-26 1848 DL3NGN        599 14     SM7ZDI        599 14     0
QSO:  3500 CW 2016-11-26 1850 DL3NGN        599 14     YT3X          599 15     0
QSO:  7000 CW 2016-11-26 1858 DL3NGN        599 14     LZ1EV         599 20     0
QSO:  3500 CW 2016-11-26 1904 DL3NGN        599 14     RA2F          599 15     0
QSO:  3500 CW 2016-11-26 1905 DL3NGN        599 14     IR2L          599 15     0
QSO:  3500 CW 2016-11-26 1907 DL3NGN        599 14     OK1VK         599 15     0
QSO:  3500 CW 2016-11-26 1909 DL3NGN        599 14     OK6W          599 15     0
QSO:  3500 CW 2016-11-26 1918 DL3NGN        599 14     DL0GL         599 14     0
QSO:  3500 CW 2016-11-26 1919 DL3NGN        599 14     OM0M          599 15     0
