START-OF-LOG: 3.0
CALLSIGN: DJ6OI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 82450
NAME: Thomas Steinmann
LOCATION: DX
CLUB: Rhein Ruhr DX Association
CERTIFICATE: YES
CREATED-BY: Win-Test 4.5.1
SOAPBOX: QRV just for fun  pick up multipliers  conditions alwasy diffcult in
SOAPBOX: central germany  73
QSO:  3500 CW 2016-11-26 0553 DJ6OI         599 14     K5ZD          599 05     0
QSO:  3501 CW 2016-11-26 0554 DJ6OI         599 14     LY2BMX        599 15     0
QSO:  3500 CW 2016-11-26 0554 DJ6OI         599 14     N1UR          599 05     0
QSO:  3501 CW 2016-11-26 0555 DJ6OI         599 14     W3LPL         599 05     0
QSO:  3502 CW 2016-11-26 0556 DJ6OI         599 14     SN5W          599 15     0
QSO:  3504 CW 2016-11-26 0557 DJ6OI         599 14     KC1XX         599 05     0
QSO:  3502 CW 2016-11-26 0600 DJ6OI         599 14     VE9AA         599 05     0
QSO:  3503 CW 2016-11-26 0603 DJ6OI         599 14     HG5C          599 15     0
QSO:  3504 CW 2016-11-26 0610 DJ6OI         599 14     F5NKX         599 14     0
QSO:  3502 CW 2016-11-26 0611 DJ6OI         599 14     K0DQ          599 05     0
QSO:  3503 CW 2016-11-26 0611 DJ6OI         599 14     DK6WL         599 14     0
QSO:  3504 CW 2016-11-26 0612 DJ6OI         599 14     OH8NW         599 15     0
QSO:  3508 CW 2016-11-26 0617 DJ6OI         599 14     VE3EJ         599 04     0
QSO:  3503 CW 2016-11-26 0626 DJ6OI         599 14     NR4M          599 05     0
QSO:  3504 CW 2016-11-26 0628 DJ6OI         599 14     W1MK          599 05     0
QSO:  3508 CW 2016-11-26 0630 DJ6OI         599 14     MD4K          599 14     0
QSO:  3557 CW 2016-11-26 0635 DJ6OI         599 14     V47T          599 08     0
QSO:  3565 CW 2016-11-26 0640 DJ6OI         599 14     ES4NY         599 15     0
QSO:  3564 CW 2016-11-26 0642 DJ6OI         599 14     W3BGN         599 05     0
QSO:  3564 CW 2016-11-26 0643 DJ6OI         599 14     EA6SX         599 14     0
QSO:  3563 CW 2016-11-26 0643 DJ6OI         599 14     M8A           599 14     0
QSO:  3559 CW 2016-11-26 0645 DJ6OI         599 14     NE2V          599 05     0
QSO:  3559 CW 2016-11-26 0646 DJ6OI         599 14     YU1KT         599 15     0
QSO:  3554 CW 2016-11-26 0649 DJ6OI         599 14     W3UA          599 05     0
QSO:  3548 CW 2016-11-26 0650 DJ6OI         599 14     LX7I          599 14     0
QSO:  3570 CW 2016-11-26 0656 DJ6OI         599 14     V26K          599 08     0
QSO:  3569 CW 2016-11-26 0658 DJ6OI         599 14     8P5A          599 08     0
QSO:  3547 CW 2016-11-26 0703 DJ6OI         599 14     MW0BRO        599 14     0
QSO:  3542 CW 2016-11-26 0704 DJ6OI         599 14     OL3Z          599 15     0
QSO:  3535 CW 2016-11-26 0705 DJ6OI         599 14     VY2TT         599 05     0
QSO:  3534 CW 2016-11-26 0705 DJ6OI         599 14     VE9HF         599 05     0
QSO:  3532 CW 2016-11-26 0709 DJ6OI         599 14     9H6A          599 15     0
QSO:  3531 CW 2016-11-26 0712 DJ6OI         599 14     CR3W          599 33     0
QSO:  3528 CW 2016-11-26 0713 DJ6OI         599 14     9A1A          599 15     0
QSO:  3503 CW 2016-11-26 0715 DJ6OI         599 14     K3LR          599 05     0
QSO:  3507 CW 2016-11-26 0717 DJ6OI         599 14     N3AD          599 05     0
QSO:  3508 CW 2016-11-26 0717 DJ6OI         599 14     W1KM          599 05     0
QSO:  3515 CW 2016-11-26 0720 DJ6OI         599 14     PA3GVI        599 14     0
QSO:  3517 CW 2016-11-26 0721 DJ6OI         599 14     VE3JM         599 05     0
QSO:  3519 CW 2016-11-26 0722 DJ6OI         599 14     W2FU          599 05     0
QSO:  3522 CW 2016-11-26 0722 DJ6OI         599 14     N5DX          599 05     0
QSO:  3530 CW 2016-11-26 0724 DJ6OI         599 14     YL3CW         599 15     0
QSO:  3533 CW 2016-11-26 0725 DJ6OI         599 14     EF3A          599 14     0
QSO:  3553 CW 2016-11-26 0727 DJ6OI         599 14     AA2A          599 05     0
QSO:  3543 CW 2016-11-26 0728 DJ6OI         599 14     M0P           599 14     0
