START-OF-LOG: 3.0
CALLSIGN: K7AJM
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 97175
NAME: Arthur James (Jim) Movius
LOCATION: MT
OPERATORS: K7AJM
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5991.0
SOAPBOX: First CW contest--thank you to the CW Academy,especially Will, WJ9B.
QSO: 14000 CW 2016-11-26 0114 K7AJM         599 4      VE7SZ         599 03
QSO: 14000 CW 2016-11-26 0135 K7AJM         599 4      KP4BD         599 08
QSO: 14000 CW 2016-11-26 0142 K7AJM         599 4      JA8RWU        599 25
QSO: 14000 CW 2016-11-26 0147 K7AJM         599 4      JA0QNJ        599 25
QSO: 14000 CW 2016-11-26 0155 K7AJM         599 4      ZF2MJ         599 08
QSO:  7011 CW 2016-11-26 0252 K7AJM         599 4      VC2T          599 05
QSO:  7069 CW 2016-11-26 0304 K7AJM         599 4      XE1CT         599 06
QSO:  3539 CW 2016-11-26 0325 K7AJM         599 4      PJ2T          599 09
QSO:  3514 CW 2016-11-26 0341 K7AJM         599 4      CN2AA         599 33
QSO:  3532 CW 2016-11-26 0347 K7AJM         599 4      YW4D          599 09
QSO:  3542 CW 2016-11-26 0410 K7AJM         599 4      VC2T          599 05
QSO:  3518 CW 2016-11-26 0415 K7AJM         599 4      KP2M          599 08
QSO:  3515 CW 2016-11-26 0439 K7AJM         599 4      6Y3T          599 08
QSO:  3573 CW 2016-11-26 0445 K7AJM         599 4      VY2TT         599 05
QSO:  1831 CW 2016-11-26 0507 K7AJM         599 4      VE3YAA        599 04
QSO:  3567 CW 2016-11-26 0535 K7AJM         599 4      XE2X          599 06
QSO:  3543 CW 2016-11-26 0541 K7AJM         599 4      VY1AAA        599 01
QSO:  3532 CW 2016-11-26 0542 K7AJM         599 4      VE2BWL        599 05
QSO:  3531 CW 2016-11-26 0555 K7AJM         599 4      KH6LC         599 31
QSO:  3501 CW 2016-11-26 0559 K7AJM         599 4      XE2B          599 06
QSO:  3526 CW 2016-11-26 0601 K7AJM         599 4      KH6J          599 31
QSO:  3549 CW 2016-11-26 0604 K7AJM         599 4      VE3PN         599 04
QSO:  7027 CW 2016-11-26 0629 K7AJM         599 4      CO7EH         599 08
QSO:  7021 CW 2016-11-26 0640 K7AJM         599 4      JE1ZWT        599 25
QSO:  7065 CW 2016-11-26 0650 K7AJM         599 4      LP1H          599 13
QSO: 21017 CW 2016-11-26 1838 K7AJM         599 4      HK1NA         599 09
QSO: 21004 CW 2016-11-26 1840 K7AJM         599 4      A31MM         599 32
QSO: 21045 CW 2016-11-26 1848 K7AJM         599 4      LU3MAM        599 13
QSO: 21052 CW 2016-11-26 1850 K7AJM         599 4      NP2P          599 08
QSO: 21043 CW 2016-11-26 1851 K7AJM         599 4      V26K          599 08
QSO: 21040 CW 2016-11-26 1857 K7AJM         599 4      VP5M          599 08
QSO: 21043 CW 2016-11-26 1900 K7AJM         599 4      LU4HK         599 13
QSO: 21032 CW 2016-11-26 1901 K7AJM         599 4      TI5W          599 07
QSO: 21038 CW 2016-11-26 1903 K7AJM         599 4      CR3OO         599 33
QSO: 21031 CW 2016-11-26 1905 K7AJM         599 4      PR9M          599 11
QSO: 21027 CW 2016-11-26 1907 K7AJM         599 4      PY1V0Y        599 11
QSO: 21038 CW 2016-11-26 1931 K7AJM         599 4      J35X          599 08
QSO: 21067 CW 2016-11-26 1935 K7AJM         599 4      J70BH         599 08
QSO: 21022 CW 2016-11-26 1943 K7AJM         599 4      PJ4Q          599 09
QSO: 21073 CW 2016-11-26 1945 K7AJM         599 4      CO8LY         599 08
QSO: 21039 CW 2016-11-26 1947 K7AJM         599 4      KH6J          599 31
QSO: 21064 CW 2016-11-26 2011 K7AJM         599 4      CE3DNP        599 12
QSO: 21039 CW 2016-11-26 2014 K7AJM         599 4      TX8F          599 32
QSO: 28019 CW 2016-11-26 2024 K7AJM         599 4      CX1AA         599 13
QSO: 28017 CW 2016-11-26 2034 K7AJM         599 4      PP5EJ         599 11
QSO: 21027 CW 2016-11-26 2047 K7AJM         599 4      PY1VOY        599 11
QSO: 21008 CW 2016-11-26 2052 K7AJM         599 4      ZM4T          599 32
QSO: 21000 CW 2016-11-26 2056 K7AJM         599 4      HC2AO         599 10
QSO: 21000 CW 2016-11-26 2100 K7AJM         599 4      CB1H          599 12
QSO: 21000 CW 2016-11-26 2104 K7AJM         599 4      PT4T          599 11
QSO: 21000 CW 2016-11-26 2106 K7AJM         599 4      PY4LH         599 11
QSO: 21000 CW 2016-11-26 2107 K7AJM         599 4      P40W          599 09
QSO: 21000 CW 2016-11-26 2116 K7AJM         599 4      8P5A          599 08
QSO: 21000 CW 2016-11-26 2118 K7AJM         599 4      HI3CC         599 08
QSO: 21000 CW 2016-11-26 2123 K7AJM         599 4      P40C          599 09
QSO: 21000 CW 2016-11-26 2137 K7AJM         599 4      PP5KR         599 11
QSO: 21000 CW 2016-11-26 2141 K7AJM         599 4      KH6TU         599 31
QSO: 21000 CW 2016-11-26 2151 K7AJM         599 4      JH7XGN        599 25
QSO: 21000 CW 2016-11-26 2156 K7AJM         599 4      ZM1A          599 32
QSO: 21000 CW 2016-11-26 2203 K7AJM         599 4      LT1F          599 13
QSO: 21000 CW 2016-11-26 2206 K7AJM         599 4      LU1DZ         599 13
QSO: 21000 CW 2016-11-26 2209 K7AJM         599 4      ZL4TT         599 32
QSO: 21000 CW 2016-11-26 2214 K7AJM         599 4      JA1BPA        599 25
QSO: 21000 CW 2016-11-26 2217 K7AJM         599 4      CE3CT         599 12
QSO: 21000 CW 2016-11-26 2222 K7AJM         599 4      ZL2AZ         599 32
QSO: 21000 CW 2016-11-26 2228 K7AJM         599 4      AH0K          599 27
QSO: 21000 CW 2016-11-26 2237 K7AJM         599 4      FO/K7AR       599 32
QSO: 21000 CW 2016-11-26 2241 K7AJM         599 4      JA2ODB        599 25
QSO: 21000 CW 2016-11-26 2244 K7AJM         599 4      JE1ZWT        599 25
QSO: 21000 CW 2016-11-26 2246 K7AJM         599 4      JR3EOI        599 25
QSO: 21000 CW 2016-11-26 2249 K7AJM         599 4      JR2IOB        599 25
QSO: 14100 CW 2016-11-26 2313 K7AJM         599 4      JA7FTR        599 25
QSO: 14041 CW 2016-11-26 2327 K7AJM         599 4      FY5KE         599 09
QSO: 14037 CW 2016-11-26 2333 K7AJM         599 4      HP3SS         599 07
QSO: 14054 CW 2016-11-27 0041 K7AJM         599 4      JF9JTS        599 25
QSO: 14032 CW 2016-11-27 0043 K7AJM         599 4      KH6LC         599 31
QSO: 14049 CW 2016-11-27 0045 K7AJM         599 4      JE1LFX        599 25
QSO: 14063 CW 2016-11-27 0049 K7AJM         599 4      LT1F          599 13
QSO: 14039 CW 2016-11-27 0101 K7AJM         599 4      JA3YBK        599 25
QSO:  7012 CW 2016-11-27 0255 K7AJM         599 4      HK9NA         599 09
QSO:  7034 CW 2016-11-27 0307 K7AJM         599 4      V47T          599 08
QSO:  7041 CW 2016-11-27 0309 K7AJM         599 4      PJ4Q          599 09
QSO:  7041 CW 2016-11-27 0310 K7AJM         599 4      6Y3T          599 08
QSO:  7047 CW 2016-11-27 0318 K7AJM         599 4      KP4BD         599 08
QSO:  7053 CW 2016-11-27 0321 K7AJM         599 4      ZF2MJ         599 08
QSO:  3513 CW 2016-11-27 0404 K7AJM         599 4      VE7GL         599 03
QSO:  7029 CW 2016-11-27 0430 K7AJM         599 4      YN2SX         599 07
QSO:  7044 CW 2016-11-27 0434 K7AJM         599 4      NP2P          599 08
QSO:  7012 CW 2016-11-27 0437 K7AJM         599 4      HK1NA         599 09
QSO:  7022 CW 2016-11-27 0444 K7AJM         599 4      CE3CT         599 12
QSO:  7051 CW 2016-11-27 0452 K7AJM         599 4      PZ5V          599 09
QSO:  7067 CW 2016-11-27 0502 K7AJM         599 4      T42CT         599 08
QSO:  7062 CW 2016-11-27 0505 K7AJM         599 4      TI5W          599 07
QSO:  7038 CW 2016-11-27 0509 K7AJM         599 4      LT1F          599 13
QSO:  7050 CW 2016-11-27 0513 K7AJM         599 4      PJ4A          599 09
QSO:  7007 CW 2016-11-27 0525 K7AJM         599 4      PY3T          599 11
QSO:  7032 CW 2016-11-27 0529 K7AJM         599 4      KH6J          599 31
QSO:  3525 CW 2016-11-27 0611 K7AJM         599 4      VE7SV         599 03
QSO:  3526 CW 2016-11-27 0622 K7AJM         599 4      VC7X          599 03
QSO:  3504 CW 2016-11-27 0628 K7AJM         599 4      K3LR          599 05
QSO:  7018 CW 2016-11-27 0655 K7AJM         599 4      ZM4T          599 32
QSO:  7036 CW 2016-11-27 0656 K7AJM         599 4      KH7M          599 31
QSO: 21016 CW 2016-11-27 1438 K7AJM         599 4      PY4YY         599 11
QSO: 14013 CW 2016-11-27 1453 K7AJM         599 4      HK1NA         599 09
QSO: 14051 CW 2016-11-27 1456 K7AJM         599 4      KP4EJ         599 08
QSO: 14059 CW 2016-11-27 1459 K7AJM         599 4      OK1DO         599 15
QSO: 14002 CW 2016-11-27 1500 K7AJM         599 4      TK0C          599 15
