START-OF-LOG: 3.0
CALLSIGN: ON5HY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CONTEST: CQ-WW-CW
CREATED-BY: Contest LogChecker v4.1 [www.contestlogchecker.com]
LOCATION: DX
NAME: Guy
SOAPBOX: Tu and 73's qro to all Oms in contest.
QSO: 14069 CW 2016-11-26 0849 ON5HY         599 14     CR3W          599 33
QSO: 14004 CW 2016-11-26 0857 ON5HY         599 14     N4WW          599 5
QSO: 14005 CW 2016-11-26 1531 ON5HY         599 14     NR4M          599 4
QSO: 14006 CW 2016-11-26 1533 ON5HY         599 14     K0MD          599 4
QSO: 14012 CW 2016-11-26 1540 ON5HY         599 14     W1KM          599 5
QSO: 14013 CW 2016-11-26 1542 ON5HY         599 14     K9CT          599 4
QSO: 14014 CW 2016-11-26 1546 ON5HY         599 14     K1KI          599 5
QSO: 14015 CW 2016-11-26 1551 ON5HY         599 14     K5ZD          599 5
QSO: 14015 CW 2016-11-26 1553 ON5HY         599 14     N5DX          599 5
QSO: 14017 CW 2016-11-26 1559 ON5HY         599 14     VE3VEE        599 4
QSO: 14017 CW 2016-11-26 1602 ON5HY         599 14     W1WMU         599 5
QSO: 14020 CW 2016-11-26 1604 ON5HY         599 14     KC3WX         599 5
QSO: 14028 CW 2016-11-26 1612 ON5HY         599 14     K1KP          599 5
QSO: 14033 CW 2016-11-26 1615 ON5HY         599 14     K1GQ          599 5
QSO: 14033 CW 2016-11-26 1616 ON5HY         599 14     N9NC          599 5
QSO: 14038 CW 2016-11-26 1622 ON5HY         599 14     K3CCR         599 5
QSO: 14042 CW 2016-11-26 1626 ON5HY         599 14     PS2T          599 11
QSO: 14055 CW 2016-11-26 1637 ON5HY         599 14     K4TCG         599 4
QSO: 14056 CW 2016-11-26 1640 ON5HY         599 14     K1DG          599 5
QSO: 21001 CW 2016-11-27 1526 ON5HY         599 14     WE3C          599 5
QSO: 21003 CW 2016-11-27 1530 ON5HY         599 14     W3LPL         599 5
QSO: 21004 CW 2016-11-27 1531 ON5HY         599 14     NR4M          599 5
QSO: 21022 CW 2016-11-27 1539 ON5HY         599 14     CR3W          599 33
QSO: 21035 CW 2016-11-27 1541 ON5HY         599 14     EA8/IK1PMR    599 33
QSO: 21038 CW 2016-11-27 1543 ON5HY         599 14     K8AZ          599 4
QSO: 21038 CW 2016-11-27 1544 ON5HY         599 14     PP1CZ         599 11
QSO: 21048 CW 2016-11-27 1548 ON5HY         599 14     PJ4A          599 9
QSO: 21049 CW 2016-11-27 1549 ON5HY         599 14     PJ2T          599 09
QSO: 21050 CW 2016-11-27 1551 ON5HY         599 14     PJ4Q          599 09
QSO: 21061 CW 2016-11-27 1552 ON5HY         599 14     K4TCG         599 4
QSO: 21064 CW 2016-11-27 1554 ON5HY         599 14     KP4BD         599 8
QSO: 21074 CW 2016-11-27 1602 ON5HY         599 14     ZF2MJ         599 08
QSO: 21075 CW 2016-11-27 1603 ON5HY         599 14     PS2T          599 11
QSO: 21081 CW 2016-11-27 1605 ON5HY         599 14     PX2V          599 11
QSO: 21096 CW 2016-11-27 1607 ON5HY         599 14     PT4T          599 11
QSO: 21069 CW 2016-11-27 1611 ON5HY         599 14     EF8U          599 33
QSO: 21073 CW 2016-11-27 1616 ON5HY         599 14     D4C           599 35
QSO: 21001 CW 2016-11-27 1619 ON5HY         599 14     EE8A          599 33
QSO: 21009 CW 2016-11-27 1620 ON5HY         599 14     KP2M          599 08
QSO: 21010 CW 2016-11-27 1627 ON5HY         599 14     KC1XX         599 5
QSO: 21013 CW 2016-11-27 1658 ON5HY         599 14     PY4HO         599 11
QSO: 21022 CW 2016-11-27 1700 ON5HY         599 14     EF8R          599 33
QSO: 21039 CW 2016-11-27 1707 ON5HY         599 14     YW4D          599 9
QSO: 14004 CW 2016-11-27 1712 ON5HY         599 14     K3LR          599 5
QSO: 14013 CW 2016-11-27 1714 ON5HY         599 14     N2MF          599 5
QSO: 14018 CW 2016-11-27 1716 ON5HY         599 14     W8AV          599 4
QSO: 14039 CW 2016-11-27 1720 ON5HY         599 14     ZD8W          599 36
QSO: 14040 CW 2016-11-27 1722 ON5HY         599 14     KP2M          599 8
QSO: 14041 CW 2016-11-27 1732 ON5HY         599 14     N8II          599 5
QSO: 14045 CW 2016-11-27 1736 ON5HY         599 14     PJ4A          599 9
QSO: 14046 CW 2016-11-27 1738 ON5HY         599 14     PJ2T          599 09
QSO: 14049 CW 2016-11-27 1741 ON5HY         599 14     K0ZR          599 5
QSO:  7004 CW 2016-11-27 1745 ON5HY         599 14     YT5A          599 15
QSO:  7005 CW 2016-11-27 1747 ON5HY         599 14     YT8A          599 15
QSO:  7007 CW 2016-11-27 1748 ON5HY         599 14     RO2E          599 15
QSO:  7008 CW 2016-11-27 1750 ON5HY         599 14     TK0C          599 15
QSO:  7010 CW 2016-11-27 1751 ON5HY         599 14     LZ1EV         599 20
QSO:  7014 CW 2016-11-27 1755 ON5HY         599 14     R7AB          599 16
QSO:  7019 CW 2016-11-27 1758 ON5HY         599 14     RL5A          599 16
QSO:  7030 CW 2016-11-27 1803 ON5HY         599 14     EA2EA         599 14
QSO:  7030 CW 2016-11-27 1805 ON5HY         599 14     UB7K          599 16
QSO:  7032 CW 2016-11-27 1807 ON5HY         599 14     YT6W          599 15
QSO:  7033 CW 2016-11-27 1808 ON5HY         599 14     YT8T          599 15
QSO:  7043 CW 2016-11-27 1812 ON5HY         599 14     EA7RM         599 14
QSO:  7046 CW 2016-11-27 1812 ON5HY         599 14     YT7KM         599 15
QSO:  7049 CW 2016-11-27 1814 ON5HY         599 14     E71EEE        599 15
QSO:  7054 CW 2016-11-27 1816 ON5HY         599 14     LZ2FL         599 20
QSO:  3500 CW 2016-11-27 1819 ON5HY         599 14     OK6W          599 15
QSO:  3501 CW 2016-11-27 1820 ON5HY         599 14     UT4U          599 16
