START-OF-LOG: 3.0
CALLSIGN: JR4CZM
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 15732
NAME: Akihiro Oguni
LOCATION: DX
OPERATORS: JR4CZM
CLUB: SOUTHERN OSAKA CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: USE POOR DIPOLE ANTENNA BUT MANY STATIONS have "GODD EAR".
QSO:  1800 CW 2016-11-26 0753 JR4CZM        599 25     UA0LHS        599 19
QSO:  1800 CW 2016-11-26 0855 JR4CZM        599 25     BA4TB         599 24
QSO:  1814 CW 2016-11-26 0925 JR4CZM        599 25     DX2R          599 27
QSO:  1824 CW 2016-11-26 1004 JR4CZM        599 25     KL0R          599 01
QSO:  1820 CW 2016-11-26 1012 JR4CZM        599 25     KH6J          599 31
QSO:  1823 CW 2016-11-26 1016 JR4CZM        599 25     AH2BT         599 27
QSO:  1815 CW 2016-11-26 1028 JR4CZM        599 25     KH6DX         599 31
QSO:  1825 CW 2016-11-26 1031 JR4CZM        599 25     RT0C          599 19
QSO:  1820 CW 2016-11-26 1034 JR4CZM        599 25     XX9TXN        599 24
QSO:  1815 CW 2016-11-26 1051 JR4CZM        599 25     JA1BPA        599 25
QSO:  1818 CW 2016-11-26 1056 JR4CZM        599 25     RW0AR         599 18
QSO:  1810 CW 2016-11-26 1101 JR4CZM        599 25     V73NS         599 31
QSO:  1800 CW 2016-11-26 1128 JR4CZM        599 25     BV1EK         599 24
QSO:  1811 CW 2016-11-26 1134 JR4CZM        599 25     HL2CFY        599 25
QSO:  1818 CW 2016-11-26 1149 JR4CZM        599 25     DS1STV        599 25
QSO:  1815 CW 2016-11-26 1153 JR4CZM        599 25     BG5HVP        599 24
QSO:  1816 CW 2016-11-26 1158 JR4CZM        599 25     UA0ZAM        599 19
QSO:  1816 CW 2016-11-26 1219 JR4CZM        599 25     R0CAF         599 19
QSO:  1816 CW 2016-11-26 1220 JR4CZM        599 25     BG5EEF        599 24
QSO:  1816 CW 2016-11-26 1221 JR4CZM        599 25     JG4AKL        599 25
QSO:  1800 CW 2016-11-26 1231 JR4CZM        599 25     BV1EL         599 24
QSO:  1800 CW 2016-11-26 1244 JR4CZM        599 25     N5NU          599 04
QSO:  1819 CW 2016-11-26 1258 JR4CZM        599 25     UD4F          599 16
QSO:  1823 CW 2016-11-26 1310 JR4CZM        599 25     RD8D          599 17
QSO:  1823 CW 2016-11-26 1321 JR4CZM        599 25     RT0R          599 18
QSO:  1816 CW 2016-11-26 1324 JR4CZM        599 25     AH0K          599 27
QSO:  1810 CW 2016-11-26 1340 JR4CZM        599 25     JT5DX         599 23
QSO:  1813 CW 2016-11-26 1341 JR4CZM        599 25     N6TR          599 03
QSO:  1818 CW 2016-11-26 1342 JR4CZM        599 25     AH0BT         599 27
QSO:  1824 CW 2016-11-26 1350 JR4CZM        599 25     N7DD          599 03
QSO:  1815 CW 2016-11-26 1416 JR4CZM        599 25     N7WS          599 03
QSO:  1815 CW 2016-11-26 1418 JR4CZM        599 25     N6VR          599 03
QSO:  1815 CW 2016-11-26 1422 JR4CZM        599 25     BD4WN         599 24
QSO:  1815 CW 2016-11-26 1427 JR4CZM        599 25     W7UT          599 03
QSO:  1815 CW 2016-11-26 1428 JR4CZM        599 25     N7UA          599 03
QSO:  1824 CW 2016-11-26 1451 JR4CZM        599 25     UI9I          599 18
QSO:  1818 CW 2016-11-26 1454 JR4CZM        599 25     RU0LAX        599 19
QSO:  1814 CW 2016-11-26 1523 JR4CZM        599 25     UA0ACG        599 18
QSO:  1822 CW 2016-11-26 1540 JR4CZM        599 25     DS4EOI        599 25
QSO:  1820 CW 2016-11-26 1602 JR4CZM        599 25     UN7LZ         599 17
QSO:  1819 CW 2016-11-26 1603 JR4CZM        599 25     RY9C          599 17
QSO:  1816 CW 2016-11-26 1604 JR4CZM        599 25     UA9MA         599 17
QSO:  1816 CW 2016-11-26 1921 JR4CZM        599 25     UW2M          599 16
QSO:  1812 CW 2016-11-26 1935 JR4CZM        599 25     RA0LMK        599 19
QSO:  1815 CW 2016-11-26 1946 JR4CZM        599 25     RA9Y          599 18
QSO:  1824 CW 2016-11-26 2000 JR4CZM        599 25     RU4PU         599 16
QSO:  1818 CW 2016-11-26 2020 JR4CZM        599 25     UA4S          599 16
QSO:  1821 CW 2016-11-26 2202 JR4CZM        599 25     RL4F          599 16
QSO: 21011 CW 2016-11-27 0007 JR4CZM        599 25     W6XB          599 03
QSO: 21015 CW 2016-11-27 0018 JR4CZM        599 25     XX9TXN        599 24
QSO: 21026 CW 2016-11-27 0023 JR4CZM        599 25     KH6J          599 31
QSO: 21034 CW 2016-11-27 0025 JR4CZM        599 25     N6WS          599 03
QSO: 21044 CW 2016-11-27 0026 JR4CZM        599 25     PP5NY         599 11
QSO: 21048 CW 2016-11-27 0028 JR4CZM        599 25     ZL4TT         599 32
QSO: 21054 CW 2016-11-27 0029 JR4CZM        599 25     VK2GR         599 30
QSO: 21020 CW 2016-11-27 0034 JR4CZM        599 25     JR3EOI        599 25
QSO: 21003 CW 2016-11-27 0048 JR4CZM        599 25     A31MM         599 32
QSO: 21013 CW 2016-11-27 0103 JR4CZM        599 25     JT1CD         599 23
QSO: 21008 CW 2016-11-27 0106 JR4CZM        599 25     ZM1A          599 32
QSO: 21038 CW 2016-11-27 0108 JR4CZM        599 25     KH6LC         599 31
QSO: 21036 CW 2016-11-27 0221 JR4CZM        599 25     TX8F          599 32
QSO: 21011 CW 2016-11-27 0226 JR4CZM        599 25     VR2VIY        599 24
QSO: 21038 CW 2016-11-27 0229 JR4CZM        599 25     HS0ZAL        599 26
QSO: 21039 CW 2016-11-27 0230 JR4CZM        599 25     9M2R          599 28
QSO: 21025 CW 2016-11-27 0232 JR4CZM        599 25     VK6DW         599 29
QSO: 21025 CW 2016-11-27 0234 JR4CZM        599 25     8Q7SP         599 22
QSO: 21025 CW 2016-11-27 0235 JR4CZM        599 25     UN5J          599 17
QSO: 21025 CW 2016-11-27 0235 JR4CZM        599 25     BG3IAY        599 23
QSO: 21025 CW 2016-11-27 0236 JR4CZM        599 25     R0CAF         599 19
QSO: 21025 CW 2016-11-27 0238 JR4CZM        599 25     B4T           599 24
QSO: 21025 CW 2016-11-27 0238 JR4CZM        599 25     BG4NMT        599 24
QSO: 21025 CW 2016-11-27 0239 JR4CZM        599 25     BD6RD         599 24
QSO: 21025 CW 2016-11-27 0239 JR4CZM        599 25     BH1EBF        599 24
QSO: 21025 CW 2016-11-27 0240 JR4CZM        599 25     BA4EO         599 24
QSO: 21025 CW 2016-11-27 0241 JR4CZM        599 25     BH1NGG        599 24
QSO: 21025 CW 2016-11-27 0242 JR4CZM        599 25     BG1WNU        599 24
QSO: 21025 CW 2016-11-27 0243 JR4CZM        599 25     BD4WN         599 24
QSO: 21025 CW 2016-11-27 0244 JR4CZM        599 25     DU1XX         599 27
QSO: 21025 CW 2016-11-27 0247 JR4CZM        599 25     RA0CEN        599 19
QSO: 21025 CW 2016-11-27 0247 JR4CZM        599 25     R9IF          599 18
QSO: 21025 CW 2016-11-27 0250 JR4CZM        599 25     RN0CW         599 19
QSO: 21025 CW 2016-11-27 0251 JR4CZM        599 25     BD6OT         599 24
QSO: 21025 CW 2016-11-27 0252 JR4CZM        599 25     RV9Y          599 18
QSO: 21025 CW 2016-11-27 0253 JR4CZM        599 25     RT0Q          599 19
QSO: 21025 CW 2016-11-27 0254 JR4CZM        599 25     VU2DCC        599 22
QSO: 21025 CW 2016-11-27 0255 JR4CZM        599 25     BH1SCW        599 24
QSO: 21025 CW 2016-11-27 0257 JR4CZM        599 25     BY1HAM        599 24
QSO: 21025 CW 2016-11-27 0258 JR4CZM        599 25     JL3MCM        599 25
QSO: 21025 CW 2016-11-27 0259 JR4CZM        599 25     BA8AT         599 24
QSO: 21025 CW 2016-11-27 0302 JR4CZM        599 25     BD7IAL        599 24
QSO: 21025 CW 2016-11-27 0303 JR4CZM        599 25     UN9GD         599 17
QSO: 21025 CW 2016-11-27 0304 JR4CZM        599 25     BH1MHI        599 24
QSO: 21025 CW 2016-11-27 0306 JR4CZM        599 25     R0JF          599 19
QSO: 21028 CW 2016-11-27 0356 JR4CZM        599 25     XV9NPS        599 26
QSO: 21016 CW 2016-11-27 0405 JR4CZM        599 25     JY9FC         599 20
QSO: 21037 CW 2016-11-27 0513 JR4CZM        599 25     A44A          599 21
