START-OF-LOG: 3.0
CALLSIGN: RG5R
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 621135
NAME: Shmelev Victor
LOCATION: DX
OPERATORS: RG5R
CLUB: KWANT
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
QSO: 14038 CW 2016-11-26 0341 RG5R          599 16     LZ9W          599 20
QSO: 14037 CW 2016-11-26 0342 RG5R          599 16     OH8L          599 15
QSO: 14049 CW 2016-11-26 0344 RG5R          599 16     OH5DX         599 15
QSO: 14022 CW 2016-11-26 0348 RG5R          599 16     R9OO          599 18
QSO: 14042 CW 2016-11-26 0351 RG5R          599 16     RK9AX         599 17
QSO: 14060 CW 2016-11-26 0352 RG5R          599 16     JR4OZR        599 25
QSO: 14045 CW 2016-11-26 0353 RG5R          599 16     HS0ZIA        599 26
QSO: 14041 CW 2016-11-26 0354 RG5R          599 16     RA9UN         599 18
QSO: 14020 CW 2016-11-26 0356 RG5R          599 16     JT5DX         599 23
QSO: 14019 CW 2016-11-26 0357 RG5R          599 16     JR5YCE        599 25
QSO: 14005 CW 2016-11-26 0358 RG5R          599 16     JA6LCJ        599 25
QSO: 14008 CW 2016-11-26 0400 RG5R          599 16     RT9S          599 16
QSO: 14010 CW 2016-11-26 0401 RG5R          599 16     RW9USA        599 18
QSO: 14033 CW 2016-11-26 0403 RG5R          599 16     YT5A          599 15
QSO: 14042 CW 2016-11-26 0406 RG5R          599 16     JA0QNJ        599 25
QSO: 14043 CW 2016-11-26 0407 RG5R          599 16     RU0LL         599 19
QSO: 14003 CW 2016-11-26 0410 RG5R          599 16     JE6RPM        599 25
QSO: 14003 CW 2016-11-26 0411 RG5R          599 16     JA1BPA        599 25
