START-OF-LOG: 3.0
CALLSIGN: M0NQN
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 13464
NAME: Bob
LOCATION: DX
OPERATORS: M0NQN
CLUB: Gloucester Amateur Radio and Electronics Society
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: The weekend heralded a slight improvement in conditions on HF.
SOAPBOX: It was a great experience to be involved in the "fast and furious"!!
QSO: 14001 CW 2016-11-26 1617 M0NQN         599 14     W4AAW         599 05
QSO: 14004 CW 2016-11-26 1618 M0NQN         599 14     W3LPL         599 05
QSO: 14004 CW 2016-11-26 1619 M0NQN         599 14     VC2T          599 05
QSO: 14005 CW 2016-11-26 1620 M0NQN         599 14     W2FU          599 05
QSO: 14007 CW 2016-11-26 1621 M0NQN         599 14     K0MD          599 04
QSO: 14008 CW 2016-11-26 1622 M0NQN         599 14     W9RE          599 04
QSO: 14015 CW 2016-11-26 1623 M0NQN         599 14     CN2R          599 33
QSO: 14016 CW 2016-11-26 1623 M0NQN         599 14     N5DX          599 05
QSO: 14018 CW 2016-11-26 1624 M0NQN         599 14     K1RU          599 05
QSO: 14063 CW 2016-11-26 1648 M0NQN         599 14     NY4A          599 05
QSO: 14065 CW 2016-11-26 1649 M0NQN         599 14     W1MAT         599 05
QSO: 14050 CW 2016-11-26 1653 M0NQN         599 14     TK0C          599 15
QSO: 14046 CW 2016-11-26 1654 M0NQN         599 14     KM1X          599 05
QSO: 14000 CW 2016-11-26 1656 M0NQN         599 14     N1UR          599 05
QSO: 14001 CW 2016-11-26 1657 M0NQN         599 14     KC1XX         599 05
QSO: 14016 CW 2016-11-26 1659 M0NQN         599 14     K5ZD          599 05
QSO: 14074 CW 2016-11-26 1701 M0NQN         599 14     W1WMU         599 05
QSO:  7024 CW 2016-11-26 1706 M0NQN         599 14     G9V           599 14
QSO:  7022 CW 2016-11-26 1707 M0NQN         599 14     DL5YM         599 14
QSO:  7001 CW 2016-11-26 1709 M0NQN         599 14     HB0/DK4YJ     599 14
QSO:  7004 CW 2016-11-26 1710 M0NQN         599 14     TK0C          599 15
QSO:  7039 CW 2016-11-26 1716 M0NQN         599 14     4O3A          599 15
QSO:  7061 CW 2016-11-26 1721 M0NQN         599 14     SW9AA         599 20
QSO:  7062 CW 2016-11-26 1722 M0NQN         599 14     LZ9R          599 20
