START-OF-LOG: 3.0
CALLSIGN: LU8EHR
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 68354
NAME: Hugo Daniel Blanco
LOCATION: DX
OPERATORS: LU8EHR
CLUB: LU Contest Group
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Wonderfull as allways, perhaps too many time with Davis Cup...
QSO: 14000 CW 2016-11-26 0003 LU8EHR        599 13     NR4M          599 08     0
QSO: 14000 CW 2016-11-26 0008 LU8EHR        599 13     PX2V          599 11     0
QSO: 14000 CW 2016-11-26 0015 LU8EHR        599 13     N9NA          599 03     0
QSO: 14000 CW 2016-11-26 0020 LU8EHR        599 13     P40W          599 09     0
QSO: 14000 CW 2016-11-26 0021 LU8EHR        599 13     W0AIH         599 04     0
QSO: 14000 CW 2016-11-26 0024 LU8EHR        599 13     LW1EUD        599 13     0
QSO: 14000 CW 2016-11-26 0026 LU8EHR        599 13     YW4D          599 09     0
QSO: 14000 CW 2016-11-26 0027 LU8EHR        599 13     KL0R          599 01     0
QSO: 14000 CW 2016-11-26 0029 LU8EHR        599 13     PY4YY         599 11     0
QSO: 14000 CW 2016-11-26 0032 LU8EHR        599 13     RT0F          599 19     0
QSO: 14000 CW 2016-11-26 0036 LU8EHR        599 13     PT4T          599 11     0
QSO: 14000 CW 2016-11-26 0038 LU8EHR        599 13     PY1GQ         599 11     0
QSO: 14000 CW 2016-11-26 0040 LU8EHR        599 13     PJ2T          599 09     0
QSO: 14000 CW 2016-11-26 0042 LU8EHR        599 13     PY2QI         599 11     0
QSO: 14000 CW 2016-11-26 0051 LU8EHR        599 13     W3LPL         599 05     0
QSO: 14000 CW 2016-11-26 0055 LU8EHR        599 13     N1LN          599 05     0
QSO: 14000 CW 2016-11-26 0056 LU8EHR        599 13     WE3C          599 05     0
QSO: 14000 CW 2016-11-26 0102 LU8EHR        599 13     N7AT          599 03     0
QSO: 14000 CW 2016-11-26 0113 LU8EHR        599 13     CE3AA         599 12     0
QSO: 14000 CW 2016-11-26 0116 LU8EHR        599 13     HP1XT         599 07     0
QSO: 14000 CW 2016-11-26 0122 LU8EHR        599 13     JH4UYB        599 25     0
QSO: 14000 CW 2016-11-26 0132 LU8EHR        599 13     JA8RWU        599 25     0
QSO: 14000 CW 2016-11-26 0139 LU8EHR        599 13     K4TCG         599 04     0
