START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.53.0
CALLSIGN: VK7GN
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 215325
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLUB: VK CONTEST CLUB
NAME: Martin Luther
SOAPBOX: Good fun to be back operarting after moving QTH
QSO: 21003 CW 2016-11-26 0509 VK7GN         599 30     JA1BPA        599 25
QSO: 21013 CW 2016-11-26 0519 VK7GN         599 30     RTOC          599 19
QSO: 21019 CW 2016-11-26 0520 VK7GN         599 30     JS3CTQ        599 25
QSO: 21023 CW 2016-11-26 0522 VK7GN         599 30     YE1R          599 28
QSO: 21029 CW 2016-11-26 0524 VK7GN         599 30     JA3YBK        599 25
QSO: 21040 CW 2016-11-26 0532 VK7GN         599 30     B7P           599 24
QSO: 14018 CW 2016-11-26 0536 VK7GN         599 30     JR5YCE        599 25
QSO: 14010 CW 2016-11-26 0536 VK7GN         599 30     N6WM          599 03
QSO: 14010 CW 2016-11-26 0538 VK7GN         599 30     KJ5Y          599 04
QSO: 14009 CW 2016-11-26 0539 VK7GN         599 30     HK1NA         599 09
QSO: 14000 CW 2016-11-26 0540 VK7GN         599 30     K3LR          599 05
QSO: 14035 CW 2016-11-26 0544 VK7GN         599 30     WE3C          599 05
QSO: 14029 CW 2016-11-26 0546 VK7GN         599 30     N5CR          599 05
QSO: 14012 CW 2016-11-26 0550 VK7GN         599 30     W3LPL         599 05
QSO: 14009 CW 2016-11-26 0553 VK7GN         599 30     KH6J          599 31
QSO: 14008 CW 2016-11-26 0554 VK7GN         599 30     KI6RRN        599 03
QSO: 14006 CW 2016-11-26 0554 VK7GN         599 30     W8AV          599 04
QSO: 14003 CW 2016-11-26 0555 VK7GN         599 30     KV0Q          599 04
QSO: 14001 CW 2016-11-26 0601 VK7GN         599 30     4X0W          599 20
QSO: 14055 CW 2016-11-26 0606 VK7GN         599 30     PJ2T          599 09
QSO: 14050 CW 2016-11-26 0607 VK7GN         599 30     N7DD          599 03
QSO: 14041 CW 2016-11-26 0609 VK7GN         599 30     W1WMU         599 04
QSO: 14035 CW 2016-11-26 0613 VK7GN         599 30     DS4GGM        599 25
QSO: 14048 CW 2016-11-26 0614 VK7GN         599 30     JH4UYB        599 25
QSO: 14049 CW 2016-11-26 0615 VK7GN         599 30     JA1ZNO        599 25
QSO: 14059 CW 2016-11-26 0617 VK7GN         599 30     JE1LFX        599 25
QSO: 14044 CW 2016-11-26 0619 VK7GN         599 30     TX8F          599 32
QSO: 14021 CW 2016-11-26 0621 VK7GN         599 30     JN1NOP        599 25
QSO: 14017 CW 2016-11-26 0631 VK7GN         599 30     VE3VEE        599 04
QSO: 14017 CW 2016-11-26 0636 VK7GN         599 30     A93JA         599 21
QSO: 14034 CW 2016-11-26 0639 VK7GN         599 30     P32W          599 20
QSO: 14039 CW 2016-11-26 0643 VK7GN         599 30     YU5C          599 15
QSO: 14052 CW 2016-11-26 0644 VK7GN         599 30     4X2M          599 20
QSO:  7043 CW 2016-11-26 0648 VK7GN         599 30     N5NU          599 04
QSO:  7000 CW 2016-11-26 0652 VK7GN         599 30     YT7A          599 15
QSO:  7005 CW 2016-11-26 0654 VK7GN         599 30     S57Z          599 15
QSO:  7007 CW 2016-11-26 0656 VK7GN         599 30     K5WA          599 04
QSO:  7011 CW 2016-11-26 0657 VK7GN         599 30     K5YAA         599 04
QSO:  7012 CW 2016-11-26 0659 VK7GN         599 30     OL3Z          599 15
QSO:  7019 CW 2016-11-26 0701 VK7GN         599 30     K6LL          599 03
QSO:  7023 CW 2016-11-26 0703 VK7GN         599 30     K3LR          599 05
QSO:  7027 CW 2016-11-26 0704 VK7GN         599 30     9A1P          599 15
QSO:  7031 CW 2016-11-26 0705 VK7GN         599 30     9A1A          599 15
QSO: 28012 CW 2016-11-26 2302 VK7GN         599 30     JA3YBK        599 25
QSO: 28019 CW 2016-11-26 2305 VK7GN         599 30     JF3GFH/1      599 25
QSO: 28019 CW 2016-11-26 2306 VK7GN         599 30     JF1KIC        599 25
QSO: 28019 CW 2016-11-26 2306 VK7GN         599 30     JR2GRX        599 25
QSO: 28019 CW 2016-11-26 2308 VK7GN         599 30     JA7OWD        599 25
QSO: 28019 CW 2016-11-26 2309 VK7GN         599 30     JA1ERB        599 25
QSO: 28019 CW 2016-11-26 2311 VK7GN         599 30     JA7ZFN        599 25
QSO: 28019 CW 2016-11-26 2312 VK7GN         599 30     JR3RWB        599 25
QSO: 28019 CW 2016-11-26 2312 VK7GN         599 30     JH1EAQ        599 25
QSO: 28019 CW 2016-11-26 2313 VK7GN         599 30     JA1DCK        599 25
QSO: 28019 CW 2016-11-26 2314 VK7GN         599 30     JG1OWV        599 25
QSO: 28019 CW 2016-11-26 2316 VK7GN         599 30     UA0ZAM        599 19
QSO: 28019 CW 2016-11-26 2316 VK7GN         599 30     JA4GXX        599 25
QSO: 28019 CW 2016-11-26 2318 VK7GN         599 30     JH1ASG        599 25
