START-OF-LOG: 3.0
CALLSIGN: SP2WGB
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21828
NAME: STANISLAW
LOCATION: DX
OPERATORS: SP2WGB
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: trx 100w ant GP on balcony and LW 27m/80m,160m band
QSO:  7039 CW 2016-11-27 2040 SP2WGB        599 15     LZ9W          599 20
QSO:  7003 CW 2016-11-27 2044 SP2WGB        599 15     TM6M          599 14
QSO:  7004 CW 2016-11-27 2046 SP2WGB        599 15     CN2AA         599 33
QSO:  7010 CW 2016-11-27 2050 SP2WGB        599 15     HA8KW         599 15
QSO:  7011 CW 2016-11-27 2051 SP2WGB        599 15     CN2R          599 33
QSO:  7006 CW 2016-11-27 2057 SP2WGB        599 15     CR3W          599 33
QSO:  7015 CW 2016-11-27 2102 SP2WGB        599 15     US1I          599 16
QSO:  7014 CW 2016-11-27 2103 SP2WGB        599 15     LZ3ZZ         599 20
QSO:  7013 CW 2016-11-27 2107 SP2WGB        599 15     LZ5R          599 20
QSO:  7020 CW 2016-11-27 2111 SP2WGB        599 15     CR6K          599 14
QSO:  7024 CW 2016-11-27 2120 SP2WGB        599 15     EF3T          599 14
QSO:  7018 CW 2016-11-27 2122 SP2WGB        599 15     ED9U          599 33
QSO:  7028 CW 2016-11-27 2128 SP2WGB        599 15     IT9P          599 15
QSO:  7039 CW 2016-11-27 2137 SP2WGB        599 15     PS2T          599 11
QSO:  1813 CW 2016-11-27 2147 SP2WGB        599 15     SM6CPY        599 14
QSO:  1813 CW 2016-11-27 2148 SP2WGB        599 15     F5IN          599 14
QSO:  1812 CW 2016-11-27 2150 SP2WGB        599 15     RU3FM         599 16
QSO:  1813 CW 2016-11-27 2155 SP2WGB        599 15     DK2FG         599 14
QSO:  1813 CW 2016-11-27 2155 SP2WGB        599 15     G5W           599 14
QSO:  1813 CW 2016-11-27 2156 SP2WGB        599 15     GA1A          599 14
QSO:  1813 CW 2016-11-27 2157 SP2WGB        599 15     PI4CC         599 14
QSO:  1813 CW 2016-11-27 2159 SP2WGB        599 15     HG0R          599 15
QSO:  1814 CW 2016-11-27 2205 SP2WGB        599 15     EW8RR         599 16
QSO:  1814 CW 2016-11-27 2207 SP2WGB        599 15     UX1VX         599 16
QSO:  1816 CW 2016-11-27 2209 SP2WGB        599 15     UD4F          599 16
QSO:  1816 CW 2016-11-27 2213 SP2WGB        599 15     S53O          599 15
QSO:  1819 CW 2016-11-27 2217 SP2WGB        599 15     OZ4O          599 14
QSO:  1817 CW 2016-11-27 2221 SP2WGB        599 15     DR4A          599 14
QSO:  1820 CW 2016-11-27 2223 SP2WGB        599 15     DF0HQ         599 14
QSO:  1819 CW 2016-11-27 2225 SP2WGB        599 15     9A1A          599 15
QSO:  1815 CW 2016-11-27 2256 SP2WGB        599 15     YR9F          599 20
QSO:  1818 CW 2016-11-27 2258 SP2WGB        599 15     DL0GL         599 14
QSO:  1821 CW 2016-11-27 2300 SP2WGB        599 15     DJ0MDR        599 14
QSO:  1819 CW 2016-11-27 2306 SP2WGB        599 15     EI0R          599 14
QSO:  3504 CW 2016-11-27 2312 SP2WGB        599 15     OK2RRR        599 15
QSO:  3517 CW 2016-11-27 2317 SP2WGB        599 15     YL3CW         599 15
QSO:  3525 CW 2016-11-27 2323 SP2WGB        599 15     NR4M          599 05
QSO:  3512 CW 2016-11-27 2329 SP2WGB        599 15     M6T           599 14
END-OF-LOG:
